Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2024-02-14,3460,0,0,493,64,0
None,None,None,2024-02-15,3460,0,0,493,64,0
None,None,None,2024-02-16,3460,0,0,493,64,0
None,None,None,2024-02-17,3460,0,0,493,64,0
None,None,None,2024-02-18,3460,0,0,493,64,0
South America,None,None,2024-02-14,3460,0,0,493,64,0
South America,None,None,2024-02-15,3460,0,0,493,64,0
South America,None,None,2024-02-16,3460,0,0,493,64,0
South America,None,None,2024-02-17,3460,0,0,493,64,0
South America,None,None,2024-02-18,3460,0,0,493,64,0
South America,brasilia,None,2024-02-14,3460,0,0,493,64,0
South America,brasilia,None,2024-02-15,3460,0,0,493,64,0
South America,brasilia,None,2024-02-16,3460,0,0,493,64,0
South America,brasilia,None,2024-02-17,3460,0,0,493,64,0
South America,brasilia,None,2024-02-18,3460,0,0,493,64,0
South America,brasilia,aguas_claras,2024-02-14,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-15,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-16,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-17,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-18,139,0,0,21,1,0
South America,brasilia,brazlandia,2024-02-14,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-15,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-16,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-17,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-18,154,0,0,23,2,0
South America,brasilia,ceilandia,2024-02-14,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-15,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-16,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-17,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-18,160,0,0,22,3,0
South America,brasilia,gama,2024-02-14,154,0,0,21,3,0
South America,brasilia,gama,2024-02-15,154,0,0,21,3,0
South America,brasilia,gama,2024-02-16,154,0,0,21,3,0
South America,brasilia,gama,2024-02-17,154,0,0,21,3,0
South America,brasilia,gama,2024-02-18,154,0,0,21,3,0
South America,brasilia,guara,2024-02-14,139,0,0,20,2,0
South America,brasilia,guara,2024-02-15,139,0,0,20,2,0
South America,brasilia,guara,2024-02-16,139,0,0,20,2,0
South America,brasilia,guara,2024-02-17,139,0,0,20,2,0
South America,brasilia,guara,2024-02-18,139,0,0,20,2,0
South America,brasilia,itapoa,2024-02-14,156,0,0,23,2,0
South America,brasilia,itapoa,2024-02-15,156,0,0,23,2,0
South America,brasilia,itapoa,2024-02-16,156,0,0,23,2,0
South America,brasilia,itapoa,2024-02-17,156,0,0,23,2,0
South America,brasilia,itapoa,2024-02-18,156,0,0,23,2,0
South America,brasilia,jardim_botanico,2024-02-14,141,0,0,21,1,0
South America,brasilia,jardim_botanico,2024-02-15,141,0,0,21,1,0
South America,brasilia,jardim_botanico,2024-02-16,141,0,0,21,1,0
South America,brasilia,jardim_botanico,2024-02-17,141,0,0,21,1,0
South America,brasilia,jardim_botanico,2024-02-18,141,0,0,21,1,0
South America,brasilia,lago_norte,2024-02-14,164,0,0,24,3,0
South America,brasilia,lago_norte,2024-02-15,164,0,0,24,3,0
South America,brasilia,lago_norte,2024-02-16,164,0,0,24,3,0
South America,brasilia,lago_norte,2024-02-17,164,0,0,24,3,0
South America,brasilia,lago_norte,2024-02-18,164,0,0,24,3,0
South America,brasilia,lago_sul,2024-02-14,169,0,0,25,2,0
South America,brasilia,lago_sul,2024-02-15,169,0,0,25,2,0
South America,brasilia,lago_sul,2024-02-16,169,0,0,25,2,0
South America,brasilia,lago_sul,2024-02-17,169,0,0,25,2,0
South America,brasilia,lago_sul,2024-02-18,169,0,0,25,2,0
South America,brasilia,paranoa,2024-02-14,153,0,0,20,4,0
South America,brasilia,paranoa,2024-02-15,153,0,0,20,4,0
South America,brasilia,paranoa,2024-02-16,153,0,0,20,4,0
South America,brasilia,paranoa,2024-02-17,153,0,0,20,4,0
South America,brasilia,paranoa,2024-02-18,153,0,0,20,4,0
South America,brasilia,planaltina,2024-02-14,142,0,0,19,3,0
South America,brasilia,planaltina,2024-02-15,142,0,0,19,3,0
South America,brasilia,planaltina,2024-02-16,142,0,0,19,3,0
South America,brasilia,planaltina,2024-02-17,142,0,0,19,3,0
South America,brasilia,planaltina,2024-02-18,142,0,0,19,3,0
South America,brasilia,plano_piloto,2024-02-14,142,0,0,19,3,0
South America,brasilia,plano_piloto,2024-02-15,142,0,0,19,3,0
South America,brasilia,plano_piloto,2024-02-16,142,0,0,19,3,0
South America,brasilia,plano_piloto,2024-02-17,142,0,0,19,3,0
South America,brasilia,plano_piloto,2024-02-18,142,0,0,19,3,0
South America,brasilia,recanto_das_emas,2024-02-14,175,0,0,24,4,0
South America,brasilia,recanto_das_emas,2024-02-15,175,0,0,24,4,0
South America,brasilia,recanto_das_emas,2024-02-16,175,0,0,24,4,0
South America,brasilia,recanto_das_emas,2024-02-17,175,0,0,24,4,0
South America,brasilia,recanto_das_emas,2024-02-18,175,0,0,24,4,0
South America,brasilia,riacho_fundo_ii,2024-02-14,168,0,0,25,2,0
South America,brasilia,riacho_fundo_ii,2024-02-15,168,0,0,25,2,0
South America,brasilia,riacho_fundo_ii,2024-02-16,168,0,0,25,2,0
South America,brasilia,riacho_fundo_ii,2024-02-17,168,0,0,25,2,0
South America,brasilia,riacho_fundo_ii,2024-02-18,168,0,0,25,2,0
South America,brasilia,samambaia,2024-02-14,151,0,0,19,5,0
South America,brasilia,samambaia,2024-02-15,151,0,0,19,5,0
South America,brasilia,samambaia,2024-02-16,151,0,0,19,5,0
South America,brasilia,samambaia,2024-02-17,151,0,0,19,5,0
South America,brasilia,samambaia,2024-02-18,151,0,0,19,5,0
South America,brasilia,santa_maria,2024-02-14,172,0,0,25,3,0
South America,brasilia,santa_maria,2024-02-15,172,0,0,25,3,0
South America,brasilia,santa_maria,2024-02-16,172,0,0,25,3,0
South America,brasilia,santa_maria,2024-02-17,172,0,0,25,3,0
South America,brasilia,santa_maria,2024-02-18,172,0,0,25,3,0
South America,brasilia,sao_sebastiao,2024-02-14,185,0,0,27,3,0
South America,brasilia,sao_sebastiao,2024-02-15,185,0,0,27,3,0
South America,brasilia,sao_sebastiao,2024-02-16,185,0,0,27,3,0
South America,brasilia,sao_sebastiao,2024-02-17,185,0,0,27,3,0
South America,brasilia,sao_sebastiao,2024-02-18,185,0,0,27,3,0
South America,brasilia,sistema_penitenciario,2024-02-14,165,0,0,25,8,0
South America,brasilia,sistema_penitenciario,2024-02-15,165,0,0,25,8,0
South America,brasilia,sistema_penitenciario,2024-02-16,165,0,0,25,8,0
South America,brasilia,sistema_penitenciario,2024-02-17,165,0,0,25,8,0
South America,brasilia,sistema_penitenciario,2024-02-18,165,0,0,25,8,0
South America,brasilia,sobradinho,2024-02-14,144,0,0,21,2,0
South America,brasilia,sobradinho,2024-02-15,144,0,0,21,2,0
South America,brasilia,sobradinho,2024-02-16,144,0,0,21,2,0
South America,brasilia,sobradinho,2024-02-17,144,0,0,21,2,0
