Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2024-02-11,3298,0,0,468,57,0
None,None,None,2024-02-12,3298,0,0,468,57,0
None,None,None,2024-02-13,3298,0,0,468,57,0
None,None,None,2024-02-14,3298,0,0,468,57,0
None,None,None,2024-02-15,3298,0,0,468,57,0
None,None,None,2024-02-16,3298,0,0,468,57,0
None,None,None,2024-02-17,3298,0,0,468,57,0
None,None,None,2024-02-18,3298,0,0,468,57,0
None,None,None,2024-02-19,3298,0,0,468,57,0
None,None,None,2024-02-20,3298,0,0,468,57,0
None,None,None,2024-02-21,3298,0,0,468,57,0
None,None,None,2024-02-22,3298,0,0,468,57,0
None,None,None,2024-02-23,3298,0,0,468,57,0
None,None,None,2024-02-24,3298,0,0,468,57,0
None,None,None,2024-02-25,3298,0,0,468,57,0
None,None,None,2024-02-26,3298,0,0,468,57,0
None,None,None,2024-02-27,3298,0,0,468,57,0
None,None,None,2024-02-28,3298,0,0,468,57,0
None,None,None,2024-02-29,3298,0,0,468,57,0
None,None,None,2024-03-01,3298,0,0,468,57,0
South America,None,None,2024-02-11,3298,0,0,468,57,0
South America,None,None,2024-02-12,3298,0,0,468,57,0
South America,None,None,2024-02-13,3298,0,0,468,57,0
South America,None,None,2024-02-14,3298,0,0,468,57,0
South America,None,None,2024-02-15,3298,0,0,468,57,0
South America,None,None,2024-02-16,3298,0,0,468,57,0
South America,None,None,2024-02-17,3298,0,0,468,57,0
South America,None,None,2024-02-18,3298,0,0,468,57,0
South America,None,None,2024-02-19,3298,0,0,468,57,0
South America,None,None,2024-02-20,3298,0,0,468,57,0
South America,None,None,2024-02-21,3298,0,0,468,57,0
South America,None,None,2024-02-22,3298,0,0,468,57,0
South America,None,None,2024-02-23,3298,0,0,468,57,0
South America,None,None,2024-02-24,3298,0,0,468,57,0
South America,None,None,2024-02-25,3298,0,0,468,57,0
South America,None,None,2024-02-26,3298,0,0,468,57,0
South America,None,None,2024-02-27,3298,0,0,468,57,0
South America,None,None,2024-02-28,3298,0,0,468,57,0
South America,None,None,2024-02-29,3298,0,0,468,57,0
South America,None,None,2024-03-01,3298,0,0,468,57,0
South America,brasilia,None,2024-02-11,3298,0,0,468,57,0
South America,brasilia,None,2024-02-12,3298,0,0,468,57,0
South America,brasilia,None,2024-02-13,3298,0,0,468,57,0
South America,brasilia,None,2024-02-14,3298,0,0,468,57,0
South America,brasilia,None,2024-02-15,3298,0,0,468,57,0
South America,brasilia,None,2024-02-16,3298,0,0,468,57,0
South America,brasilia,None,2024-02-17,3298,0,0,468,57,0
South America,brasilia,None,2024-02-18,3298,0,0,468,57,0
South America,brasilia,None,2024-02-19,3298,0,0,468,57,0
South America,brasilia,None,2024-02-20,3298,0,0,468,57,0
South America,brasilia,None,2024-02-21,3298,0,0,468,57,0
South America,brasilia,None,2024-02-22,3298,0,0,468,57,0
South America,brasilia,None,2024-02-23,3298,0,0,468,57,0
South America,brasilia,None,2024-02-24,3298,0,0,468,57,0
South America,brasilia,None,2024-02-25,3298,0,0,468,57,0
South America,brasilia,None,2024-02-26,3298,0,0,468,57,0
South America,brasilia,None,2024-02-27,3298,0,0,468,57,0
South America,brasilia,None,2024-02-28,3298,0,0,468,57,0
South America,brasilia,None,2024-02-29,3298,0,0,468,57,0
South America,brasilia,None,2024-03-01,3298,0,0,468,57,0
South America,brasilia,aguas_claras,2024-02-11,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-12,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-13,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-14,139,0,0,21,1,0
