Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2020-05-10,101,101,15,15,0,4
None,None,None,2020-05-11,182,172,26,27,1,6
None,None,None,2020-05-12,225,202,31,34,3,8
None,None,None,2020-05-13,243,205,32,37,5,8
None,None,None,2020-05-14,246,193,31,37,6,7
None,None,None,2020-05-15,238,172,28,36,7,6
None,None,None,2020-05-16,224,148,25,34,8,5
None,None,None,2020-05-17,207,122,21,31,8,4
None,None,None,2020-05-18,189,96,18,28,9,3
None,None,None,2020-05-19,171,73,14,26,9,3
None,None,None,2020-05-20,282,168,28,40,11,6
None,None,None,2020-05-21,295,170,29,43,11,6
None,None,None,2020-05-22,298,162,29,43,11,6
None,None,None,2020-05-23,295,149,26,42,11,6
None,None,None,2020-05-24,292,136,25,42,11,5
None,None,None,2020-05-25,298,134,24,43,11,5
None,None,None,2020-05-26,301,128,24,43,11,5
None,None,None,2020-05-27,301,120,23,44,11,4
None,None,None,2020-05-28,301,112,21,43,10,4
None,None,None,2020-05-29,420,200,35,58,14,7
None,None,None,2020-05-30,426,193,35,58,14,7
None,None,None,2020-05-31,428,184,32,60,15,6
None,None,None,2020-06-01,780,469,76,104,24,18
None,None,None,2020-06-02,791,452,75,106,24,17
None,None,None,2020-06-03,803,433,73,107,24,16
None,None,None,2020-06-04,813,417,70,109,24,15
None,None,None,2020-06-05,822,398,70,110,24,15
None,None,None,2020-06-06,829,381,67,111,25,14
None,None,None,2020-06-07,837,363,64,112,25,14
None,None,None,2020-06-08,960,451,79,129,27,18
None,None,None,2020-06-09,970,432,77,131,27,17
None,None,None,2020-06-10,1235,667,112,169,28,24
None,None,None,2020-06-11,1252,640,110,172,30,21
None,None,None,2020-06-12,1374,712,122,189,31,25
None,None,None,2020-06-13,1390,682,117,190,33,24
None,None,None,2020-06-14,1406,654,115,194,36,23
None,None,None,2020-06-15,1549,743,130,214,38,27
None,None,None,2020-06-16,1565,711,125,217,38,26
None,None,None,2020-06-17,1579,681,122,219,38,25
None,None,None,2020-06-18,1593,652,119,221,38,23
None,None,None,2020-06-19,1607,623,116,223,39,23
None,None,None,2020-06-20,1617,596,110,224,39,22
None,None,None,2020-06-21,1630,567,108,225,39,18
None,None,None,2020-06-22,1639,542,105,225,39,18
None,None,None,2020-06-23,1649,517,102,229,39,18
None,None,None,2020-06-24,1659,493,98,229,39,17
None,None,None,2020-06-25,1666,470,95,233,39,16
None,None,None,2020-06-26,1675,448,91,234,39,16
None,None,None,2020-06-27,1681,429,89,234,39,16
None,None,None,2020-06-28,1688,407,86,236,39,14
None,None,None,2020-06-29,1696,390,83,236,39,14
None,None,None,2020-06-30,1702,369,79,236,39,13
None,None,None,2020-07-01,1706,351,79,238,40,13
None,None,None,2020-07-02,1811,435,91,255,41,16
None,None,None,2020-07-03,1819,415,87,256,41,16
None,None,None,2020-07-04,1829,395,83,256,42,14
None,None,None,2020-07-05,1832,376,80,256,42,13
None,None,None,2020-07-06,1838,359,78,257,42,12
None,None,None,2020-07-07,1842,340,75,257,42,12
None,None,None,2020-07-08,1848,326,72,258,42,11
None,None,None,2020-07-09,1955,404,84,273,43,14
None,None,None,2020-07-10,1962,386,80,275,44,12
None,None,None,2020-07-11,1969,367,78,275,45,11
None,None,None,2020-07-12,1974,350,77,276,45,10
None,None,None,2020-07-13,1979,334,73,276,45,10
None,None,None,2020-07-14,1986,318,70,278,45,10
None,None,None,2020-07-15,1989,302,68,278,45,10
None,None,None,2020-07-16,1993,287,65,279,45,10
None,None,None,2020-07-17,1998,274,62,279,45,10
None,None,None,2020-07-18,1999,259,62,279,45,8
None,None,None,2020-07-19,2003,247,59,279,45,8
None,None,None,2020-07-20,2007,234,58,281,45,8
None,None,None,2020-07-21,2009,224,56,282,45,7
None,None,None,2020-07-22,2013,211,52,282,45,6
None,None,None,2020-07-23,2015,201,49,282,45,5
None,None,None,2020-07-24,2017,190,48,282,45,4
None,None,None,2020-07-25,2021,180,46,282,45,4
None,None,None,2020-07-26,2022,172,44,282,45,4
None,None,None,2020-07-27,2024,164,44,283,45,3
None,None,None,2020-07-28,2025,155,42,283,45,2
None,None,None,2020-07-29,2026,147,39,283,45,2
None,None,None,2020-07-30,2028,140,37,283,45,2
None,None,None,2020-07-31,2029,132,37,283,45,2
None,None,None,2020-08-01,2030,124,34,283,45,2
None,None,None,2020-08-02,2031,117,32,284,45,2
None,None,None,2020-08-03,2032,112,31,284,45,2
None,None,None,2020-08-04,2032,108,29,284,45,2
None,None,None,2020-08-05,2033,100,28,284,45,2
None,None,None,2020-08-06,2035,95,27,284,45,2
None,None,None,2020-08-07,2035,89,27,284,45,2
None,None,None,2020-08-08,2036,85,27,284,45,2
None,None,None,2020-08-09,2036,80,24,284,45,2
None,None,None,2020-08-10,2142,170,37,299,47,6
None,None,None,2020-08-11,2145,163,37,300,47,4
