Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,brasilia,aguas_claras,2020-07-02,67.19322003069722,0.75,-10.0,3.0,0.5,0.01,0.20072275627291924,0.1,0.1,0.0,3.001161074203653,1.0150509399008885
South America,brasilia,brazlandia,2022-01-18,77.18310658611321,0.75,-10.0,3.0,0.5,0.01,0.25284943038729263,0.1,0.1,0.0,3.00111358747834,1.0149212400514103
South America,brasilia,ceilandia,2020-05-20,79.24148464371072,0.75,-10.0,3.0,0.05,0.01,0.19168445364141992,0.1,0.1,0.0,3.0011140913967287,1.0149921025753081
South America,brasilia,gama,2020-06-08,77.13733214406902,0.75,-10.0,3.0,0.2559272272091382,0.01,0.2469782827127909,0.1,0.1,0.0,3.001130909444581,1.0054453822493767
South America,brasilia,guara,2020-07-09,67.59625988355165,0.75,-10.0,3.0,0.5,0.01,0.20092407811297913,0.1,0.1,0.0,3.0011356265923665,1.0043117992163721
South America,brasilia,itapoa,2020-10-17,78.04644655110174,0.75,-10.0,3.0,0.5,0.01,0.14876452808785062,0.1,0.1,0.0,3.0011545927900696,1.0072022984925717
South America,brasilia,jardim_botanico,2022-01-28,69.88660871388632,0.75,-10.0,3.0,0.10266851035568697,0.01,0.2006876062239794,0.1,0.1,0.0,3.001159089831257,1.0001778878198404
South America,brasilia,lago_norte,2022-01-25,81.89137382812194,0.75,-10.0,3.0,0.1358061101850331,0.01,0.21888331016861357,0.1,0.1,0.0,3.001209046065311,1.0017338849762418
South America,brasilia,lago_sul,2022-01-05,84.0296711375477,0.75,-10.0,3.0,0.0876104222185757,0.01,0.20030621786268388,0.1,0.1,0.0,3.0012667434589813,1.000688122055486
South America,brasilia,paranoa,2020-06-01,77.98998933257955,0.75,-10.0,3.0,0.05,0.01,0.17800338830819246,0.1,0.1,0.0,3.0011335512840183,1.0068020502058412
South America,brasilia,planaltina,2020-08-10,70.68427226074036,0.75,-10.0,3.0,0.13696191691326184,0.01,0.22179620681998585,0.1,0.1,0.0,3.0011300316661753,1.0043999633582164
South America,brasilia,plano_piloto,2020-06-01,64.32409175759074,0.75,-10.0,3.0,0.13951485308651143,0.01,0.22787614985571736,0.1,0.1,0.0,3.0011142353005624,1.014924498094399
South America,brasilia,recanto_das_emas,2020-06-15,88.37559518877796,0.75,-10.0,3.0,0.16654340097733678,0.01,0.2083397852497066,0.1,0.1,0.0,3.0011059454668967,1.014903891673468
South America,brasilia,riacho_fundo_ii,2020-06-10,84.30273709880973,0.75,-10.0,3.0,0.16144731228892967,0.01,0.17672116169526975,0.1,0.1,0.0,3.0010952557601085,1.0149398784158368
South America,brasilia,samambaia,2020-05-29,76.86232947431566,0.75,-10.0,3.0,0.05,0.01,0.20325562362201288,0.1,0.1,0.0,3.001109240355084,1.014963279963661
South America,brasilia,santa_maria,2022-01-17,85.86922945753402,0.75,-10.0,3.0,0.13419855427459199,0.01,0.19427157093473052,0.1,0.1,0.0,3.0011140015673154,1.0149617556725292
South America,brasilia,sao_sebastiao,2020-06-10,92.8497851396944,0.75,-10.0,3.0,0.12730554014056727,0.01,0.2033298875564089,0.1,0.1,0.0,3.0011082832805864,1.0149953482131164
South America,brasilia,sistema_penitenciario,2020-05-10,85.1291895338433,1.0001051107210428,0.008715575033357997,1.99991540970462,0.20000918359321007,0.049999278505763356,0.1999999971246716,2.9995711176640305,3.0129727414575584,0.10262878273836451,3.002195682032296,1.0002646954005143
South America,brasilia,sobradinho,2020-06-12,71.3854525061716,0.75,-10.0,3.0,0.5,0.01,0.24306157862518663,0.1,0.1,0.0,3.001120842514663,1.0149937382782672
South America,brasilia,sudoeste_octogonal,2022-01-05,89.40820893312674,0.75,-10.0,3.0,0.10214477563588284,0.01,0.2006786236013658,0.1,0.1,0.0,3.00111840772224,1.0150023289857901
South America,brasilia,taguatinga,2020-06-01,82.32500687918234,0.75,-10.0,3.0,0.05,0.01,0.2266698962191792,0.1,0.1,0.0,3.0011169430619686,1.0114958302300745
South America,brasilia,vicente_pires,2022-01-19,70.71452460862207,0.75,-10.0,3.0,0.5,0.01,0.1278858108129869,0.1,0.1,0.0,3.0011509359841355,1.0002761380825895
