Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,brasilia,aguas_claras,2020-07-02,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,1.0021876096725464,3.257285244842825
South America,brasilia,brazlandia,2022-01-18,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,7.0,0.1
South America,brasilia,ceilandia,2020-05-20,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,0.0,0.1
South America,brasilia,gama,2020-06-08,,0.75,-10.0,3.0,0.5,0.01,0.10532833635807037,0.1,0.1,0.0,2.920177638530731,2.058822629983706
South America,brasilia,guara,2020-07-09,,0.75,-10.0,3.0,0.5,0.01,0.004066623285328115,0.1,0.1,0.0,7.0,0.4349453631194752
South America,brasilia,itapoa,2020-10-17,6988.970287094183,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,0.0,0.1
South America,brasilia,jardim_botanico,2022-01-28,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,0.0,0.1
South America,brasilia,lago_norte,2022-01-25,,0.75,-10.0,3.0,0.5,0.01,0.27035683393478394,0.1,0.1,0.0,4.621072605252266,3.642454054297771
South America,brasilia,lago_sul,2022-01-05,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,7.0,0.1
South America,brasilia,paranoa,2020-06-01,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,4.7128015011549,3.836519784338345
South America,brasilia,planaltina,2020-08-10,,0.75,-10.0,3.0,0.5,0.01,0.0,0.1,0.1,0.0,0.0,0.1
South America,brasilia,plano_piloto,2020-06-01,,0.75,-10.0,3.0,0.5,0.01,0.10532833635807037,0.1,0.1,0.0,2.920177638530731,2.058822629983706
South America,brasilia,recanto_das_emas,2020-06-15,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,7.0,0.1
South America,brasilia,riacho_fundo_ii,2020-06-10,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,0.948672816157341,1.328151312845176
South America,brasilia,samambaia,2020-05-29,,0.75,-10.0,3.0,0.5,0.01,0.10532833635807037,0.1,0.1,0.0,2.920177638530731,2.058822629983706
South America,brasilia,santa_maria,2022-01-17,,0.75,-10.0,3.0,0.5,0.01,0.004425080873959119,0.1,0.1,0.0,7.0,0.27429275344414383
South America,brasilia,sao_sebastiao,2020-06-10,,0.75,-10.0,3.0,0.5,0.01,0.040345325134694576,0.1,0.1,0.0,6.188179871067405,3.1270822503601683
South America,brasilia,sistema_penitenciario,2020-05-10,,0.9439427323742235,-6.681792199707285,2.9999767822003056,0.05587032624283715,0.20312778992551964,0.0,0.2333323354365365,0.398485989582726,2.9135328959530074,0.7671239818952882,0.33729980324034625
South America,brasilia,sobradinho,2020-06-12,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,7.0,0.1
South America,brasilia,sudoeste_octogonal,2022-01-05,,0.75,-10.0,3.0,0.5,0.01,0.31395097193308175,0.1,0.1,0.0,1.9542590826749802,4.763824977649973
South America,brasilia,taguatinga,2020-06-01,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,0.0,0.1
South America,brasilia,vicente_pires,2022-01-19,,0.75,-10.0,3.0,0.5,0.01,0.0,0.1,0.1,0.0,0.8209180533885956,4.331705430878939
