country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,aguas_claras,2020-03-01,-123,3,0,,,,,,
brasilia,aguas_claras,2020-03-05,-119,1,0,,,,,,
brasilia,aguas_claras,2020-03-07,-117,2,0,,,,,,
brasilia,aguas_claras,2020-03-08,-116,3,0,,,,,,
brasilia,aguas_claras,2020-03-09,-115,4,0,,,,,,
brasilia,aguas_claras,2020-03-10,-114,2,0,,,,,,
brasilia,aguas_claras,2020-03-11,-113,3,0,,,,,,
brasilia,aguas_claras,2020-03-12,-112,3,0,,,,,,
brasilia,aguas_claras,2020-03-13,-111,2,0,,,,,,
brasilia,aguas_claras,2020-03-14,-110,4,0,,,,,,
brasilia,aguas_claras,2020-03-15,-109,7,0,,,,,,
brasilia,aguas_claras,2020-03-16,-108,2,0,,,,,,
brasilia,aguas_claras,2020-03-17,-107,9,0,,,,,,
brasilia,aguas_claras,2020-03-18,-106,8,0,,,,,,
brasilia,aguas_claras,2020-03-19,-105,8,1,,,,,,
brasilia,aguas_claras,2020-03-20,-104,8,1,,,,,,
brasilia,aguas_claras,2020-03-21,-103,2,0,,,,,,
brasilia,aguas_claras,2020-03-22,-102,4,0,,,,,,
brasilia,aguas_claras,2020-03-23,-101,8,0,,,,,,
brasilia,aguas_claras,2020-03-24,-100,5,0,,,,,,
brasilia,aguas_claras,2020-03-25,-99,4,0,,,,,,
brasilia,aguas_claras,2020-03-26,-98,6,0,,,,,,
brasilia,aguas_claras,2020-03-27,-97,1,0,,,,,,
brasilia,aguas_claras,2020-03-28,-96,2,0,,,,,,
brasilia,aguas_claras,2020-03-29,-95,2,0,,,,,,
brasilia,aguas_claras,2020-03-30,-94,2,1,,,,,,
brasilia,aguas_claras,2020-03-31,-93,5,0,,,,,,
brasilia,aguas_claras,2020-04-01,-92,7,0,,,,,,
brasilia,aguas_claras,2020-04-02,-91,4,0,,,,,,
brasilia,aguas_claras,2020-04-03,-90,4,0,,,,,,
brasilia,aguas_claras,2020-04-04,-89,4,0,,,,,,
brasilia,aguas_claras,2020-04-05,-88,3,0,,,,,,
brasilia,aguas_claras,2020-04-06,-87,1,1,,,,,,
brasilia,aguas_claras,2020-04-07,-86,2,0,,,,,,
brasilia,aguas_claras,2020-04-08,-85,8,0,,,,,,
brasilia,aguas_claras,2020-04-09,-84,4,0,,,,,,
brasilia,aguas_claras,2020-04-10,-83,6,0,,,,,,
brasilia,aguas_claras,2020-04-11,-82,6,0,,,,,,
brasilia,aguas_claras,2020-04-12,-81,3,0,,,,,,
brasilia,aguas_claras,2020-04-13,-80,10,0,,,,,,
brasilia,aguas_claras,2020-04-14,-79,5,0,,,,,,
brasilia,aguas_claras,2020-04-15,-78,11,0,,,,,,
brasilia,aguas_claras,2020-04-16,-77,5,0,,,,,,
brasilia,aguas_claras,2020-04-17,-76,8,0,,,,,,
brasilia,aguas_claras,2020-04-18,-75,5,0,,,,,,
brasilia,aguas_claras,2020-04-19,-74,2,0,,,,,,
brasilia,aguas_claras,2020-04-20,-73,15,0,,,,,,
brasilia,aguas_claras,2020-04-21,-72,11,0,,,,,,
brasilia,aguas_claras,2020-04-22,-71,17,0,,,,,,
brasilia,aguas_claras,2020-04-23,-70,15,0,,,,,,
brasilia,aguas_claras,2020-04-24,-69,4,0,,,,,,
brasilia,aguas_claras,2020-04-25,-68,11,0,,,,,,
brasilia,aguas_claras,2020-04-26,-67,1,0,,,,,,
brasilia,aguas_claras,2020-04-27,-66,8,0,,,,,,
brasilia,aguas_claras,2020-04-28,-65,17,0,,,,,,
brasilia,aguas_claras,2020-04-29,-64,14,0,,,,,,
brasilia,aguas_claras,2020-04-30,-63,9,0,,,,,,
brasilia,aguas_claras,2020-05-01,-62,8,0,,,,,,
brasilia,aguas_claras,2020-05-02,-61,5,0,,,,,,
brasilia,aguas_claras,2020-05-03,-60,10,0,,,,,,
brasilia,aguas_claras,2020-05-04,-59,9,0,,,,,,
brasilia,aguas_claras,2020-05-05,-58,13,2,,,,,,
brasilia,aguas_claras,2020-05-06,-57,15,0,,,,,,
brasilia,aguas_claras,2020-05-07,-56,13,0,,,,,,
brasilia,aguas_claras,2020-05-08,-55,15,0,,,,,,
brasilia,aguas_claras,2020-05-09,-54,13,1,,,,,,
brasilia,aguas_claras,2020-05-10,-53,23,0,,,,,,
brasilia,aguas_claras,2020-05-11,-52,12,0,,,,,,
brasilia,aguas_claras,2020-05-12,-51,14,0,,,,,,
brasilia,aguas_claras,2020-05-13,-50,13,0,,,,,,
brasilia,aguas_claras,2020-05-14,-49,12,0,,,,,,
brasilia,aguas_claras,2020-05-15,-48,26,1,,,,,,
brasilia,aguas_claras,2020-05-16,-47,17,0,,,,,,
brasilia,aguas_claras,2020-05-17,-46,9,0,,,,,,
brasilia,aguas_claras,2020-05-18,-45,31,1,,,,,,
brasilia,aguas_claras,2020-05-19,-44,20,0,,,,,,
brasilia,aguas_claras,2020-05-20,-43,22,1,,,,,,
brasilia,aguas_claras,2020-05-21,-42,16,0,,,,,,
brasilia,aguas_claras,2020-05-22,-41,25,0,,,,,,
brasilia,aguas_claras,2020-05-23,-40,11,0,,,,,,
brasilia,aguas_claras,2020-05-24,-39,15,0,,,,,,
brasilia,aguas_claras,2020-05-25,-38,25,1,,,,,,
brasilia,aguas_claras,2020-05-26,-37,27,2,,,,,,
brasilia,aguas_claras,2020-05-27,-36,27,1,,,,,,
brasilia,aguas_claras,2020-05-28,-35,34,1,,,,,,
brasilia,aguas_claras,2020-05-29,-34,23,0,,,,,,
brasilia,aguas_claras,2020-05-30,-33,26,0,,,,,,
brasilia,aguas_claras,2020-05-31,-32,17,2,,,,,,
brasilia,aguas_claras,2020-06-01,-31,58,0,,,,,,
brasilia,aguas_claras,2020-06-02,-30,41,1,,,,,,
brasilia,aguas_claras,2020-06-03,-29,48,0,,,,,,
