country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,arniqueira,2020-03-16,,1,0,,,,,,
brasilia,arniqueira,2020-03-23,,1,0,,,,,,
brasilia,arniqueira,2020-03-28,,1,0,,,,,,
brasilia,arniqueira,2020-03-30,,1,0,,,,,,
brasilia,arniqueira,2020-04-01,,1,0,,,,,,
brasilia,arniqueira,2020-04-02,,2,0,,,,,,
brasilia,arniqueira,2020-04-03,,1,0,,,,,,
brasilia,arniqueira,2020-04-04,,1,0,,,,,,
brasilia,arniqueira,2020-04-05,,2,0,,,,,,
brasilia,arniqueira,2020-04-07,,1,0,,,,,,
brasilia,arniqueira,2020-04-08,,1,0,,,,,,
brasilia,arniqueira,2020-04-10,,1,0,,,,,,
brasilia,arniqueira,2020-04-14,,1,0,,,,,,
brasilia,arniqueira,2020-04-16,,1,0,,,,,,
brasilia,arniqueira,2020-04-17,,1,0,,,,,,
brasilia,arniqueira,2020-04-21,,1,0,,,,,,
brasilia,arniqueira,2020-04-23,,1,0,,,,,,
brasilia,arniqueira,2020-04-24,,1,0,,,,,,
brasilia,arniqueira,2020-04-26,,2,0,,,,,,
brasilia,arniqueira,2020-04-30,,2,0,,,,,,
brasilia,arniqueira,2020-05-02,,2,0,,,,,,
brasilia,arniqueira,2020-05-04,,1,0,,,,,,
brasilia,arniqueira,2020-05-05,,1,0,,,,,,
brasilia,arniqueira,2020-05-06,,1,0,,,,,,
brasilia,arniqueira,2020-05-07,,2,1,,,,,,
brasilia,arniqueira,2020-05-09,,1,0,,,,,,
brasilia,arniqueira,2020-05-10,,2,0,,,,,,
brasilia,arniqueira,2020-05-11,,2,0,,,,,,
brasilia,arniqueira,2020-05-13,,1,0,,,,,,
brasilia,arniqueira,2020-05-14,,2,0,,,,,,
brasilia,arniqueira,2020-05-15,,4,0,,,,,,
brasilia,arniqueira,2020-05-17,,1,0,,,,,,
brasilia,arniqueira,2020-05-18,,2,0,,,,,,
brasilia,arniqueira,2020-05-20,,2,0,,,,,,
brasilia,arniqueira,2020-05-21,,3,0,,,,,,
brasilia,arniqueira,2020-05-22,,1,0,,,,,,
brasilia,arniqueira,2020-05-23,,2,0,,,,,,
brasilia,arniqueira,2020-05-25,,6,0,,,,,,
brasilia,arniqueira,2020-05-26,,4,0,,,,,,
brasilia,arniqueira,2020-05-27,,1,0,,,,,,
brasilia,arniqueira,2020-05-28,,1,0,,,,,,
brasilia,arniqueira,2020-05-29,,2,0,,,,,,
brasilia,arniqueira,2020-05-30,,2,0,,,,,,
brasilia,arniqueira,2020-05-31,,4,0,,,,,,
brasilia,arniqueira,2020-06-01,,9,1,,,,,,
brasilia,arniqueira,2020-06-02,,2,0,,,,,,
brasilia,arniqueira,2020-06-03,,10,0,,,,,,
brasilia,arniqueira,2020-06-04,,7,1,,,,,,
