country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,brazlândia,2020-03-06,-683,1,0,,,,,,
brasilia,brazlândia,2020-03-13,-676,1,0,,,,,,
brasilia,brazlândia,2020-03-19,-670,1,0,,,,,,
brasilia,brazlândia,2020-03-20,-669,1,0,,,,,,
brasilia,brazlândia,2020-03-26,-663,1,0,,,,,,
brasilia,brazlândia,2020-03-29,-660,1,0,,,,,,
brasilia,brazlândia,2020-04-05,-653,1,0,,,,,,
brasilia,brazlândia,2020-04-06,-652,1,0,,,,,,
brasilia,brazlândia,2020-04-08,-650,3,0,,,,,,
brasilia,brazlândia,2020-04-10,-648,1,0,,,,,,
brasilia,brazlândia,2020-04-11,-647,1,0,,,,,,
brasilia,brazlândia,2020-04-14,-644,2,0,,,,,,
brasilia,brazlândia,2020-04-15,-643,2,0,,,,,,
brasilia,brazlândia,2020-04-17,-641,1,0,,,,,,
brasilia,brazlândia,2020-04-20,-638,3,0,,,,,,
brasilia,brazlândia,2020-04-21,-637,2,0,,,,,,
brasilia,brazlândia,2020-04-22,-636,5,0,,,,,,
brasilia,brazlândia,2020-04-23,-635,1,0,,,,,,
brasilia,brazlândia,2020-04-25,-633,1,0,,,,,,
brasilia,brazlândia,2020-04-26,-632,2,0,,,,,,
brasilia,brazlândia,2020-04-27,-631,1,0,,,,,,
brasilia,brazlândia,2020-04-28,-630,2,0,,,,,,
brasilia,brazlândia,2020-04-29,-629,2,0,,,,,,
brasilia,brazlândia,2020-04-30,-628,4,0,,,,,,
brasilia,brazlândia,2020-05-01,-627,3,0,,,,,,
brasilia,brazlândia,2020-05-02,-626,4,0,,,,,,
brasilia,brazlândia,2020-05-03,-625,3,0,,,,,,
brasilia,brazlândia,2020-05-04,-624,6,1,,,,,,
brasilia,brazlândia,2020-05-05,-623,3,1,,,,,,
brasilia,brazlândia,2020-05-06,-622,7,1,,,,,,
brasilia,brazlândia,2020-05-07,-621,4,0,,,,,,
brasilia,brazlândia,2020-05-08,-620,8,0,,,,,,
brasilia,brazlândia,2020-05-09,-619,3,0,,,,,,
brasilia,brazlândia,2020-05-10,-618,11,1,,,,,,
brasilia,brazlândia,2020-05-11,-617,4,0,,,,,,
brasilia,brazlândia,2020-05-12,-616,6,0,,,,,,
brasilia,brazlândia,2020-05-13,-615,5,0,,,,,,
brasilia,brazlândia,2020-05-14,-614,6,0,,,,,,
brasilia,brazlândia,2020-05-15,-613,6,1,,,,,,
brasilia,brazlândia,2020-05-16,-612,5,0,,,,,,
brasilia,brazlândia,2020-05-17,-611,10,0,,,,,,
brasilia,brazlândia,2020-05-18,-610,5,0,,,,,,
brasilia,brazlândia,2020-05-19,-609,9,0,,,,,,
brasilia,brazlândia,2020-05-20,-608,19,0,,,,,,
brasilia,brazlândia,2020-05-21,-607,5,1,,,,,,
brasilia,brazlândia,2020-05-22,-606,15,0,,,,,,
brasilia,brazlândia,2020-05-23,-605,6,0,,,,,,
brasilia,brazlândia,2020-05-24,-604,1,0,,,,,,
brasilia,brazlândia,2020-05-25,-603,16,0,,,,,,
brasilia,brazlândia,2020-05-26,-602,13,0,,,,,,
brasilia,brazlândia,2020-05-27,-601,14,0,,,,,,
brasilia,brazlândia,2020-05-28,-600,13,1,,,,,,
brasilia,brazlândia,2020-05-29,-599,18,0,,,,,,
brasilia,brazlândia,2020-05-30,-598,12,1,,,,,,
brasilia,brazlândia,2020-05-31,-597,9,0,,,,,,
brasilia,brazlândia,2020-06-01,-596,38,1,,,,,,
brasilia,brazlândia,2020-06-02,-595,28,0,,,,,,
brasilia,brazlândia,2020-06-03,-594,37,0,,,,,,
brasilia,brazlândia,2020-06-04,-593,24,1,,,,,,
brasilia,brazlândia,2020-06-05,-592,22,1,,,,,,
brasilia,brazlândia,2020-06-06,-591,7,0,,,,,,
brasilia,brazlândia,2020-06-07,-590,10,0,,,,,,
brasilia,brazlândia,2020-06-08,-589,28,0,,,,,,
brasilia,brazlândia,2020-06-09,-588,19,0,,,,,,
brasilia,brazlândia,2020-06-10,-587,33,1,,,,,,
brasilia,brazlândia,2020-06-11,-586,21,1,,,,,,
brasilia,brazlândia,2020-06-12,-585,29,2,,,,,,
brasilia,brazlândia,2020-06-13,-584,26,1,,,,,,
brasilia,brazlândia,2020-06-14,-583,13,2,,,,,,
brasilia,brazlândia,2020-06-15,-582,27,1,,,,,,
brasilia,brazlândia,2020-06-16,-581,20,0,,,,,,
brasilia,brazlândia,2020-06-17,-580,24,0,,,,,,
brasilia,brazlândia,2020-06-18,-579,16,0,,,,,,
brasilia,brazlândia,2020-06-19,-578,34,0,,,,,,
brasilia,brazlândia,2020-06-20,-577,23,1,,,,,,
brasilia,brazlândia,2020-06-21,-576,15,0,,,,,,
brasilia,brazlândia,2020-06-22,-575,25,0,,,,,,
brasilia,brazlândia,2020-06-23,-574,24,1,,,,,,
brasilia,brazlândia,2020-06-24,-573,18,0,,,,,,
brasilia,brazlândia,2020-06-25,-572,30,0,,,,,,
brasilia,brazlândia,2020-06-26,-571,31,0,,,,,,
brasilia,brazlândia,2020-06-27,-570,18,1,,,,,,
brasilia,brazlândia,2020-06-28,-569,13,2,,,,,,
brasilia,brazlândia,2020-06-29,-568,27,0,,,,,,
brasilia,brazlândia,2020-06-30,-567,25,0,,,,,,
brasilia,brazlândia,2020-07-01,-566,35,0,,,,,,
brasilia,brazlândia,2020-07-02,-565,28,0,,,,,,
brasilia,brazlândia,2020-07-03,-564,32,0,,,,,,
brasilia,brazlândia,2020-07-04,-563,20,1,,,,,,
brasilia,brazlândia,2020-07-05,-562,20,1,,,,,,
brasilia,brazlândia,2020-07-06,-561,30,1,,,,,,
brasilia,brazlândia,2020-07-07,-560,23,1,,,,,,
brasilia,brazlândia,2020-07-08,-559,35,0,,,,,,
brasilia,brazlândia,2020-07-09,-558,22,1,,,,,,
brasilia,brazlândia,2020-07-10,-557,40,0,,,,,,
brasilia,brazlândia,2020-07-11,-556,18,0,,,,,,
brasilia,brazlândia,2020-07-12,-555,16,1,,,,,,
brasilia,brazlândia,2020-07-13,-554,26,0,,,,,,
brasilia,brazlândia,2020-07-14,-553,28,1,,,,,,
brasilia,brazlândia,2020-07-15,-552,18,1,,,,,,
brasilia,brazlândia,2020-07-16,-551,19,1,,,,,,
brasilia,brazlândia,2020-07-17,-550,27,1,,,,,,
brasilia,brazlândia,2020-07-18,-549,22,0,,,,,,
brasilia,brazlândia,2020-07-19,-548,24,3,,,,,,
brasilia,brazlândia,2020-07-20,-547,33,0,,,,,,
brasilia,brazlândia,2020-07-21,-546,25,2,,,,,,
brasilia,brazlândia,2020-07-22,-545,25,1,,,,,,
brasilia,brazlândia,2020-07-23,-544,29,1,,,,,,
brasilia,brazlândia,2020-07-24,-543,22,2,,,,,,
brasilia,brazlândia,2020-07-25,-542,18,1,,,,,,
brasilia,brazlândia,2020-07-26,-541,21,0,,,,,,
brasilia,brazlândia,2020-07-27,-540,36,1,,,,,,
brasilia,brazlândia,2020-07-28,-539,32,2,,,,,,
brasilia,brazlândia,2020-07-29,-538,24,1,,,,,,
brasilia,brazlândia,2020-07-30,-537,29,1,,,,,,
brasilia,brazlândia,2020-07-31,-536,19,1,,,,,,
brasilia,brazlândia,2020-08-01,-535,25,1,,,,,,
brasilia,brazlândia,2020-08-02,-534,21,0,,,,,,
brasilia,brazlândia,2020-08-03,-533,34,0,,,,,,
brasilia,brazlândia,2020-08-04,-532,22,0,,,,,,
brasilia,brazlândia,2020-08-05,-531,35,3,,,,,,
brasilia,brazlândia,2020-08-06,-530,26,0,,,,,,
brasilia,brazlândia,2020-08-07,-529,40,0,,,,,,
brasilia,brazlândia,2020-08-08,-528,19,1,,,,,,
brasilia,brazlândia,2020-08-09,-527,10,0,,,,,,
brasilia,brazlândia,2020-08-10,-526,18,0,,,,,,
brasilia,brazlândia,2020-08-11,-525,27,0,,,,,,
brasilia,brazlândia,2020-08-12,-524,37,0,,,,,,
brasilia,brazlândia,2020-08-13,-523,27,0,,,,,,
brasilia,brazlândia,2020-08-14,-522,34,0,,,,,,
brasilia,brazlândia,2020-08-15,-521,13,0,,,,,,
brasilia,brazlândia,2020-08-16,-520,15,0,,,,,,
brasilia,brazlândia,2020-08-17,-519,24,0,,,,,,
brasilia,brazlândia,2020-08-18,-518,27,1,,,,,,
brasilia,brazlândia,2020-08-19,-517,22,1,,,,,,
brasilia,brazlândia,2020-08-20,-516,25,0,,,,,,
brasilia,brazlândia,2020-08-21,-515,28,1,,,,,,
brasilia,brazlândia,2020-08-22,-514,22,0,,,,,,
brasilia,brazlândia,2020-08-23,-513,16,0,,,,,,
brasilia,brazlândia,2020-08-24,-512,26,1,,,,,,
brasilia,brazlândia,2020-08-25,-511,19,1,,,,,,
brasilia,brazlândia,2020-08-26,-510,23,1,,,,,,
brasilia,brazlândia,2020-08-27,-509,21,0,,,,,,
brasilia,brazlândia,2020-08-28,-508,20,0,,,,,,
brasilia,brazlândia,2020-08-29,-507,9,1,,,,,,
brasilia,brazlândia,2020-08-30,-506,13,0,,,,,,
brasilia,brazlândia,2020-08-31,-505,16,1,,,,,,
brasilia,brazlândia,2020-09-01,-504,15,0,,,,,,
brasilia,brazlândia,2020-09-02,-503,18,0,,,,,,
brasilia,brazlândia,2020-09-03,-502,10,0,,,,,,
brasilia,brazlândia,2020-09-04,-501,13,0,,,,,,
brasilia,brazlândia,2020-09-05,-500,14,0,,,,,,
brasilia,brazlândia,2020-09-06,-499,7,0,,,,,,
brasilia,brazlândia,2020-09-07,-498,13,0,,,,,,
brasilia,brazlândia,2020-09-08,-497,20,0,,,,,,
brasilia,brazlândia,2020-09-09,-496,17,0,,,,,,
brasilia,brazlândia,2020-09-10,-495,21,0,,,,,,
brasilia,brazlândia,2020-09-11,-494,9,0,,,,,,
brasilia,brazlândia,2020-09-12,-493,15,1,,,,,,
brasilia,brazlândia,2020-09-13,-492,16,0,,,,,,
brasilia,brazlândia,2020-09-14,-491,11,0,,,,,,
brasilia,brazlândia,2020-09-15,-490,18,1,,,,,,
brasilia,brazlândia,2020-09-16,-489,11,0,,,,,,
brasilia,brazlândia,2020-09-17,-488,14,0,,,,,,
brasilia,brazlândia,2020-09-18,-487,8,0,,,,,,
brasilia,brazlândia,2020-09-19,-486,4,0,,,,,,
brasilia,brazlândia,2020-09-20,-485,5,0,,,,,,
brasilia,brazlândia,2020-09-21,-484,11,0,,,,,,
brasilia,brazlândia,2020-09-22,-483,11,1,,,,,,
brasilia,brazlândia,2020-09-23,-482,18,0,,,,,,
brasilia,brazlândia,2020-09-24,-481,12,0,,,,,,
brasilia,brazlândia,2020-09-25,-480,12,0,,,,,,
brasilia,brazlândia,2020-09-26,-479,11,0,,,,,,
brasilia,brazlândia,2020-09-27,-478,6,1,,,,,,
brasilia,brazlândia,2020-09-28,-477,6,0,,,,,,
brasilia,brazlândia,2020-09-29,-476,4,0,,,,,,
brasilia,brazlândia,2020-09-30,-475,11,0,,,,,,
brasilia,brazlândia,2020-10-01,-474,18,0,,,,,,
brasilia,brazlândia,2020-10-02,-473,12,1,,,,,,
brasilia,brazlândia,2020-10-03,-472,6,0,,,,,,
brasilia,brazlândia,2020-10-04,-471,7,0,,,,,,
brasilia,brazlândia,2020-10-05,-470,6,0,,,,,,
brasilia,brazlândia,2020-10-06,-469,11,0,,,,,,
brasilia,brazlândia,2020-10-07,-468,5,0,,,,,,
brasilia,brazlândia,2020-10-08,-467,4,0,,,,,,
brasilia,brazlândia,2020-10-09,-466,11,0,,,,,,
brasilia,brazlândia,2020-10-10,-465,4,0,,,,,,
brasilia,brazlândia,2020-10-11,-464,5,0,,,,,,
brasilia,brazlândia,2020-10-12,-463,3,0,,,,,,
brasilia,brazlândia,2020-10-13,-462,12,1,,,,,,
brasilia,brazlândia,2020-10-14,-461,12,0,,,,,,
brasilia,brazlândia,2020-10-15,-460,6,0,,,,,,
brasilia,brazlândia,2020-10-16,-459,3,0,,,,,,
brasilia,brazlândia,2020-10-17,-458,7,1,,,,,,
brasilia,brazlândia,2020-10-18,-457,10,0,,,,,,
brasilia,brazlândia,2020-10-19,-456,16,1,,,,,,
brasilia,brazlândia,2020-10-20,-455,8,0,,,,,,
brasilia,brazlândia,2020-10-21,-454,6,0,,,,,,
brasilia,brazlândia,2020-10-22,-453,13,0,,,,,,
brasilia,brazlândia,2020-10-23,-452,3,0,,,,,,
brasilia,brazlândia,2020-10-24,-451,6,0,,,,,,
brasilia,brazlândia,2020-10-25,-450,6,0,,,,,,
brasilia,brazlândia,2020-10-26,-449,10,1,,,,,,
brasilia,brazlândia,2020-10-27,-448,6,1,,,,,,
brasilia,brazlândia,2020-10-28,-447,5,0,,,,,,
brasilia,brazlândia,2020-10-29,-446,7,0,,,,,,
brasilia,brazlândia,2020-10-30,-445,7,0,,,,,,
brasilia,brazlândia,2020-10-31,-444,6,0,,,,,,
brasilia,brazlândia,2020-11-01,-443,6,0,,,,,,
brasilia,brazlândia,2020-11-02,-442,5,0,,,,,,
brasilia,brazlândia,2020-11-03,-441,1,0,,,,,,
brasilia,brazlândia,2020-11-04,-440,3,0,,,,,,
brasilia,brazlândia,2020-11-05,-439,6,0,,,,,,
brasilia,brazlândia,2020-11-06,-438,6,0,,,,,,
brasilia,brazlândia,2020-11-07,-437,10,0,,,,,,
brasilia,brazlândia,2020-11-08,-436,6,0,,,,,,
brasilia,brazlândia,2020-11-09,-435,6,0,,,,,,
brasilia,brazlândia,2020-11-10,-434,24,1,,,,,,
brasilia,brazlândia,2020-11-11,-433,12,0,,,,,,
brasilia,brazlândia,2020-11-12,-432,4,0,,,,,,
brasilia,brazlândia,2020-11-13,-431,4,0,,,,,,
brasilia,brazlândia,2020-11-14,-430,7,0,,,,,,
brasilia,brazlândia,2020-11-15,-429,2,0,,,,,,
brasilia,brazlândia,2020-11-16,-428,6,0,,,,,,
brasilia,brazlândia,2020-11-17,-427,8,0,,,,,,
brasilia,brazlândia,2020-11-18,-426,6,0,,,,,,
brasilia,brazlândia,2020-11-19,-425,3,0,,,,,,
brasilia,brazlândia,2020-11-20,-424,7,0,,,,,,
brasilia,brazlândia,2020-11-21,-423,13,0,,,,,,
brasilia,brazlândia,2020-11-22,-422,1,0,,,,,,
brasilia,brazlândia,2020-11-23,-421,13,0,,,,,,
brasilia,brazlândia,2020-11-24,-420,6,0,,,,,,
brasilia,brazlândia,2020-11-25,-419,2,0,,,,,,
brasilia,brazlândia,2020-11-26,-418,10,0,,,,,,
brasilia,brazlândia,2020-11-27,-417,2,0,,,,,,
brasilia,brazlândia,2020-11-28,-416,9,0,,,,,,
brasilia,brazlândia,2020-11-29,-415,19,0,,,,,,
brasilia,brazlândia,2020-11-30,-414,12,1,,,,,,
brasilia,brazlândia,2020-12-01,-413,4,0,,,,,,
brasilia,brazlândia,2020-12-02,-412,3,0,,,,,,
brasilia,brazlândia,2020-12-03,-411,8,0,,,,,,
brasilia,brazlândia,2020-12-04,-410,10,0,,,,,,
brasilia,brazlândia,2020-12-05,-409,8,0,,,,,,
brasilia,brazlândia,2020-12-06,-408,10,0,,,,,,
brasilia,brazlândia,2020-12-07,-407,7,0,,,,,,
brasilia,brazlândia,2020-12-08,-406,8,1,,,,,,
brasilia,brazlândia,2020-12-09,-405,5,1,,,,,,
brasilia,brazlândia,2020-12-10,-404,4,1,,,,,,
brasilia,brazlândia,2020-12-11,-403,7,0,,,,,,
brasilia,brazlândia,2020-12-12,-402,17,0,,,,,,
brasilia,brazlândia,2020-12-13,-401,10,1,,,,,,
brasilia,brazlândia,2020-12-14,-400,1,1,,,,,,
brasilia,brazlândia,2020-12-15,-399,11,0,,,,,,
brasilia,brazlândia,2020-12-16,-398,4,0,,,,,,
brasilia,brazlândia,2020-12-17,-397,6,0,,,,,,
brasilia,brazlândia,2020-12-18,-396,7,0,,,,,,
brasilia,brazlândia,2020-12-19,-395,12,1,,,,,,
brasilia,brazlândia,2020-12-20,-394,7,0,,,,,,
brasilia,brazlândia,2020-12-21,-393,8,0,,,,,,
brasilia,brazlândia,2020-12-22,-392,4,0,,,,,,
brasilia,brazlândia,2020-12-23,-391,4,0,,,,,,
brasilia,brazlândia,2020-12-24,-390,4,0,,,,,,
brasilia,brazlândia,2020-12-25,-389,18,0,,,,,,
brasilia,brazlândia,2020-12-26,-388,12,0,,,,,,
brasilia,brazlândia,2020-12-27,-387,12,1,,,,,,
brasilia,brazlândia,2020-12-28,-386,10,0,,,,,,
brasilia,brazlândia,2020-12-29,-385,5,0,,,,,,
brasilia,brazlândia,2020-12-30,-384,8,0,,,,,,
brasilia,brazlândia,2020-12-31,-383,15,1,,,,,,
brasilia,brazlândia,2021-01-01,-382,4,0,,,,,,
brasilia,brazlândia,2021-01-02,-381,23,0,,,,,,
brasilia,brazlândia,2021-01-03,-380,23,0,,,,,,
brasilia,brazlândia,2021-01-04,-379,7,1,,,,,,
brasilia,brazlândia,2021-01-05,-378,14,0,,,,,,
brasilia,brazlândia,2021-01-06,-377,5,0,,,,,,
brasilia,brazlândia,2021-01-07,-376,11,2,,,,,,
brasilia,brazlândia,2021-01-08,-375,7,0,,,,,,
brasilia,brazlândia,2021-01-09,-374,21,0,,,,,,
brasilia,brazlândia,2021-01-10,-373,17,1,,,,,,
brasilia,brazlândia,2021-01-11,-372,5,1,,,,,,
brasilia,brazlândia,2021-01-12,-371,14,0,,,,,,
brasilia,brazlândia,2021-01-13,-370,11,1,,,,,,
brasilia,brazlândia,2021-01-14,-369,10,1,,,,,,
brasilia,brazlândia,2021-01-15,-368,12,0,,,,,,
brasilia,brazlândia,2021-01-16,-367,9,0,,,,,,
brasilia,brazlândia,2021-01-17,-366,12,0,,,,,,
brasilia,brazlândia,2021-01-18,-365,15,0,,,,,,
brasilia,brazlândia,2021-01-19,-364,6,0,,,,,,
brasilia,brazlândia,2021-01-20,-363,4,0,,,,,,
brasilia,brazlândia,2021-01-21,-362,6,0,,,,,,
brasilia,brazlândia,2021-01-22,-361,7,0,,,,,,
brasilia,brazlândia,2021-01-23,-360,14,0,,,,,,
brasilia,brazlândia,2021-01-24,-359,11,0,,,,,,
brasilia,brazlândia,2021-01-25,-358,12,0,,,,,,
brasilia,brazlândia,2021-01-26,-357,4,0,,,,,,
brasilia,brazlândia,2021-01-27,-356,4,0,,,,,,
brasilia,brazlândia,2021-01-28,-355,2,0,,,,,,
brasilia,brazlândia,2021-01-29,-354,3,0,,,,,,
brasilia,brazlândia,2021-01-30,-353,11,0,,,,,,
brasilia,brazlândia,2021-01-31,-352,8,0,,,,,,
brasilia,brazlândia,2021-02-01,-351,8,0,,,,,,
brasilia,brazlândia,2021-02-02,-350,12,0,,,,,,
brasilia,brazlândia,2021-02-03,-349,7,1,,,,,,
brasilia,brazlândia,2021-02-04,-348,4,0,,,,,,
brasilia,brazlândia,2021-02-05,-347,25,1,,,,,,
brasilia,brazlândia,2021-02-06,-346,6,0,,,,,,
brasilia,brazlândia,2021-02-07,-345,5,0,,,,,,
brasilia,brazlândia,2021-02-08,-344,13,2,,,,,,
brasilia,brazlândia,2021-02-09,-343,12,2,,,,,,
brasilia,brazlândia,2021-02-10,-342,11,0,,,,,,
brasilia,brazlândia,2021-02-11,-341,2,0,,,,,,
brasilia,brazlândia,2021-02-12,-340,6,1,,,,,,
brasilia,brazlândia,2021-02-13,-339,5,0,,,,,,
brasilia,brazlândia,2021-02-14,-338,15,1,,,,,,
brasilia,brazlândia,2021-02-15,-337,18,1,,,,,,
brasilia,brazlândia,2021-02-16,-336,15,0,,,,,,
brasilia,brazlândia,2021-02-17,-335,6,0,,,,,,
brasilia,brazlândia,2021-02-18,-334,5,1,,,,,,
brasilia,brazlândia,2021-02-19,-333,20,0,,,,,,
brasilia,brazlândia,2021-02-20,-332,32,1,,,,,,
brasilia,brazlândia,2021-02-21,-331,9,0,,,,,,
brasilia,brazlândia,2021-02-22,-330,15,1,,,,,,
brasilia,brazlândia,2021-02-23,-329,33,1,,,,,,
brasilia,brazlândia,2021-02-24,-328,16,3,,,,,,
brasilia,brazlândia,2021-02-25,-327,5,0,,,,,,
brasilia,brazlândia,2021-02-26,-326,27,1,,,,,,
brasilia,brazlândia,2021-02-27,-325,27,1,,,,,,
brasilia,brazlândia,2021-02-28,-324,6,0,,,,,,
brasilia,brazlândia,2021-03-01,-323,42,1,,,,,,
brasilia,brazlândia,2021-03-02,-322,27,1,,,,,,
brasilia,brazlândia,2021-03-03,-321,12,0,,,,,,
brasilia,brazlândia,2021-03-04,-320,13,2,,,,,,
brasilia,brazlândia,2021-03-05,-319,20,0,,,,,,
brasilia,brazlândia,2021-03-06,-318,32,0,,,,,,
brasilia,brazlândia,2021-03-07,-317,22,2,,,,,,
brasilia,brazlândia,2021-03-08,-316,30,3,,,,,,
brasilia,brazlândia,2021-03-09,-315,25,1,,,,,,
brasilia,brazlândia,2021-03-10,-314,10,0,,,,,,
brasilia,brazlândia,2021-03-11,-313,23,0,,,,,,
brasilia,brazlândia,2021-03-12,-312,47,4,,,,,,
brasilia,brazlândia,2021-03-13,-311,42,2,,,,,,
brasilia,brazlândia,2021-03-14,-310,22,1,,,,,,
brasilia,brazlândia,2021-03-15,-309,52,1,,,,,,
brasilia,brazlândia,2021-03-16,-308,47,1,,,,,,
brasilia,brazlândia,2021-03-17,-307,14,0,,,,,,
brasilia,brazlândia,2021-03-18,-306,18,1,,,,,,
brasilia,brazlândia,2021-03-19,-305,40,2,,,,,,
brasilia,brazlândia,2021-03-20,-304,40,1,,,,,,
brasilia,brazlândia,2021-03-21,-303,46,1,,,,,,
brasilia,brazlândia,2021-03-22,-302,47,0,,,,,,
brasilia,brazlândia,2021-03-23,-301,32,4,,,,,,
brasilia,brazlândia,2021-03-24,-300,23,1,,,,,,
brasilia,brazlândia,2021-03-25,-299,11,0,,,,,,
brasilia,brazlândia,2021-03-26,-298,33,2,,,,,,
brasilia,brazlândia,2021-03-27,-297,43,0,,,,,,
brasilia,brazlândia,2021-03-28,-296,25,1,,,,,,
brasilia,brazlândia,2021-03-29,-295,40,2,,,,,,
brasilia,brazlândia,2021-03-30,-294,14,1,,,,,,
brasilia,brazlândia,2021-03-31,-293,20,2,,,,,,
brasilia,brazlândia,2021-04-01,-292,7,0,,,,,,
brasilia,brazlândia,2021-04-02,-291,25,1,,,,,,
