country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,candangolandia,2020-03-16,,1,0,,,,,,
brasilia,candangolandia,2020-03-19,,1,0,,,,,,
brasilia,candangolandia,2020-03-29,,1,0,,,,,,
brasilia,candangolandia,2020-03-30,,1,0,,,,,,
brasilia,candangolandia,2020-04-07,,1,0,,,,,,
brasilia,candangolandia,2020-04-09,,1,0,,,,,,
brasilia,candangolandia,2020-04-11,,2,0,,,,,,
brasilia,candangolandia,2020-04-14,,1,0,,,,,,
brasilia,candangolandia,2020-04-15,,1,0,,,,,,
brasilia,candangolandia,2020-04-16,,1,0,,,,,,
brasilia,candangolandia,2020-04-22,,1,0,,,,,,
brasilia,candangolandia,2020-04-24,,2,0,,,,,,
brasilia,candangolandia,2020-04-26,,1,0,,,,,,
brasilia,candangolandia,2020-04-27,,2,1,,,,,,
brasilia,candangolandia,2020-04-28,,1,0,,,,,,
brasilia,candangolandia,2020-04-29,,1,0,,,,,,
brasilia,candangolandia,2020-05-03,,1,0,,,,,,
brasilia,candangolandia,2020-05-04,,2,0,,,,,,
brasilia,candangolandia,2020-05-05,,3,0,,,,,,
brasilia,candangolandia,2020-05-06,,3,0,,,,,,
brasilia,candangolandia,2020-05-08,,1,0,,,,,,
brasilia,candangolandia,2020-05-09,,4,0,,,,,,
brasilia,candangolandia,2020-05-10,,5,1,,,,,,
brasilia,candangolandia,2020-05-12,,2,0,,,,,,
brasilia,candangolandia,2020-05-13,,2,0,,,,,,
brasilia,candangolandia,2020-05-14,,1,0,,,,,,
brasilia,candangolandia,2020-05-15,,4,0,,,,,,
brasilia,candangolandia,2020-05-18,,1,0,,,,,,
brasilia,candangolandia,2020-05-19,,2,0,,,,,,
brasilia,candangolandia,2020-05-20,,4,0,,,,,,
brasilia,candangolandia,2020-05-21,,2,0,,,,,,
brasilia,candangolandia,2020-05-22,,3,0,,,,,,
brasilia,candangolandia,2020-05-23,,1,0,,,,,,
brasilia,candangolandia,2020-05-24,,3,0,,,,,,
brasilia,candangolandia,2020-05-25,,5,0,,,,,,
brasilia,candangolandia,2020-05-26,,1,0,,,,,,
brasilia,candangolandia,2020-05-27,,9,1,,,,,,
brasilia,candangolandia,2020-05-28,,3,0,,,,,,
brasilia,candangolandia,2020-05-29,,1,0,,,,,,
brasilia,candangolandia,2020-05-30,,4,1,,,,,,
brasilia,candangolandia,2020-05-31,,3,1,,,,,,
brasilia,candangolandia,2020-06-01,,12,0,,,,,,
brasilia,candangolandia,2020-06-02,,6,0,,,,,,
brasilia,candangolandia,2020-06-03,,12,0,,,,,,
brasilia,candangolandia,2020-06-04,,7,0,,,,,,
brasilia,candangolandia,2020-06-05,,8,1,,,,,,
brasilia,candangolandia,2020-06-06,,6,0,,,,,,
brasilia,candangolandia,2020-06-07,,8,0,,,,,,
brasilia,candangolandia,2020-06-08,,15,0,,,,,,
brasilia,candangolandia,2020-06-09,,5,0,,,,,,
brasilia,candangolandia,2020-06-10,,31,0,,,,,,
brasilia,candangolandia,2020-06-11,,4,0,,,,,,
brasilia,candangolandia,2020-06-12,,11,0,,,,,,
brasilia,candangolandia,2020-06-13,,11,0,,,,,,
brasilia,candangolandia,2020-06-14,,3,0,,,,,,
