country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,ceilândia,2020-03-02,-79,1,0,,,,,,
brasilia,ceilândia,2020-03-10,-71,3,0,,,,,,
brasilia,ceilândia,2020-03-13,-68,2,0,,,,,,
brasilia,ceilândia,2020-03-14,-67,3,0,,,,,,
brasilia,ceilândia,2020-03-15,-66,4,0,,,,,,
brasilia,ceilândia,2020-03-16,-65,1,0,,,,,,
brasilia,ceilândia,2020-03-17,-64,2,0,,,,,,
brasilia,ceilândia,2020-03-18,-63,2,0,,,,,,
brasilia,ceilândia,2020-03-19,-62,3,0,,,,,,
brasilia,ceilândia,2020-03-20,-61,6,0,,,,,,
brasilia,ceilândia,2020-03-21,-60,1,0,,,,,,
brasilia,ceilândia,2020-03-22,-59,2,0,,,,,,
brasilia,ceilândia,2020-03-23,-58,2,0,,,,,,
brasilia,ceilândia,2020-03-24,-57,3,0,,,,,,
brasilia,ceilândia,2020-03-25,-56,2,0,,,,,,
brasilia,ceilândia,2020-03-26,-55,2,0,,,,,,
brasilia,ceilândia,2020-03-27,-54,4,0,,,,,,
brasilia,ceilândia,2020-03-28,-53,4,0,,,,,,
brasilia,ceilândia,2020-03-29,-52,5,0,,,,,,
brasilia,ceilândia,2020-03-30,-51,7,0,,,,,,
brasilia,ceilândia,2020-04-01,-49,10,2,,,,,,
brasilia,ceilândia,2020-04-02,-48,6,1,,,,,,
brasilia,ceilândia,2020-04-03,-47,3,0,,,,,,
brasilia,ceilândia,2020-04-04,-46,2,0,,,,,,
brasilia,ceilândia,2020-04-05,-45,6,0,,,,,,
brasilia,ceilândia,2020-04-06,-44,1,1,,,,,,
brasilia,ceilândia,2020-04-07,-43,2,0,,,,,,
brasilia,ceilândia,2020-04-08,-42,5,0,,,,,,
brasilia,ceilândia,2020-04-09,-41,5,1,,,,,,
brasilia,ceilândia,2020-04-10,-40,7,0,,,,,,
brasilia,ceilândia,2020-04-11,-39,4,0,,,,,,
brasilia,ceilândia,2020-04-12,-38,2,0,,,,,,
brasilia,ceilândia,2020-04-13,-37,10,0,,,,,,
brasilia,ceilândia,2020-04-14,-36,3,0,,,,,,
brasilia,ceilândia,2020-04-15,-35,6,0,,,,,,
brasilia,ceilândia,2020-04-16,-34,5,0,,,,,,
brasilia,ceilândia,2020-04-17,-33,6,0,,,,,,
brasilia,ceilândia,2020-04-18,-32,8,1,,,,,,
brasilia,ceilândia,2020-04-19,-31,7,0,,,,,,
brasilia,ceilândia,2020-04-20,-30,19,0,,,,,,
brasilia,ceilândia,2020-04-21,-29,8,0,,,,,,
brasilia,ceilândia,2020-04-22,-28,4,0,,,,,,
brasilia,ceilândia,2020-04-23,-27,9,0,,,,,,
brasilia,ceilândia,2020-04-24,-26,10,0,,,,,,
brasilia,ceilândia,2020-04-25,-25,10,0,,,,,,
brasilia,ceilândia,2020-04-26,-24,7,0,,,,,,
brasilia,ceilândia,2020-04-27,-23,13,0,,,,,,
brasilia,ceilândia,2020-04-28,-22,3,0,,,,,,
brasilia,ceilândia,2020-04-29,-21,10,0,,,,,,
brasilia,ceilândia,2020-04-30,-20,12,2,,,,,,
brasilia,ceilândia,2020-05-01,-19,21,2,,,,,,
brasilia,ceilândia,2020-05-02,-18,23,5,,,,,,
brasilia,ceilândia,2020-05-03,-17,16,1,,,,,,
brasilia,ceilândia,2020-05-04,-16,29,2,,,,,,
brasilia,ceilândia,2020-05-05,-15,19,0,,,,,,
brasilia,ceilândia,2020-05-06,-14,32,1,,,,,,
brasilia,ceilândia,2020-05-07,-13,37,3,,,,,,
brasilia,ceilândia,2020-05-08,-12,48,1,,,,,,
brasilia,ceilândia,2020-05-09,-11,23,1,,,,,,
brasilia,ceilândia,2020-05-10,-10,59,3,,,,,,
brasilia,ceilândia,2020-05-11,-9,47,2,,,,,,
brasilia,ceilândia,2020-05-12,-8,40,2,,,,,,
brasilia,ceilândia,2020-05-13,-7,38,1,,,,,,
brasilia,ceilândia,2020-05-14,-6,47,1,,,,,,
brasilia,ceilândia,2020-05-15,-5,77,5,,,,,,
brasilia,ceilândia,2020-05-16,-4,50,0,,,,,,
brasilia,ceilândia,2020-05-17,-3,28,6,,,,,,
brasilia,ceilândia,2020-05-18,-2,92,3,,,,,,
brasilia,ceilândia,2020-05-19,-1,68,3,,,,,,
brasilia,ceilândia,2020-05-20,0,119,2,,,,,,
brasilia,ceilândia,2020-05-21,1,70,5,,,,,,
brasilia,ceilândia,2020-05-22,2,85,3,,,,,,
brasilia,ceilândia,2020-05-23,3,50,4,,,,,,
brasilia,ceilândia,2020-05-24,4,39,0,,,,,,
brasilia,ceilândia,2020-05-25,5,123,2,,,,,,
brasilia,ceilândia,2020-05-26,6,121,4,,,,,,
brasilia,ceilândia,2020-05-27,7,115,3,,,,,,
brasilia,ceilândia,2020-05-28,8,98,0,,,,,,
brasilia,ceilândia,2020-05-29,9,120,3,,,,,,
brasilia,ceilândia,2020-05-30,10,104,1,,,,,,
brasilia,ceilândia,2020-05-31,11,81,8,,,,,,
brasilia,ceilândia,2020-06-01,12,231,7,,,,,,
brasilia,ceilândia,2020-06-02,13,171,5,,,,,,
brasilia,ceilândia,2020-06-03,14,191,6,,,,,,
brasilia,ceilândia,2020-06-04,15,236,3,,,,,,
brasilia,ceilândia,2020-06-05,16,237,7,,,,,,
brasilia,ceilândia,2020-06-06,17,102,9,,,,,,
brasilia,ceilândia,2020-06-07,18,103,2,,,,,,
brasilia,ceilândia,2020-06-08,19,241,9,,,,,,
brasilia,ceilândia,2020-06-09,20,218,2,,,,,,
brasilia,ceilândia,2020-06-10,21,306,3,,,,,,
brasilia,ceilândia,2020-06-11,22,104,4,,,,,,
brasilia,ceilândia,2020-06-12,23,255,6,,,,,,
brasilia,ceilândia,2020-06-13,24,119,7,,,,,,
brasilia,ceilândia,2020-06-14,25,121,3,,,,,,
brasilia,ceilândia,2020-06-15,26,364,6,,,,,,
brasilia,ceilândia,2020-06-16,27,290,6,,,,,,
brasilia,ceilândia,2020-06-17,28,270,3,,,,,,
brasilia,ceilândia,2020-06-18,29,356,5,,,,,,
brasilia,ceilândia,2020-06-19,30,344,7,,,,,,
brasilia,ceilândia,2020-06-20,31,203,16,,,,,,
brasilia,ceilândia,2020-06-21,32,119,8,,,,,,
brasilia,ceilândia,2020-06-22,33,310,5,,,,,,
brasilia,ceilândia,2020-06-23,34,291,5,,,,,,
brasilia,ceilândia,2020-06-24,35,323,3,,,,,,
brasilia,ceilândia,2020-06-25,36,383,6,,,,,,
brasilia,ceilândia,2020-06-26,37,314,3,,,,,,
brasilia,ceilândia,2020-06-27,38,161,6,,,,,,
brasilia,ceilândia,2020-06-28,39,127,2,,,,,,
brasilia,ceilândia,2020-06-29,40,225,4,,,,,,
brasilia,ceilândia,2020-06-30,41,211,5,,,,,,
brasilia,ceilândia,2020-07-01,42,268,10,,,,,,
brasilia,ceilândia,2020-07-02,43,209,7,,,,,,
brasilia,ceilândia,2020-07-03,44,224,4,,,,,,
brasilia,ceilândia,2020-07-04,45,157,12,,,,,,
brasilia,ceilândia,2020-07-05,46,114,4,,,,,,
brasilia,ceilândia,2020-07-06,47,220,10,,,,,,
brasilia,ceilândia,2020-07-07,48,250,8,,,,,,
brasilia,ceilândia,2020-07-08,49,255,4,,,,,,
brasilia,ceilândia,2020-07-09,50,197,4,,,,,,
brasilia,ceilândia,2020-07-10,51,296,8,,,,,,
brasilia,ceilândia,2020-07-11,52,135,5,,,,,,
brasilia,ceilândia,2020-07-12,53,114,5,,,,,,
brasilia,ceilândia,2020-07-13,54,222,7,,,,,,
brasilia,ceilândia,2020-07-14,55,200,9,,,,,,
brasilia,ceilândia,2020-07-15,56,211,3,,,,,,
brasilia,ceilândia,2020-07-16,57,216,5,,,,,,
brasilia,ceilândia,2020-07-17,58,265,5,,,,,,
brasilia,ceilândia,2020-07-18,59,193,3,,,,,,
brasilia,ceilândia,2020-07-19,60,139,4,,,,,,
brasilia,ceilândia,2020-07-20,61,282,10,,,,,,
brasilia,ceilândia,2020-07-21,62,219,5,,,,,,
brasilia,ceilândia,2020-07-22,63,231,6,,,,,,
brasilia,ceilândia,2020-07-23,64,225,6,,,,,,
brasilia,ceilândia,2020-07-24,65,223,5,,,,,,
brasilia,ceilândia,2020-07-25,66,182,8,,,,,,
brasilia,ceilândia,2020-07-26,67,141,6,,,,,,
brasilia,ceilândia,2020-07-27,68,224,8,,,,,,
brasilia,ceilândia,2020-07-28,69,236,5,,,,,,
brasilia,ceilândia,2020-07-29,70,184,4,,,,,,
brasilia,ceilândia,2020-07-30,71,225,4,,,,,,
brasilia,ceilândia,2020-07-31,72,214,4,,,,,,
brasilia,ceilândia,2020-08-01,73,218,12,,,,,,
brasilia,ceilândia,2020-08-02,74,120,4,,,,,,
brasilia,ceilândia,2020-08-03,75,223,2,,,,,,
brasilia,ceilândia,2020-08-04,76,216,5,,,,,,
brasilia,ceilândia,2020-08-05,77,214,4,,,,,,
brasilia,ceilândia,2020-08-06,78,223,4,,,,,,
brasilia,ceilândia,2020-08-07,79,241,4,,,,,,
brasilia,ceilândia,2020-08-08,80,175,3,,,,,,
brasilia,ceilândia,2020-08-09,81,131,4,,,,,,
brasilia,ceilândia,2020-08-10,82,262,6,,,,,,
brasilia,ceilândia,2020-08-11,83,228,5,,,,,,
brasilia,ceilândia,2020-08-12,84,242,3,,,,,,
brasilia,ceilândia,2020-08-13,85,198,8,,,,,,
brasilia,ceilândia,2020-08-14,86,212,6,,,,,,
brasilia,ceilândia,2020-08-15,87,171,4,,,,,,
brasilia,ceilândia,2020-08-16,88,116,7,,,,,,
brasilia,ceilândia,2020-08-17,89,208,4,,,,,,
brasilia,ceilândia,2020-08-18,90,234,3,,,,,,
brasilia,ceilândia,2020-08-19,91,205,2,,,,,,
brasilia,ceilândia,2020-08-20,92,214,4,,,,,,
brasilia,ceilândia,2020-08-21,93,198,2,,,,,,
brasilia,ceilândia,2020-08-22,94,105,2,,,,,,
brasilia,ceilândia,2020-08-23,95,112,2,,,,,,
brasilia,ceilândia,2020-08-24,96,272,3,,,,,,
brasilia,ceilândia,2020-08-25,97,218,3,,,,,,
brasilia,ceilândia,2020-08-26,98,179,4,,,,,,
brasilia,ceilândia,2020-08-27,99,250,0,,,,,,
brasilia,ceilândia,2020-08-28,100,122,3,,,,,,
brasilia,ceilândia,2020-08-29,101,83,4,,,,,,
brasilia,ceilândia,2020-08-30,102,65,0,,,,,,
brasilia,ceilândia,2020-08-31,103,119,3,,,,,,
brasilia,ceilândia,2020-09-01,104,113,1,,,,,,
brasilia,ceilândia,2020-09-02,105,68,1,,,,,,
brasilia,ceilândia,2020-09-03,106,84,1,,,,,,
brasilia,ceilândia,2020-09-04,107,91,2,,,,,,
brasilia,ceilândia,2020-09-05,108,105,1,,,,,,
brasilia,ceilândia,2020-09-06,109,52,1,,,,,,
brasilia,ceilândia,2020-09-07,110,66,3,,,,,,
brasilia,ceilândia,2020-09-08,111,91,2,,,,,,
brasilia,ceilândia,2020-09-09,112,99,2,,,,,,
brasilia,ceilândia,2020-09-10,113,113,4,,,,,,
brasilia,ceilândia,2020-09-11,114,101,3,,,,,,
brasilia,ceilândia,2020-09-12,115,61,2,,,,,,
brasilia,ceilândia,2020-09-13,116,57,2,,,,,,
brasilia,ceilândia,2020-09-14,117,93,2,,,,,,
brasilia,ceilândia,2020-09-15,118,69,0,,,,,,
brasilia,ceilândia,2020-09-16,119,92,2,,,,,,
brasilia,ceilândia,2020-09-17,120,119,2,,,,,,
brasilia,ceilândia,2020-09-18,121,134,5,,,,,,
brasilia,ceilândia,2020-09-19,122,89,3,,,,,,
brasilia,ceilândia,2020-09-20,123,81,3,,,,,,
brasilia,ceilândia,2020-09-21,124,107,4,,,,,,
brasilia,ceilândia,2020-09-22,125,85,2,,,,,,
brasilia,ceilândia,2020-09-23,126,66,3,,,,,,
brasilia,ceilândia,2020-09-24,127,97,2,,,,,,
brasilia,ceilândia,2020-09-25,128,102,4,,,,,,
brasilia,ceilândia,2020-09-26,129,72,2,,,,,,
brasilia,ceilândia,2020-09-27,130,47,2,,,,,,
brasilia,ceilândia,2020-09-28,131,76,1,,,,,,
brasilia,ceilândia,2020-09-29,132,82,4,,,,,,
brasilia,ceilândia,2020-09-30,133,90,2,,,,,,
brasilia,ceilândia,2020-10-01,134,93,3,,,,,,
brasilia,ceilândia,2020-10-02,135,96,0,,,,,,
brasilia,ceilândia,2020-10-03,136,123,1,,,,,,
brasilia,ceilândia,2020-10-04,137,77,1,,,,,,
