country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,cruzeiro,2020-03-08,,1,0,,,,,,
brasilia,cruzeiro,2020-03-10,,2,0,,,,,,
brasilia,cruzeiro,2020-03-11,,1,0,,,,,,
brasilia,cruzeiro,2020-03-13,,1,0,,,,,,
brasilia,cruzeiro,2020-03-16,,2,0,,,,,,
brasilia,cruzeiro,2020-03-17,,2,0,,,,,,
brasilia,cruzeiro,2020-03-18,,1,0,,,,,,
brasilia,cruzeiro,2020-03-19,,1,0,,,,,,
brasilia,cruzeiro,2020-03-21,,1,0,,,,,,
brasilia,cruzeiro,2020-03-22,,1,0,,,,,,
brasilia,cruzeiro,2020-03-27,,1,0,,,,,,
brasilia,cruzeiro,2020-03-28,,1,0,,,,,,
brasilia,cruzeiro,2020-03-29,,1,0,,,,,,
brasilia,cruzeiro,2020-04-06,,1,0,,,,,,
brasilia,cruzeiro,2020-04-09,,1,0,,,,,,
brasilia,cruzeiro,2020-04-12,,2,0,,,,,,
brasilia,cruzeiro,2020-04-13,,1,0,,,,,,
brasilia,cruzeiro,2020-04-15,,1,0,,,,,,
brasilia,cruzeiro,2020-04-16,,1,0,,,,,,
brasilia,cruzeiro,2020-04-17,,2,0,,,,,,
brasilia,cruzeiro,2020-04-18,,1,0,,,,,,
brasilia,cruzeiro,2020-04-20,,1,0,,,,,,
brasilia,cruzeiro,2020-04-21,,1,0,,,,,,
brasilia,cruzeiro,2020-04-23,,1,0,,,,,,
brasilia,cruzeiro,2020-04-24,,1,0,,,,,,
brasilia,cruzeiro,2020-04-25,,3,0,,,,,,
brasilia,cruzeiro,2020-04-26,,1,0,,,,,,
brasilia,cruzeiro,2020-04-27,,1,0,,,,,,
brasilia,cruzeiro,2020-04-28,,2,0,,,,,,
brasilia,cruzeiro,2020-04-30,,3,0,,,,,,
brasilia,cruzeiro,2020-05-01,,1,0,,,,,,
brasilia,cruzeiro,2020-05-02,,2,0,,,,,,
brasilia,cruzeiro,2020-05-03,,2,0,,,,,,
brasilia,cruzeiro,2020-05-04,,1,0,,,,,,
brasilia,cruzeiro,2020-05-05,,5,0,,,,,,
brasilia,cruzeiro,2020-05-06,,4,0,,,,,,
brasilia,cruzeiro,2020-05-07,,7,0,,,,,,
brasilia,cruzeiro,2020-05-08,,3,0,,,,,,
brasilia,cruzeiro,2020-05-09,,3,0,,,,,,
brasilia,cruzeiro,2020-05-10,,3,0,,,,,,
brasilia,cruzeiro,2020-05-11,,8,0,,,,,,
brasilia,cruzeiro,2020-05-12,,2,0,,,,,,
brasilia,cruzeiro,2020-05-13,,6,0,,,,,,
brasilia,cruzeiro,2020-05-14,,5,0,,,,,,
brasilia,cruzeiro,2020-05-15,,4,0,,,,,,
brasilia,cruzeiro,2020-05-16,,6,0,,,,,,
brasilia,cruzeiro,2020-05-17,,6,0,,,,,,
brasilia,cruzeiro,2020-05-18,,3,0,,,,,,
brasilia,cruzeiro,2020-05-19,,3,0,,,,,,
brasilia,cruzeiro,2020-05-20,,8,0,,,,,,
brasilia,cruzeiro,2020-05-21,,4,0,,,,,,
brasilia,cruzeiro,2020-05-22,,4,0,,,,,,
brasilia,cruzeiro,2020-05-23,,6,0,,,,,,
brasilia,cruzeiro,2020-05-24,,3,0,,,,,,
brasilia,cruzeiro,2020-05-25,,5,0,,,,,,
brasilia,cruzeiro,2020-05-26,,7,0,,,,,,
brasilia,cruzeiro,2020-05-27,,10,0,,,,,,
brasilia,cruzeiro,2020-05-28,,2,0,,,,,,
brasilia,cruzeiro,2020-05-29,,7,0,,,,,,
brasilia,cruzeiro,2020-05-30,,5,0,,,,,,
brasilia,cruzeiro,2020-05-31,,7,0,,,,,,
brasilia,cruzeiro,2020-06-01,,8,1,,,,,,
brasilia,cruzeiro,2020-06-02,,9,0,,,,,,
brasilia,cruzeiro,2020-06-03,,9,0,,,,,,
brasilia,cruzeiro,2020-06-04,,18,1,,,,,,
brasilia,cruzeiro,2020-06-05,,11,0,,,,,,
brasilia,cruzeiro,2020-06-06,,4,0,,,,,,
brasilia,cruzeiro,2020-06-07,,5,0,,,,,,
brasilia,cruzeiro,2020-06-08,,22,0,,,,,,
brasilia,cruzeiro,2020-06-09,,12,0,,,,,,
brasilia,cruzeiro,2020-06-10,,12,0,,,,,,
brasilia,cruzeiro,2020-06-11,,6,1,,,,,,
brasilia,cruzeiro,2020-06-12,,14,0,,,,,,
brasilia,cruzeiro,2020-06-13,,2,0,,,,,,
brasilia,cruzeiro,2020-06-14,,7,0,,,,,,
brasilia,cruzeiro,2020-06-15,,9,0,,,,,,
brasilia,cruzeiro,2020-06-16,,17,0,,,,,,
brasilia,cruzeiro,2020-06-17,,21,0,,,,,,
brasilia,cruzeiro,2020-06-18,,16,1,,,,,,
brasilia,cruzeiro,2020-06-19,,26,0,,,,,,
brasilia,cruzeiro,2020-06-20,,12,0,,,,,,
brasilia,cruzeiro,2020-06-21,,4,0,,,,,,
brasilia,cruzeiro,2020-06-22,,14,1,,,,,,
brasilia,cruzeiro,2020-06-23,,11,1,,,,,,
brasilia,cruzeiro,2020-06-24,,10,0,,,,,,
brasilia,cruzeiro,2020-06-25,,24,0,,,,,,
brasilia,cruzeiro,2020-06-26,,22,0,,,,,,
brasilia,cruzeiro,2020-06-27,,5,0,,,,,,
brasilia,cruzeiro,2020-06-28,,7,0,,,,,,
brasilia,cruzeiro,2020-06-29,,7,0,,,,,,
