country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,fercal,2020-04-05,,1,0,,,,,,
brasilia,fercal,2020-04-08,,2,0,,,,,,
brasilia,fercal,2020-04-25,,1,0,,,,,,
brasilia,fercal,2020-04-28,,1,0,,,,,,
brasilia,fercal,2020-04-30,,1,0,,,,,,
brasilia,fercal,2020-05-02,,1,0,,,,,,
brasilia,fercal,2020-05-04,,1,0,,,,,,
brasilia,fercal,2020-05-10,,1,0,,,,,,
brasilia,fercal,2020-05-15,,1,0,,,,,,
brasilia,fercal,2020-05-18,,1,0,,,,,,
brasilia,fercal,2020-05-20,,5,0,,,,,,
brasilia,fercal,2020-05-21,,1,0,,,,,,
brasilia,fercal,2020-05-23,,1,0,,,,,,
brasilia,fercal,2020-05-25,,2,0,,,,,,
brasilia,fercal,2020-06-01,,2,0,,,,,,
brasilia,fercal,2020-06-02,,1,0,,,,,,
brasilia,fercal,2020-06-03,,1,0,,,,,,
brasilia,fercal,2020-06-04,,1,0,,,,,,
brasilia,fercal,2020-06-07,,2,0,,,,,,
brasilia,fercal,2020-06-08,,2,1,,,,,,
brasilia,fercal,2020-06-09,,1,0,,,,,,
brasilia,fercal,2020-06-12,,1,0,,,,,,
brasilia,fercal,2020-06-17,,2,0,,,,,,
brasilia,fercal,2020-06-18,,2,0,,,,,,
brasilia,fercal,2020-06-19,,1,0,,,,,,
brasilia,fercal,2020-06-20,,1,0,,,,,,
brasilia,fercal,2020-06-22,,3,0,,,,,,
brasilia,fercal,2020-06-24,,5,0,,,,,,
brasilia,fercal,2020-06-26,,2,0,,,,,,
brasilia,fercal,2020-06-27,,1,0,,,,,,
brasilia,fercal,2020-06-28,,1,0,,,,,,
brasilia,fercal,2020-06-29,,1,0,,,,,,
brasilia,fercal,2020-07-01,,1,0,,,,,,
brasilia,fercal,2020-07-02,,1,0,,,,,,
brasilia,fercal,2020-07-03,,4,0,,,,,,
brasilia,fercal,2020-07-04,,1,0,,,,,,
brasilia,fercal,2020-07-06,,3,0,,,,,,
brasilia,fercal,2020-07-07,,1,0,,,,,,
brasilia,fercal,2020-07-09,,1,0,,,,,,
brasilia,fercal,2020-07-10,,2,0,,,,,,
brasilia,fercal,2020-07-12,,1,0,,,,,,
brasilia,fercal,2020-07-13,,1,0,,,,,,
brasilia,fercal,2020-07-15,,1,0,,,,,,
brasilia,fercal,2020-07-16,,2,0,,,,,,
brasilia,fercal,2020-07-17,,2,0,,,,,,
brasilia,fercal,2020-07-20,,3,0,,,,,,
brasilia,fercal,2020-07-21,,2,0,,,,,,
brasilia,fercal,2020-07-22,,2,0,,,,,,
brasilia,fercal,2020-07-23,,1,0,,,,,,
brasilia,fercal,2020-07-25,,1,0,,,,,,
brasilia,fercal,2020-07-27,,1,0,,,,,,
brasilia,fercal,2020-07-29,,2,0,,,,,,
brasilia,fercal,2020-07-31,,2,0,,,,,,
brasilia,fercal,2020-08-01,,3,0,,,,,,
brasilia,fercal,2020-08-03,,1,0,,,,,,
brasilia,fercal,2020-08-04,,3,0,,,,,,
brasilia,fercal,2020-08-05,,2,0,,,,,,
brasilia,fercal,2020-08-06,,1,0,,,,,,
brasilia,fercal,2020-08-08,,1,0,,,,,,
brasilia,fercal,2020-08-09,,2,0,,,,,,
brasilia,fercal,2020-08-11,,2,0,,,,,,
brasilia,fercal,2020-08-12,,1,0,,,,,,
brasilia,fercal,2020-08-13,,1,0,,,,,,
brasilia,fercal,2020-08-18,,2,0,,,,,,
brasilia,fercal,2020-08-19,,2,0,,,,,,
brasilia,fercal,2020-08-20,,2,0,,,,,,
brasilia,fercal,2020-08-21,,1,0,,,,,,
brasilia,fercal,2020-08-22,,1,0,,,,,,
brasilia,fercal,2020-08-23,,1,0,,,,,,
brasilia,fercal,2020-08-26,,1,0,,,,,,
brasilia,fercal,2020-08-28,,2,0,,,,,,
brasilia,fercal,2020-09-02,,1,0,,,,,,
brasilia,fercal,2020-09-05,,1,0,,,,,,
brasilia,fercal,2020-09-16,,1,0,,,,,,
brasilia,fercal,2020-09-20,,1,0,,,,,,
brasilia,fercal,2020-09-21,,1,0,,,,,,
brasilia,fercal,2020-10-01,,1,0,,,,,,
brasilia,fercal,2020-10-12,,1,0,,,,,,
brasilia,fercal,2020-10-14,,1,0,,,,,,
brasilia,fercal,2020-10-15,,1,0,,,,,,
brasilia,fercal,2020-10-31,,1,0,,,,,,
brasilia,fercal,2020-11-13,,2,0,,,,,,
brasilia,fercal,2020-11-23,,1,0,,,,,,
brasilia,fercal,2020-11-27,,1,0,,,,,,
brasilia,fercal,2020-11-30,,1,0,,,,,,
brasilia,fercal,2020-12-05,,2,0,,,,,,
brasilia,fercal,2020-12-07,,4,0,,,,,,
brasilia,fercal,2020-12-08,,2,0,,,,,,
brasilia,fercal,2020-12-09,,1,0,,,,,,
brasilia,fercal,2020-12-10,,1,0,,,,,,
brasilia,fercal,2020-12-11,,2,0,,,,,,
brasilia,fercal,2020-12-12,,2,0,,,,,,
brasilia,fercal,2020-12-14,,2,0,,,,,,
brasilia,fercal,2020-12-15,,1,0,,,,,,
brasilia,fercal,2020-12-18,,3,0,,,,,,
brasilia,fercal,2020-12-20,,1,0,,,,,,
brasilia,fercal,2020-12-23,,1,1,,,,,,
brasilia,fercal,2020-12-24,,1,0,,,,,,
brasilia,fercal,2020-12-25,,3,0,,,,,,
brasilia,fercal,2020-12-26,,1,0,,,,,,
brasilia,fercal,2021-01-01,,9,0,,,,,,
brasilia,fercal,2021-01-03,,4,0,,,,,,
brasilia,fercal,2021-01-04,,3,0,,,,,,
