country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,gama,2020-03-04,-96,1,0,,,,,,
brasilia,gama,2020-03-05,-95,1,0,,,,,,
brasilia,gama,2020-03-06,-94,1,0,,,,,,
brasilia,gama,2020-03-09,-91,1,0,,,,,,
brasilia,gama,2020-03-11,-89,1,0,,,,,,
brasilia,gama,2020-03-13,-87,1,0,,,,,,
brasilia,gama,2020-03-15,-85,1,0,,,,,,
brasilia,gama,2020-03-16,-84,2,1,,,,,,
brasilia,gama,2020-03-17,-83,2,0,,,,,,
brasilia,gama,2020-03-18,-82,2,0,,,,,,
brasilia,gama,2020-03-19,-81,3,0,,,,,,
brasilia,gama,2020-03-20,-80,7,1,,,,,,
brasilia,gama,2020-03-21,-79,3,0,,,,,,
brasilia,gama,2020-03-22,-78,1,0,,,,,,
brasilia,gama,2020-03-23,-77,2,0,,,,,,
brasilia,gama,2020-03-25,-75,1,0,,,,,,
brasilia,gama,2020-03-26,-74,2,0,,,,,,
brasilia,gama,2020-03-27,-73,3,1,,,,,,
brasilia,gama,2020-03-28,-72,1,0,,,,,,
brasilia,gama,2020-03-29,-71,1,0,,,,,,
brasilia,gama,2020-03-30,-70,1,0,,,,,,
brasilia,gama,2020-04-01,-68,4,0,,,,,,
brasilia,gama,2020-04-03,-66,1,0,,,,,,
brasilia,gama,2020-04-04,-65,1,0,,,,,,
brasilia,gama,2020-04-05,-64,4,0,,,,,,
brasilia,gama,2020-04-06,-63,5,0,,,,,,
brasilia,gama,2020-04-07,-62,5,1,,,,,,
brasilia,gama,2020-04-08,-61,1,0,,,,,,
brasilia,gama,2020-04-09,-60,1,0,,,,,,
brasilia,gama,2020-04-10,-59,6,0,,,,,,
brasilia,gama,2020-04-11,-58,6,1,,,,,,
brasilia,gama,2020-04-12,-57,4,0,,,,,,
brasilia,gama,2020-04-13,-56,3,0,,,,,,
brasilia,gama,2020-04-14,-55,1,0,,,,,,
brasilia,gama,2020-04-15,-54,2,0,,,,,,
brasilia,gama,2020-04-16,-53,2,0,,,,,,
brasilia,gama,2020-04-18,-51,7,0,,,,,,
brasilia,gama,2020-04-19,-50,2,0,,,,,,
brasilia,gama,2020-04-20,-49,6,0,,,,,,
brasilia,gama,2020-04-21,-48,3,1,,,,,,
brasilia,gama,2020-04-22,-47,4,0,,,,,,
brasilia,gama,2020-04-23,-46,5,0,,,,,,
brasilia,gama,2020-04-24,-45,4,0,,,,,,
brasilia,gama,2020-04-25,-44,4,0,,,,,,
brasilia,gama,2020-04-26,-43,4,0,,,,,,
brasilia,gama,2020-04-27,-42,7,0,,,,,,
brasilia,gama,2020-04-28,-41,5,0,,,,,,
brasilia,gama,2020-04-29,-40,3,0,,,,,,
brasilia,gama,2020-04-30,-39,8,1,,,,,,
brasilia,gama,2020-05-01,-38,14,1,,,,,,
brasilia,gama,2020-05-02,-37,7,0,,,,,,
brasilia,gama,2020-05-03,-36,17,1,,,,,,
brasilia,gama,2020-05-04,-35,12,1,,,,,,
brasilia,gama,2020-05-05,-34,17,0,,,,,,
brasilia,gama,2020-05-06,-33,16,0,,,,,,
brasilia,gama,2020-05-07,-32,24,0,,,,,,
brasilia,gama,2020-05-08,-31,9,0,,,,,,
brasilia,gama,2020-05-09,-30,10,0,,,,,,
brasilia,gama,2020-05-10,-29,18,1,,,,,,
brasilia,gama,2020-05-11,-28,25,2,,,,,,
brasilia,gama,2020-05-12,-27,14,1,,,,,,
brasilia,gama,2020-05-13,-26,30,0,,,,,,
brasilia,gama,2020-05-14,-25,26,0,,,,,,
brasilia,gama,2020-05-15,-24,22,0,,,,,,
brasilia,gama,2020-05-16,-23,11,0,,,,,,
brasilia,gama,2020-05-17,-22,14,1,,,,,,
brasilia,gama,2020-05-18,-21,36,2,,,,,,
brasilia,gama,2020-05-19,-20,26,1,,,,,,
brasilia,gama,2020-05-20,-19,32,0,,,,,,
brasilia,gama,2020-05-21,-18,31,1,,,,,,
brasilia,gama,2020-05-22,-17,22,2,,,,,,
brasilia,gama,2020-05-23,-16,26,0,,,,,,
brasilia,gama,2020-05-24,-15,25,0,,,,,,
brasilia,gama,2020-05-25,-14,53,0,,,,,,
brasilia,gama,2020-05-26,-13,30,0,,,,,,
brasilia,gama,2020-05-27,-12,63,0,,,,,,
brasilia,gama,2020-05-28,-11,29,2,,,,,,
brasilia,gama,2020-05-29,-10,59,1,,,,,,
brasilia,gama,2020-05-30,-9,37,1,,,,,,
brasilia,gama,2020-05-31,-8,42,2,,,,,,
brasilia,gama,2020-06-01,-7,74,1,,,,,,
brasilia,gama,2020-06-02,-6,82,1,,,,,,
brasilia,gama,2020-06-03,-5,73,0,,,,,,
brasilia,gama,2020-06-04,-4,71,1,,,,,,
brasilia,gama,2020-06-05,-3,93,1,,,,,,
brasilia,gama,2020-06-06,-2,39,1,,,,,,
brasilia,gama,2020-06-07,-1,46,3,,,,,,
brasilia,gama,2020-06-08,0,115,2,,,,,,
brasilia,gama,2020-06-09,1,131,1,,,,,,
brasilia,gama,2020-06-10,2,115,1,,,,,,
brasilia,gama,2020-06-11,3,73,2,,,,,,
brasilia,gama,2020-06-12,4,82,4,,,,,,
brasilia,gama,2020-06-13,5,50,1,,,,,,
brasilia,gama,2020-06-14,6,40,0,,,,,,
brasilia,gama,2020-06-15,7,102,1,,,,,,
brasilia,gama,2020-06-16,8,102,2,,,,,,
brasilia,gama,2020-06-17,9,93,0,,,,,,
brasilia,gama,2020-06-18,10,75,5,,,,,,
brasilia,gama,2020-06-19,11,89,3,,,,,,
brasilia,gama,2020-06-20,12,48,1,,,,,,
