country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,guara,2020-03-01,-130,2,0,,,,,,
brasilia,guara,2020-03-05,-126,1,0,,,,,,
brasilia,guara,2020-03-07,-124,2,0,,,,,,
brasilia,guara,2020-03-09,-122,1,0,,,,,,
brasilia,guara,2020-03-10,-121,3,0,,,,,,
brasilia,guara,2020-03-12,-119,1,0,,,,,,
brasilia,guara,2020-03-13,-118,3,0,,,,,,
brasilia,guara,2020-03-14,-117,2,0,,,,,,
brasilia,guara,2020-03-15,-116,5,0,,,,,,
brasilia,guara,2020-03-16,-115,9,0,,,,,,
brasilia,guara,2020-03-17,-114,5,1,,,,,,
brasilia,guara,2020-03-18,-113,3,1,,,,,,
brasilia,guara,2020-03-19,-112,5,0,,,,,,
brasilia,guara,2020-03-20,-111,3,0,,,,,,
brasilia,guara,2020-03-22,-109,1,0,,,,,,
brasilia,guara,2020-03-23,-108,2,0,,,,,,
brasilia,guara,2020-03-24,-107,2,1,,,,,,
brasilia,guara,2020-03-25,-106,3,0,,,,,,
brasilia,guara,2020-03-26,-105,2,0,,,,,,
brasilia,guara,2020-03-27,-104,2,0,,,,,,
brasilia,guara,2020-03-29,-102,2,0,,,,,,
brasilia,guara,2020-03-30,-101,2,0,,,,,,
brasilia,guara,2020-03-31,-100,6,0,,,,,,
brasilia,guara,2020-04-01,-99,8,0,,,,,,
brasilia,guara,2020-04-02,-98,5,0,,,,,,
brasilia,guara,2020-04-03,-97,2,0,,,,,,
brasilia,guara,2020-04-05,-95,1,0,,,,,,
brasilia,guara,2020-04-06,-94,3,0,,,,,,
brasilia,guara,2020-04-07,-93,1,0,,,,,,
brasilia,guara,2020-04-08,-92,1,0,,,,,,
brasilia,guara,2020-04-09,-91,1,0,,,,,,
brasilia,guara,2020-04-10,-90,1,0,,,,,,
brasilia,guara,2020-04-11,-89,4,0,,,,,,
brasilia,guara,2020-04-12,-88,5,0,,,,,,
brasilia,guara,2020-04-13,-87,6,0,,,,,,
brasilia,guara,2020-04-14,-86,6,0,,,,,,
brasilia,guara,2020-04-15,-85,3,0,,,,,,
brasilia,guara,2020-04-16,-84,1,0,,,,,,
brasilia,guara,2020-04-17,-83,7,0,,,,,,
brasilia,guara,2020-04-18,-82,8,0,,,,,,
brasilia,guara,2020-04-19,-81,4,0,,,,,,
brasilia,guara,2020-04-20,-80,4,0,,,,,,
brasilia,guara,2020-04-21,-79,7,0,,,,,,
brasilia,guara,2020-04-22,-78,4,1,,,,,,
brasilia,guara,2020-04-23,-77,5,0,,,,,,
brasilia,guara,2020-04-24,-76,9,1,,,,,,
brasilia,guara,2020-04-25,-75,6,0,,,,,,
brasilia,guara,2020-04-26,-74,4,0,,,,,,
brasilia,guara,2020-04-27,-73,9,0,,,,,,
brasilia,guara,2020-04-28,-72,5,1,,,,,,
brasilia,guara,2020-04-29,-71,10,0,,,,,,
brasilia,guara,2020-04-30,-70,8,0,,,,,,
brasilia,guara,2020-05-01,-69,9,0,,,,,,
brasilia,guara,2020-05-02,-68,9,0,,,,,,
brasilia,guara,2020-05-03,-67,8,0,,,,,,
brasilia,guara,2020-05-04,-66,9,1,,,,,,
brasilia,guara,2020-05-05,-65,21,0,,,,,,
brasilia,guara,2020-05-06,-64,16,0,,,,,,
brasilia,guara,2020-05-07,-63,9,0,,,,,,
brasilia,guara,2020-05-08,-62,16,0,,,,,,
brasilia,guara,2020-05-09,-61,4,1,,,,,,
brasilia,guara,2020-05-10,-60,16,0,,,,,,
brasilia,guara,2020-05-11,-59,24,0,,,,,,
brasilia,guara,2020-05-12,-58,16,1,,,,,,
brasilia,guara,2020-05-13,-57,18,2,,,,,,
brasilia,guara,2020-05-14,-56,20,0,,,,,,
brasilia,guara,2020-05-15,-55,29,1,,,,,,
brasilia,guara,2020-05-16,-54,17,0,,,,,,
brasilia,guara,2020-05-17,-53,22,0,,,,,,
brasilia,guara,2020-05-18,-52,27,0,,,,,,
brasilia,guara,2020-05-19,-51,24,1,,,,,,
brasilia,guara,2020-05-20,-50,49,0,,,,,,
brasilia,guara,2020-05-21,-49,31,1,,,,,,
brasilia,guara,2020-05-22,-48,20,1,,,,,,
brasilia,guara,2020-05-23,-47,13,0,,,,,,
brasilia,guara,2020-05-24,-46,14,1,,,,,,
brasilia,guara,2020-05-25,-45,46,0,,,,,,
brasilia,guara,2020-05-26,-44,35,1,,,,,,
brasilia,guara,2020-05-27,-43,30,1,,,,,,
brasilia,guara,2020-05-28,-42,36,1,,,,,,
brasilia,guara,2020-05-29,-41,53,0,,,,,,
brasilia,guara,2020-05-30,-40,37,0,,,,,,
brasilia,guara,2020-05-31,-39,13,0,,,,,,
brasilia,guara,2020-06-01,-38,86,1,,,,,,
brasilia,guara,2020-06-02,-37,58,2,,,,,,
brasilia,guara,2020-06-03,-36,41,0,,,,,,
brasilia,guara,2020-06-04,-35,50,0,,,,,,
brasilia,guara,2020-06-05,-34,56,2,,,,,,
brasilia,guara,2020-06-06,-33,32,0,,,,,,
brasilia,guara,2020-06-07,-32,24,3,,,,,,
brasilia,guara,2020-06-08,-31,55,1,,,,,,
brasilia,guara,2020-06-09,-30,52,2,,,,,,
brasilia,guara,2020-06-10,-29,63,2,,,,,,
brasilia,guara,2020-06-11,-28,24,0,,,,,,
brasilia,guara,2020-06-12,-27,63,1,,,,,,
brasilia,guara,2020-06-13,-26,38,0,,,,,,
brasilia,guara,2020-06-14,-25,32,1,,,,,,
brasilia,guara,2020-06-15,-24,65,1,,,,,,
brasilia,guara,2020-06-16,-23,57,0,,,,,,
brasilia,guara,2020-06-17,-22,60,1,,,,,,
brasilia,guara,2020-06-18,-21,67,0,,,,,,
brasilia,guara,2020-06-19,-20,66,0,,,,,,
brasilia,guara,2020-06-20,-19,54,0,,,,,,
brasilia,guara,2020-06-21,-18,26,0,,,,,,
brasilia,guara,2020-06-22,-17,56,3,,,,,,
brasilia,guara,2020-06-23,-16,68,2,,,,,,
brasilia,guara,2020-06-24,-15,64,2,,,,,,
brasilia,guara,2020-06-25,-14,60,1,,,,,,
brasilia,guara,2020-06-26,-13,86,2,,,,,,
brasilia,guara,2020-06-27,-12,69,2,,,,,,
brasilia,guara,2020-06-28,-11,37,0,,,,,,
brasilia,guara,2020-06-29,-10,64,4,,,,,,
brasilia,guara,2020-06-30,-9,78,0,,,,,,
brasilia,guara,2020-07-01,-8,87,5,,,,,,
brasilia,guara,2020-07-02,-7,99,3,,,,,,
brasilia,guara,2020-07-03,-6,79,2,,,,,,
brasilia,guara,2020-07-04,-5,54,0,,,,,,
brasilia,guara,2020-07-05,-4,41,2,,,,,,
brasilia,guara,2020-07-06,-3,83,1,,,,,,
brasilia,guara,2020-07-07,-2,81,2,,,,,,
brasilia,guara,2020-07-08,-1,88,0,,,,,,
brasilia,guara,2020-07-09,0,102,1,,,,,,
brasilia,guara,2020-07-10,1,106,2,,,,,,
brasilia,guara,2020-07-11,2,68,2,,,,,,
brasilia,guara,2020-07-12,3,59,0,,,,,,
brasilia,guara,2020-07-13,4,75,0,,,,,,
brasilia,guara,2020-07-14,5,101,1,,,,,,
brasilia,guara,2020-07-15,6,93,0,,,,,,
brasilia,guara,2020-07-16,7,85,3,,,,,,
brasilia,guara,2020-07-17,8,99,2,,,,,,
brasilia,guara,2020-07-18,9,75,4,,,,,,
brasilia,guara,2020-07-19,10,39,1,,,,,,
