country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,itapoa,2020-03-17,-214,1,0,,,,,,
brasilia,itapoa,2020-03-19,-212,1,0,,,,,,
brasilia,itapoa,2020-03-21,-210,1,0,,,,,,
brasilia,itapoa,2020-03-30,-201,1,0,,,,,,
brasilia,itapoa,2020-03-31,-200,1,0,,,,,,
brasilia,itapoa,2020-04-12,-188,1,0,,,,,,
brasilia,itapoa,2020-04-13,-187,1,0,,,,,,
brasilia,itapoa,2020-04-14,-186,1,0,,,,,,
brasilia,itapoa,2020-04-15,-185,2,0,,,,,,
brasilia,itapoa,2020-04-18,-182,1,0,,,,,,
brasilia,itapoa,2020-04-19,-181,1,0,,,,,,
brasilia,itapoa,2020-04-20,-180,1,0,,,,,,
brasilia,itapoa,2020-04-23,-177,1,0,,,,,,
brasilia,itapoa,2020-04-24,-176,1,0,,,,,,
brasilia,itapoa,2020-04-25,-175,1,0,,,,,,
brasilia,itapoa,2020-04-29,-171,1,0,,,,,,
brasilia,itapoa,2020-04-30,-170,2,0,,,,,,
brasilia,itapoa,2020-05-01,-169,4,0,,,,,,
brasilia,itapoa,2020-05-02,-168,7,0,,,,,,
brasilia,itapoa,2020-05-04,-166,2,0,,,,,,
brasilia,itapoa,2020-05-05,-165,3,0,,,,,,
brasilia,itapoa,2020-05-06,-164,5,0,,,,,,
brasilia,itapoa,2020-05-07,-163,2,0,,,,,,
brasilia,itapoa,2020-05-08,-162,3,0,,,,,,
brasilia,itapoa,2020-05-09,-161,2,0,,,,,,
brasilia,itapoa,2020-05-10,-160,7,0,,,,,,
brasilia,itapoa,2020-05-11,-159,7,0,,,,,,
brasilia,itapoa,2020-05-12,-158,5,1,,,,,,
brasilia,itapoa,2020-05-13,-157,5,0,,,,,,
brasilia,itapoa,2020-05-14,-156,3,0,,,,,,
brasilia,itapoa,2020-05-15,-155,16,0,,,,,,
brasilia,itapoa,2020-05-16,-154,5,0,,,,,,
brasilia,itapoa,2020-05-17,-153,7,0,,,,,,
brasilia,itapoa,2020-05-18,-152,10,0,,,,,,
brasilia,itapoa,2020-05-19,-151,15,0,,,,,,
brasilia,itapoa,2020-05-20,-150,41,1,,,,,,
brasilia,itapoa,2020-05-21,-149,20,1,,,,,,
brasilia,itapoa,2020-05-22,-148,24,0,,,,,,
brasilia,itapoa,2020-05-23,-147,6,0,,,,,,
brasilia,itapoa,2020-05-24,-146,6,0,,,,,,
brasilia,itapoa,2020-05-25,-145,27,0,,,,,,
brasilia,itapoa,2020-05-26,-144,17,0,,,,,,
brasilia,itapoa,2020-05-27,-143,13,0,,,,,,
brasilia,itapoa,2020-05-28,-142,14,0,,,,,,
brasilia,itapoa,2020-05-29,-141,10,0,,,,,,
brasilia,itapoa,2020-05-30,-140,20,0,,,,,,
brasilia,itapoa,2020-05-31,-139,5,1,,,,,,
brasilia,itapoa,2020-06-01,-138,39,0,,,,,,
brasilia,itapoa,2020-06-02,-137,31,1,,,,,,
brasilia,itapoa,2020-06-03,-136,16,0,,,,,,
brasilia,itapoa,2020-06-04,-135,28,1,,,,,,
brasilia,itapoa,2020-06-05,-134,40,0,,,,,,
brasilia,itapoa,2020-06-06,-133,21,0,,,,,,
brasilia,itapoa,2020-06-07,-132,17,0,,,,,,
brasilia,itapoa,2020-06-08,-131,45,1,,,,,,
brasilia,itapoa,2020-06-09,-130,50,1,,,,,,
brasilia,itapoa,2020-06-10,-129,90,0,,,,,,
brasilia,itapoa,2020-06-11,-128,34,0,,,,,,
brasilia,itapoa,2020-06-12,-127,43,0,,,,,,
brasilia,itapoa,2020-06-13,-126,21,1,,,,,,
brasilia,itapoa,2020-06-14,-125,17,0,,,,,,
brasilia,itapoa,2020-06-15,-124,79,0,,,,,,
brasilia,itapoa,2020-06-16,-123,32,0,,,,,,
brasilia,itapoa,2020-06-17,-122,33,2,,,,,,
brasilia,itapoa,2020-06-18,-121,50,0,,,,,,
brasilia,itapoa,2020-06-19,-120,51,1,,,,,,
brasilia,itapoa,2020-06-20,-119,31,1,,,,,,
brasilia,itapoa,2020-06-21,-118,11,0,,,,,,
brasilia,itapoa,2020-06-22,-117,15,0,,,,,,
brasilia,itapoa,2020-06-23,-116,18,0,,,,,,
brasilia,itapoa,2020-06-24,-115,27,0,,,,,,
brasilia,itapoa,2020-06-25,-114,22,1,,,,,,
brasilia,itapoa,2020-06-26,-113,23,0,,,,,,
brasilia,itapoa,2020-06-27,-112,5,0,,,,,,
brasilia,itapoa,2020-06-28,-111,7,0,,,,,,
brasilia,itapoa,2020-06-29,-110,9,0,,,,,,
brasilia,itapoa,2020-06-30,-109,15,0,,,,,,
brasilia,itapoa,2020-07-01,-108,21,0,,,,,,
brasilia,itapoa,2020-07-02,-107,14,0,,,,,,
brasilia,itapoa,2020-07-03,-106,11,0,,,,,,
brasilia,itapoa,2020-07-04,-105,11,0,,,,,,
brasilia,itapoa,2020-07-05,-104,5,0,,,,,,
brasilia,itapoa,2020-07-06,-103,16,0,,,,,,
brasilia,itapoa,2020-07-07,-102,11,0,,,,,,
brasilia,itapoa,2020-07-08,-101,7,0,,,,,,
brasilia,itapoa,2020-07-09,-100,26,1,,,,,,
brasilia,itapoa,2020-07-10,-99,12,0,,,,,,
brasilia,itapoa,2020-07-11,-98,4,0,,,,,,
brasilia,itapoa,2020-07-12,-97,7,0,,,,,,
brasilia,itapoa,2020-07-13,-96,11,0,,,,,,
brasilia,itapoa,2020-07-14,-95,11,0,,,,,,
brasilia,itapoa,2020-07-15,-94,15,0,,,,,,
brasilia,itapoa,2020-07-16,-93,11,0,,,,,,
brasilia,itapoa,2020-07-17,-92,20,2,,,,,,
brasilia,itapoa,2020-07-18,-91,12,1,,,,,,
brasilia,itapoa,2020-07-19,-90,10,1,,,,,,
brasilia,itapoa,2020-07-20,-89,19,1,,,,,,
brasilia,itapoa,2020-07-21,-88,12,0,,,,,,
brasilia,itapoa,2020-07-22,-87,8,0,,,,,,
brasilia,itapoa,2020-07-23,-86,12,0,,,,,,
brasilia,itapoa,2020-07-24,-85,14,0,,,,,,
brasilia,itapoa,2020-07-25,-84,4,0,,,,,,
brasilia,itapoa,2020-07-26,-83,11,0,,,,,,
brasilia,itapoa,2020-07-27,-82,21,0,,,,,,
brasilia,itapoa,2020-07-28,-81,11,0,,,,,,
brasilia,itapoa,2020-07-29,-80,16,0,,,,,,
brasilia,itapoa,2020-07-30,-79,14,0,,,,,,
brasilia,itapoa,2020-07-31,-78,8,0,,,,,,
brasilia,itapoa,2020-08-01,-77,11,0,,,,,,
brasilia,itapoa,2020-08-02,-76,7,0,,,,,,
brasilia,itapoa,2020-08-03,-75,10,0,,,,,,
brasilia,itapoa,2020-08-04,-74,10,0,,,,,,
brasilia,itapoa,2020-08-05,-73,7,0,,,,,,
brasilia,itapoa,2020-08-06,-72,11,0,,,,,,
brasilia,itapoa,2020-08-07,-71,7,0,,,,,,
brasilia,itapoa,2020-08-08,-70,7,0,,,,,,
brasilia,itapoa,2020-08-09,-69,6,0,,,,,,
brasilia,itapoa,2020-08-10,-68,11,1,,,,,,
brasilia,itapoa,2020-08-11,-67,6,0,,,,,,
brasilia,itapoa,2020-08-12,-66,4,0,,,,,,
brasilia,itapoa,2020-08-13,-65,11,0,,,,,,
brasilia,itapoa,2020-08-14,-64,11,1,,,,,,
brasilia,itapoa,2020-08-15,-63,7,0,,,,,,
brasilia,itapoa,2020-08-16,-62,4,0,,,,,,
brasilia,itapoa,2020-08-17,-61,16,0,,,,,,
brasilia,itapoa,2020-08-18,-60,10,0,,,,,,
brasilia,itapoa,2020-08-19,-59,9,0,,,,,,
brasilia,itapoa,2020-08-20,-58,11,0,,,,,,
brasilia,itapoa,2020-08-21,-57,6,0,,,,,,
brasilia,itapoa,2020-08-22,-56,7,0,,,,,,
brasilia,itapoa,2020-08-23,-55,2,0,,,,,,
brasilia,itapoa,2020-08-24,-54,13,0,,,,,,
brasilia,itapoa,2020-08-25,-53,4,0,,,,,,
brasilia,itapoa,2020-08-26,-52,1,0,,,,,,
brasilia,itapoa,2020-08-27,-51,9,0,,,,,,
brasilia,itapoa,2020-08-28,-50,9,0,,,,,,
brasilia,itapoa,2020-08-29,-49,6,0,,,,,,
brasilia,itapoa,2020-08-30,-48,7,0,,,,,,
brasilia,itapoa,2020-08-31,-47,5,0,,,,,,
brasilia,itapoa,2020-09-01,-46,7,0,,,,,,
brasilia,itapoa,2020-09-02,-45,3,0,,,,,,
brasilia,itapoa,2020-09-03,-44,5,0,,,,,,
brasilia,itapoa,2020-09-04,-43,4,0,,,,,,
brasilia,itapoa,2020-09-05,-42,3,0,,,,,,
brasilia,itapoa,2020-09-06,-41,4,0,,,,,,
brasilia,itapoa,2020-09-07,-40,6,0,,,,,,
brasilia,itapoa,2020-09-08,-39,3,0,,,,,,
brasilia,itapoa,2020-09-09,-38,1,0,,,,,,
brasilia,itapoa,2020-09-10,-37,7,0,,,,,,
brasilia,itapoa,2020-09-11,-36,4,0,,,,,,
brasilia,itapoa,2020-09-12,-35,1,0,,,,,,
brasilia,itapoa,2020-09-13,-34,4,0,,,,,,
brasilia,itapoa,2020-09-14,-33,3,0,,,,,,
brasilia,itapoa,2020-09-15,-32,7,0,,,,,,
brasilia,itapoa,2020-09-16,-31,5,0,,,,,,
brasilia,itapoa,2020-09-17,-30,2,0,,,,,,
brasilia,itapoa,2020-09-18,-29,2,0,,,,,,
brasilia,itapoa,2020-09-19,-28,3,0,,,,,,
brasilia,itapoa,2020-09-20,-27,8,0,,,,,,
brasilia,itapoa,2020-09-21,-26,5,0,,,,,,
brasilia,itapoa,2020-09-22,-25,2,0,,,,,,
brasilia,itapoa,2020-09-23,-24,6,0,,,,,,
brasilia,itapoa,2020-09-24,-23,5,0,,,,,,
brasilia,itapoa,2020-09-25,-22,2,0,,,,,,
brasilia,itapoa,2020-09-26,-21,4,0,,,,,,
brasilia,itapoa,2020-09-27,-20,2,0,,,,,,
brasilia,itapoa,2020-09-28,-19,9,0,,,,,,
brasilia,itapoa,2020-09-29,-18,2,0,,,,,,
brasilia,itapoa,2020-09-30,-17,3,0,,,,,,
brasilia,itapoa,2020-10-01,-16,1,0,,,,,,
brasilia,itapoa,2020-10-02,-15,1,1,,,,,,
brasilia,itapoa,2020-10-04,-13,4,0,,,,,,
brasilia,itapoa,2020-10-05,-12,1,0,,,,,,
brasilia,itapoa,2020-10-06,-11,5,0,,,,,,
brasilia,itapoa,2020-10-07,-10,2,0,,,,,,
brasilia,itapoa,2020-10-08,-9,3,1,,,,,,
brasilia,itapoa,2020-10-09,-8,2,0,,,,,,
brasilia,itapoa,2020-10-10,-7,2,0,,,,,,
brasilia,itapoa,2020-10-11,-6,3,0,,,,,,
brasilia,itapoa,2020-10-12,-5,6,0,,,,,,
brasilia,itapoa,2020-10-15,-2,1,0,,,,,,
brasilia,itapoa,2020-10-16,-1,3,0,,,,,,
brasilia,itapoa,2020-10-17,0,113,0,,,,,,
brasilia,itapoa,2020-10-18,1,82,0,,,,,,
brasilia,itapoa,2020-10-19,2,2,0,,,,,,
brasilia,itapoa,2020-10-20,3,4,0,,,,,,
brasilia,itapoa,2020-10-22,5,1,0,,,,,,
brasilia,itapoa,2020-10-23,6,1,0,,,,,,
brasilia,itapoa,2020-10-24,7,2,0,,,,,,
brasilia,itapoa,2020-10-25,8,4,0,,,,,,
brasilia,itapoa,2020-10-26,9,2,0,,,,,,
brasilia,itapoa,2020-10-27,10,4,0,,,,,,
brasilia,itapoa,2020-10-28,11,5,0,,,,,,
brasilia,itapoa,2020-10-30,13,8,0,,,,,,
brasilia,itapoa,2020-10-31,14,1,0,,,,,,
brasilia,itapoa,2020-11-02,16,1,0,,,,,,
brasilia,itapoa,2020-11-03,17,2,0,,,,,,
brasilia,itapoa,2020-11-04,18,5,0,,,,,,
brasilia,itapoa,2020-11-05,19,1,0,,,,,,
brasilia,itapoa,2020-11-06,20,5,0,,,,,,
brasilia,itapoa,2020-11-07,21,2,0,,,,,,
brasilia,itapoa,2020-11-08,22,1,0,,,,,,
brasilia,itapoa,2020-11-09,23,3,0,,,,,,
brasilia,itapoa,2020-11-10,24,1,0,,,,,,
brasilia,itapoa,2020-11-11,25,2,0,,,,,,
brasilia,itapoa,2020-11-12,26,2,0,,,,,,
brasilia,itapoa,2020-11-13,27,5,0,,,,,,
brasilia,itapoa,2020-11-14,28,4,0,,,,,,
brasilia,itapoa,2020-11-15,29,1,0,,,,,,
brasilia,itapoa,2020-11-16,30,1,0,,,,,,
brasilia,itapoa,2020-11-17,31,3,0,,,,,,
brasilia,itapoa,2020-11-18,32,6,0,,,,,,
brasilia,itapoa,2020-11-19,33,6,0,,,,,,
brasilia,itapoa,2020-11-20,34,1,0,,,,,,
brasilia,itapoa,2020-11-21,35,1,0,,,,,,
brasilia,itapoa,2020-11-22,36,2,0,,,,,,
brasilia,itapoa,2020-11-23,37,2,0,,,,,,
brasilia,itapoa,2020-11-25,39,2,0,,,,,,
brasilia,itapoa,2020-11-26,40,1,0,,,,,,
brasilia,itapoa,2020-11-27,41,2,0,,,,,,
brasilia,itapoa,2020-11-28,42,4,0,,,,,,
brasilia,itapoa,2020-11-29,43,3,0,,,,,,
brasilia,itapoa,2020-11-30,44,2,0,,,,,,
brasilia,itapoa,2020-12-01,45,3,0,,,,,,
brasilia,itapoa,2020-12-02,46,2,0,,,,,,
brasilia,itapoa,2020-12-03,47,3,0,,,,,,
brasilia,itapoa,2020-12-04,48,1,0,,,,,,
brasilia,itapoa,2020-12-05,49,3,0,,,,,,
brasilia,itapoa,2020-12-07,51,7,0,,,,,,
brasilia,itapoa,2020-12-08,52,3,0,,,,,,
brasilia,itapoa,2020-12-09,53,1,0,,,,,,
brasilia,itapoa,2020-12-10,54,4,0,,,,,,
brasilia,itapoa,2020-12-11,55,3,0,,,,,,
brasilia,itapoa,2020-12-12,56,2,0,,,,,,
brasilia,itapoa,2020-12-13,57,2,0,,,,,,
brasilia,itapoa,2020-12-14,58,2,0,,,,,,
brasilia,itapoa,2020-12-15,59,3,0,,,,,,
brasilia,itapoa,2020-12-16,60,2,0,,,,,,
brasilia,itapoa,2020-12-17,61,2,0,,,,,,
brasilia,itapoa,2020-12-18,62,2,0,,,,,,
brasilia,itapoa,2020-12-19,63,2,0,,,,,,
brasilia,itapoa,2020-12-20,64,4,0,,,,,,
brasilia,itapoa,2020-12-21,65,2,0,,,,,,
brasilia,itapoa,2020-12-22,66,2,0,,,,,,
brasilia,itapoa,2020-12-23,67,3,0,,,,,,
brasilia,itapoa,2020-12-24,68,1,0,,,,,,
brasilia,itapoa,2020-12-25,69,5,0,,,,,,
brasilia,itapoa,2020-12-26,70,2,0,,,,,,
brasilia,itapoa,2020-12-27,71,4,0,,,,,,
brasilia,itapoa,2020-12-28,72,4,0,,,,,,
brasilia,itapoa,2020-12-29,73,1,0,,,,,,
brasilia,itapoa,2020-12-30,74,3,0,,,,,,
brasilia,itapoa,2020-12-31,75,2,0,,,,,,
brasilia,itapoa,2021-01-01,76,2,0,,,,,,
brasilia,itapoa,2021-01-02,77,3,0,,,,,,
brasilia,itapoa,2021-01-03,78,5,0,,,,,,
brasilia,itapoa,2021-01-04,79,2,0,,,,,,
brasilia,itapoa,2021-01-05,80,3,0,,,,,,
brasilia,itapoa,2021-01-07,82,2,0,,,,,,
brasilia,itapoa,2021-01-08,83,5,0,,,,,,
brasilia,itapoa,2021-01-10,85,7,1,,,,,,
brasilia,itapoa,2021-01-11,86,3,0,,,,,,
brasilia,itapoa,2021-01-12,87,2,0,,,,,,
brasilia,itapoa,2021-01-13,88,7,0,,,,,,
brasilia,itapoa,2021-01-14,89,3,0,,,,,,
brasilia,itapoa,2021-01-15,90,3,0,,,,,,
brasilia,itapoa,2021-01-16,91,6,0,,,,,,
brasilia,itapoa,2021-01-17,92,2,0,,,,,,
brasilia,itapoa,2021-01-18,93,3,0,,,,,,
brasilia,itapoa,2021-01-19,94,8,0,,,,,,
brasilia,itapoa,2021-01-20,95,3,0,,,,,,
brasilia,itapoa,2021-01-21,96,2,0,,,,,,
brasilia,itapoa,2021-01-22,97,4,0,,,,,,
brasilia,itapoa,2021-01-23,98,4,0,,,,,,
brasilia,itapoa,2021-01-24,99,1,0,,,,,,
brasilia,itapoa,2021-01-25,100,1,0,,,,,,
brasilia,itapoa,2021-01-26,101,5,0,,,,,,
brasilia,itapoa,2021-01-27,102,1,0,,,,,,
brasilia,itapoa,2021-01-28,103,2,0,,,,,,
brasilia,itapoa,2021-01-29,104,3,0,,,,,,
brasilia,itapoa,2021-01-30,105,1,0,,,,,,
brasilia,itapoa,2021-01-31,106,4,0,,,,,,
brasilia,itapoa,2021-02-02,108,3,0,,,,,,
brasilia,itapoa,2021-02-03,109,2,0,,,,,,
brasilia,itapoa,2021-02-04,110,1,1,,,,,,
brasilia,itapoa,2021-02-05,111,2,0,,,,,,
brasilia,itapoa,2021-02-06,112,4,0,,,,,,
brasilia,itapoa,2021-02-07,113,2,0,,,,,,
brasilia,itapoa,2021-02-08,114,3,0,,,,,,
brasilia,itapoa,2021-02-09,115,1,0,,,,,,
brasilia,itapoa,2021-02-10,116,1,0,,,,,,
brasilia,itapoa,2021-02-12,118,4,0,,,,,,
brasilia,itapoa,2021-02-13,119,3,0,,,,,,
brasilia,itapoa,2021-02-15,121,1,0,,,,,,
brasilia,itapoa,2021-02-16,122,1,0,,,,,,
brasilia,itapoa,2021-02-17,123,2,0,,,,,,
brasilia,itapoa,2021-02-19,125,2,0,,,,,,
brasilia,itapoa,2021-02-20,126,3,1,,,,,,
brasilia,itapoa,2021-02-22,128,3,0,,,,,,
brasilia,itapoa,2021-02-23,129,2,0,,,,,,
brasilia,itapoa,2021-02-24,130,5,0,,,,,,
brasilia,itapoa,2021-02-25,131,1,0,,,,,,
brasilia,itapoa,2021-02-26,132,2,0,,,,,,
brasilia,itapoa,2021-02-27,133,7,0,,,,,,
brasilia,itapoa,2021-02-28,134,2,0,,,,,,
brasilia,itapoa,2021-03-01,135,5,0,,,,,,
brasilia,itapoa,2021-03-02,136,10,1,,,,,,
brasilia,itapoa,2021-03-03,137,2,0,,,,,,
brasilia,itapoa,2021-03-04,138,2,0,,,,,,
brasilia,itapoa,2021-03-05,139,5,0,,,,,,
brasilia,itapoa,2021-03-06,140,5,1,,,,,,
brasilia,itapoa,2021-03-07,141,11,2,,,,,,
brasilia,itapoa,2021-03-08,142,13,1,,,,,,
brasilia,itapoa,2021-03-09,143,3,0,,,,,,
brasilia,itapoa,2021-03-10,144,8,0,,,,,,
brasilia,itapoa,2021-03-11,145,1,0,,,,,,
brasilia,itapoa,2021-03-12,146,8,0,,,,,,
brasilia,itapoa,2021-03-13,147,9,0,,,,,,
brasilia,itapoa,2021-03-15,149,6,1,,,,,,
brasilia,itapoa,2021-03-16,150,10,0,,,,,,
brasilia,itapoa,2021-03-17,151,9,0,,,,,,
brasilia,itapoa,2021-03-18,152,3,0,,,,,,
brasilia,itapoa,2021-03-19,153,4,0,,,,,,
brasilia,itapoa,2021-03-20,154,13,0,,,,,,
brasilia,itapoa,2021-03-21,155,6,1,,,,,,
brasilia,itapoa,2021-03-22,156,14,1,,,,,,
brasilia,itapoa,2021-03-23,157,14,1,,,,,,
brasilia,itapoa,2021-03-24,158,7,2,,,,,,
brasilia,itapoa,2021-03-25,159,8,1,,,,,,
brasilia,itapoa,2021-03-26,160,10,1,,,,,,
brasilia,itapoa,2021-03-27,161,9,0,,,,,,
brasilia,itapoa,2021-03-28,162,10,0,,,,,,
brasilia,itapoa,2021-03-29,163,15,1,,,,,,
brasilia,itapoa,2021-03-30,164,10,1,,,,,,
brasilia,itapoa,2021-03-31,165,3,0,,,,,,
brasilia,itapoa,2021-04-01,166,13,1,,,,,,
brasilia,itapoa,2021-04-02,167,3,0,,,,,,
brasilia,itapoa,2021-04-03,168,11,0,,,,,,
brasilia,itapoa,2021-04-04,169,15,0,,,,,,
brasilia,itapoa,2021-04-05,170,16,1,,,,,,
brasilia,itapoa,2021-04-06,171,7,0,,,,,,
brasilia,itapoa,2021-04-07,172,8,0,,,,,,
brasilia,itapoa,2021-04-08,173,8,0,,,,,,
brasilia,itapoa,2021-04-09,174,11,1,,,,,,
brasilia,itapoa,2021-04-10,175,11,0,,,,,,
brasilia,itapoa,2021-04-11,176,4,0,,,,,,
brasilia,itapoa,2021-04-12,177,8,0,,,,,,
brasilia,itapoa,2021-04-13,178,8,1,,,,,,
brasilia,itapoa,2021-04-14,179,13,0,,,,,,
brasilia,itapoa,2021-04-15,180,6,0,,,,,,
brasilia,itapoa,2021-04-16,181,12,0,,,,,,
brasilia,itapoa,2021-04-17,182,7,2,,,,,,
brasilia,itapoa,2021-04-18,183,10,1,,,,,,
brasilia,itapoa,2021-04-19,184,10,0,,,,,,
brasilia,itapoa,2021-04-20,185,13,1,,,,,,
brasilia,itapoa,2021-04-21,186,5,0,,,,,,
brasilia,itapoa,2021-04-22,187,2,0,,,,,,
brasilia,itapoa,2021-04-23,188,6,0,,,,,,
brasilia,itapoa,2021-04-24,189,14,0,,,,,,
brasilia,itapoa,2021-04-25,190,4,0,,,,,,
brasilia,itapoa,2021-04-26,191,12,0,,,,,,
brasilia,itapoa,2021-04-27,192,6,0,,,,,,
brasilia,itapoa,2021-04-28,193,4,0,,,,,,
brasilia,itapoa,2021-04-29,194,2,0,,,,,,
brasilia,itapoa,2021-04-30,195,4,1,,,,,,
brasilia,itapoa,2021-05-01,196,11,0,,,,,,
brasilia,itapoa,2021-05-02,197,5,0,,,,,,
brasilia,itapoa,2021-05-03,198,7,1,,,,,,
brasilia,itapoa,2021-05-04,199,8,0,,,,,,
