country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,jardim_botanico,2020-03-12,-687,1,0,,,,,,
brasilia,jardim_botanico,2020-03-13,-686,3,1,,,,,,
brasilia,jardim_botanico,2020-03-14,-685,2,0,,,,,,
brasilia,jardim_botanico,2020-03-16,-683,3,0,,,,,,
brasilia,jardim_botanico,2020-03-17,-682,3,0,,,,,,
brasilia,jardim_botanico,2020-03-19,-680,1,0,,,,,,
brasilia,jardim_botanico,2020-03-26,-673,1,1,,,,,,
brasilia,jardim_botanico,2020-03-27,-672,1,0,,,,,,
brasilia,jardim_botanico,2020-03-29,-670,1,0,,,,,,
brasilia,jardim_botanico,2020-03-30,-669,1,0,,,,,,
brasilia,jardim_botanico,2020-03-31,-668,1,0,,,,,,
brasilia,jardim_botanico,2020-04-02,-666,1,0,,,,,,
brasilia,jardim_botanico,2020-04-04,-664,1,0,,,,,,
brasilia,jardim_botanico,2020-04-05,-663,1,0,,,,,,
brasilia,jardim_botanico,2020-04-06,-662,1,0,,,,,,
brasilia,jardim_botanico,2020-04-07,-661,1,0,,,,,,
brasilia,jardim_botanico,2020-04-09,-659,1,0,,,,,,
brasilia,jardim_botanico,2020-04-11,-657,3,0,,,,,,
brasilia,jardim_botanico,2020-04-12,-656,2,0,,,,,,
brasilia,jardim_botanico,2020-04-14,-654,2,0,,,,,,
brasilia,jardim_botanico,2020-04-15,-653,1,0,,,,,,
brasilia,jardim_botanico,2020-04-17,-651,3,0,,,,,,
brasilia,jardim_botanico,2020-04-18,-650,1,0,,,,,,
brasilia,jardim_botanico,2020-04-21,-647,4,0,,,,,,
brasilia,jardim_botanico,2020-04-22,-646,1,0,,,,,,
brasilia,jardim_botanico,2020-04-23,-645,2,0,,,,,,
brasilia,jardim_botanico,2020-04-24,-644,2,0,,,,,,
brasilia,jardim_botanico,2020-04-25,-643,1,0,,,,,,
brasilia,jardim_botanico,2020-04-26,-642,3,0,,,,,,
brasilia,jardim_botanico,2020-04-27,-641,3,0,,,,,,
brasilia,jardim_botanico,2020-04-28,-640,1,0,,,,,,
brasilia,jardim_botanico,2020-04-29,-639,2,0,,,,,,
brasilia,jardim_botanico,2020-04-30,-638,1,0,,,,,,
brasilia,jardim_botanico,2020-05-01,-637,2,0,,,,,,
brasilia,jardim_botanico,2020-05-02,-636,3,0,,,,,,
brasilia,jardim_botanico,2020-05-03,-635,3,0,,,,,,
brasilia,jardim_botanico,2020-05-04,-634,2,0,,,,,,
brasilia,jardim_botanico,2020-05-05,-633,5,0,,,,,,
brasilia,jardim_botanico,2020-05-06,-632,5,0,,,,,,
brasilia,jardim_botanico,2020-05-07,-631,10,0,,,,,,
brasilia,jardim_botanico,2020-05-08,-630,7,0,,,,,,
brasilia,jardim_botanico,2020-05-09,-629,1,0,,,,,,
brasilia,jardim_botanico,2020-05-10,-628,6,0,,,,,,
brasilia,jardim_botanico,2020-05-11,-627,1,0,,,,,,
brasilia,jardim_botanico,2020-05-12,-626,5,0,,,,,,
brasilia,jardim_botanico,2020-05-13,-625,1,0,,,,,,
brasilia,jardim_botanico,2020-05-14,-624,5,0,,,,,,
brasilia,jardim_botanico,2020-05-15,-623,3,1,,,,,,
brasilia,jardim_botanico,2020-05-16,-622,7,0,,,,,,
brasilia,jardim_botanico,2020-05-17,-621,4,0,,,,,,
brasilia,jardim_botanico,2020-05-18,-620,4,0,,,,,,
brasilia,jardim_botanico,2020-05-19,-619,6,0,,,,,,
brasilia,jardim_botanico,2020-05-20,-618,6,0,,,,,,
brasilia,jardim_botanico,2020-05-21,-617,4,0,,,,,,
brasilia,jardim_botanico,2020-05-22,-616,3,0,,,,,,
brasilia,jardim_botanico,2020-05-23,-615,3,1,,,,,,
brasilia,jardim_botanico,2020-05-24,-614,5,0,,,,,,
brasilia,jardim_botanico,2020-05-25,-613,8,0,,,,,,
brasilia,jardim_botanico,2020-05-26,-612,7,0,,,,,,
brasilia,jardim_botanico,2020-05-27,-611,12,0,,,,,,
brasilia,jardim_botanico,2020-05-28,-610,4,0,,,,,,
brasilia,jardim_botanico,2020-05-29,-609,9,0,,,,,,
brasilia,jardim_botanico,2020-05-30,-608,14,1,,,,,,
brasilia,jardim_botanico,2020-05-31,-607,7,0,,,,,,
brasilia,jardim_botanico,2020-06-01,-606,16,0,,,,,,
brasilia,jardim_botanico,2020-06-02,-605,7,0,,,,,,
brasilia,jardim_botanico,2020-06-03,-604,13,0,,,,,,
brasilia,jardim_botanico,2020-06-04,-603,9,0,,,,,,
brasilia,jardim_botanico,2020-06-05,-602,21,0,,,,,,
brasilia,jardim_botanico,2020-06-06,-601,12,0,,,,,,
brasilia,jardim_botanico,2020-06-07,-600,11,0,,,,,,
brasilia,jardim_botanico,2020-06-08,-599,23,0,,,,,,
brasilia,jardim_botanico,2020-06-09,-598,25,0,,,,,,
brasilia,jardim_botanico,2020-06-10,-597,70,0,,,,,,
brasilia,jardim_botanico,2020-06-11,-596,20,0,,,,,,
brasilia,jardim_botanico,2020-06-12,-595,22,0,,,,,,
brasilia,jardim_botanico,2020-06-13,-594,13,0,,,,,,
brasilia,jardim_botanico,2020-06-14,-593,13,1,,,,,,
brasilia,jardim_botanico,2020-06-15,-592,61,0,,,,,,
brasilia,jardim_botanico,2020-06-16,-591,29,0,,,,,,
brasilia,jardim_botanico,2020-06-17,-590,32,0,,,,,,
brasilia,jardim_botanico,2020-06-18,-589,29,0,,,,,,
brasilia,jardim_botanico,2020-06-19,-588,27,0,,,,,,
brasilia,jardim_botanico,2020-06-20,-587,9,0,,,,,,
brasilia,jardim_botanico,2020-06-21,-586,7,0,,,,,,
brasilia,jardim_botanico,2020-06-22,-585,20,0,,,,,,
brasilia,jardim_botanico,2020-06-23,-584,12,1,,,,,,
brasilia,jardim_botanico,2020-06-24,-583,28,0,,,,,,
brasilia,jardim_botanico,2020-06-25,-582,18,0,,,,,,
brasilia,jardim_botanico,2020-06-26,-581,36,0,,,,,,
brasilia,jardim_botanico,2020-06-27,-580,10,0,,,,,,
brasilia,jardim_botanico,2020-06-28,-579,4,0,,,,,,
brasilia,jardim_botanico,2020-06-29,-578,7,0,,,,,,
brasilia,jardim_botanico,2020-06-30,-577,8,0,,,,,,
brasilia,jardim_botanico,2020-07-01,-576,16,0,,,,,,
brasilia,jardim_botanico,2020-07-02,-575,17,0,,,,,,
brasilia,jardim_botanico,2020-07-03,-574,20,0,,,,,,
brasilia,jardim_botanico,2020-07-04,-573,6,1,,,,,,
brasilia,jardim_botanico,2020-07-05,-572,8,0,,,,,,
brasilia,jardim_botanico,2020-07-06,-571,12,0,,,,,,
brasilia,jardim_botanico,2020-07-07,-570,9,0,,,,,,
brasilia,jardim_botanico,2020-07-08,-569,11,0,,,,,,
brasilia,jardim_botanico,2020-07-09,-568,15,0,,,,,,
brasilia,jardim_botanico,2020-07-10,-567,16,0,,,,,,
brasilia,jardim_botanico,2020-07-11,-566,13,0,,,,,,
brasilia,jardim_botanico,2020-07-12,-565,4,0,,,,,,
brasilia,jardim_botanico,2020-07-13,-564,8,0,,,,,,
brasilia,jardim_botanico,2020-07-14,-563,19,0,,,,,,
brasilia,jardim_botanico,2020-07-15,-562,16,0,,,,,,
brasilia,jardim_botanico,2020-07-16,-561,13,0,,,,,,
brasilia,jardim_botanico,2020-07-17,-560,18,0,,,,,,
brasilia,jardim_botanico,2020-07-18,-559,15,0,,,,,,
brasilia,jardim_botanico,2020-07-19,-558,12,0,,,,,,
brasilia,jardim_botanico,2020-07-20,-557,20,0,,,,,,
brasilia,jardim_botanico,2020-07-21,-556,18,1,,,,,,
brasilia,jardim_botanico,2020-07-22,-555,12,0,,,,,,
brasilia,jardim_botanico,2020-07-23,-554,20,0,,,,,,
brasilia,jardim_botanico,2020-07-24,-553,15,0,,,,,,
brasilia,jardim_botanico,2020-07-25,-552,9,0,,,,,,
brasilia,jardim_botanico,2020-07-26,-551,7,0,,,,,,
brasilia,jardim_botanico,2020-07-27,-550,19,0,,,,,,
brasilia,jardim_botanico,2020-07-28,-549,13,0,,,,,,
brasilia,jardim_botanico,2020-07-29,-548,17,0,,,,,,
brasilia,jardim_botanico,2020-07-30,-547,16,0,,,,,,
brasilia,jardim_botanico,2020-07-31,-546,20,2,,,,,,
brasilia,jardim_botanico,2020-08-01,-545,15,0,,,,,,
brasilia,jardim_botanico,2020-08-02,-544,5,0,,,,,,
brasilia,jardim_botanico,2020-08-03,-543,6,0,,,,,,
brasilia,jardim_botanico,2020-08-04,-542,8,0,,,,,,
brasilia,jardim_botanico,2020-08-05,-541,14,1,,,,,,
brasilia,jardim_botanico,2020-08-06,-540,12,0,,,,,,
brasilia,jardim_botanico,2020-08-07,-539,15,0,,,,,,
brasilia,jardim_botanico,2020-08-08,-538,10,0,,,,,,
brasilia,jardim_botanico,2020-08-09,-537,7,0,,,,,,
brasilia,jardim_botanico,2020-08-10,-536,18,0,,,,,,
brasilia,jardim_botanico,2020-08-11,-535,18,1,,,,,,
brasilia,jardim_botanico,2020-08-12,-534,23,0,,,,,,
brasilia,jardim_botanico,2020-08-13,-533,8,0,,,,,,
brasilia,jardim_botanico,2020-08-14,-532,15,0,,,,,,
brasilia,jardim_botanico,2020-08-15,-531,9,0,,,,,,
brasilia,jardim_botanico,2020-08-16,-530,3,1,,,,,,
brasilia,jardim_botanico,2020-08-17,-529,12,0,,,,,,
brasilia,jardim_botanico,2020-08-18,-528,20,0,,,,,,
brasilia,jardim_botanico,2020-08-19,-527,13,1,,,,,,
brasilia,jardim_botanico,2020-08-20,-526,9,0,,,,,,
brasilia,jardim_botanico,2020-08-21,-525,9,0,,,,,,
brasilia,jardim_botanico,2020-08-22,-524,4,0,,,,,,
brasilia,jardim_botanico,2020-08-23,-523,8,0,,,,,,
brasilia,jardim_botanico,2020-08-24,-522,10,0,,,,,,
brasilia,jardim_botanico,2020-08-25,-521,12,0,,,,,,
brasilia,jardim_botanico,2020-08-26,-520,12,0,,,,,,
brasilia,jardim_botanico,2020-08-27,-519,11,0,,,,,,
brasilia,jardim_botanico,2020-08-28,-518,4,0,,,,,,
brasilia,jardim_botanico,2020-08-29,-517,11,0,,,,,,
brasilia,jardim_botanico,2020-08-30,-516,3,0,,,,,,
brasilia,jardim_botanico,2020-08-31,-515,7,0,,,,,,
brasilia,jardim_botanico,2020-09-01,-514,11,0,,,,,,
brasilia,jardim_botanico,2020-09-02,-513,4,0,,,,,,
brasilia,jardim_botanico,2020-09-03,-512,2,0,,,,,,
brasilia,jardim_botanico,2020-09-04,-511,2,0,,,,,,
brasilia,jardim_botanico,2020-09-05,-510,4,0,,,,,,
brasilia,jardim_botanico,2020-09-06,-509,3,0,,,,,,
brasilia,jardim_botanico,2020-09-08,-507,5,0,,,,,,
brasilia,jardim_botanico,2020-09-09,-506,5,0,,,,,,
brasilia,jardim_botanico,2020-09-10,-505,4,0,,,,,,
brasilia,jardim_botanico,2020-09-11,-504,6,0,,,,,,
brasilia,jardim_botanico,2020-09-12,-503,5,0,,,,,,
