country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,lago_norte,2020-03-01,-695,1,0,,,,,,
brasilia,lago_norte,2020-03-07,-689,1,0,,,,,,
brasilia,lago_norte,2020-03-10,-686,1,0,,,,,,
brasilia,lago_norte,2020-03-11,-685,2,0,,,,,,
brasilia,lago_norte,2020-03-14,-682,2,0,,,,,,
brasilia,lago_norte,2020-03-16,-680,4,0,,,,,,
brasilia,lago_norte,2020-03-17,-679,1,0,,,,,,
brasilia,lago_norte,2020-03-18,-678,1,0,,,,,,
brasilia,lago_norte,2020-03-19,-677,1,0,,,,,,
brasilia,lago_norte,2020-03-20,-676,1,0,,,,,,
brasilia,lago_norte,2020-03-21,-675,2,0,,,,,,
brasilia,lago_norte,2020-03-22,-674,3,0,,,,,,
brasilia,lago_norte,2020-03-23,-673,1,0,,,,,,
brasilia,lago_norte,2020-03-25,-671,1,0,,,,,,
brasilia,lago_norte,2020-03-26,-670,2,0,,,,,,
brasilia,lago_norte,2020-03-27,-669,1,0,,,,,,
brasilia,lago_norte,2020-03-31,-665,1,0,,,,,,
brasilia,lago_norte,2020-04-01,-664,4,0,,,,,,
brasilia,lago_norte,2020-04-02,-663,1,0,,,,,,
brasilia,lago_norte,2020-04-03,-662,3,0,,,,,,
brasilia,lago_norte,2020-04-04,-661,1,0,,,,,,
brasilia,lago_norte,2020-04-05,-660,2,0,,,,,,
brasilia,lago_norte,2020-04-06,-659,1,0,,,,,,
brasilia,lago_norte,2020-04-07,-658,2,0,,,,,,
brasilia,lago_norte,2020-04-08,-657,1,0,,,,,,
brasilia,lago_norte,2020-04-11,-654,1,0,,,,,,
brasilia,lago_norte,2020-04-12,-653,1,0,,,,,,
brasilia,lago_norte,2020-04-16,-649,1,0,,,,,,
brasilia,lago_norte,2020-04-18,-647,1,0,,,,,,
brasilia,lago_norte,2020-04-23,-642,1,0,,,,,,
brasilia,lago_norte,2020-04-24,-641,2,0,,,,,,
brasilia,lago_norte,2020-04-25,-640,2,0,,,,,,
brasilia,lago_norte,2020-04-26,-639,2,0,,,,,,
brasilia,lago_norte,2020-04-28,-637,2,0,,,,,,
brasilia,lago_norte,2020-04-29,-636,2,0,,,,,,
brasilia,lago_norte,2020-04-30,-635,2,0,,,,,,
brasilia,lago_norte,2020-05-01,-634,5,0,,,,,,
brasilia,lago_norte,2020-05-02,-633,3,0,,,,,,
brasilia,lago_norte,2020-05-03,-632,2,0,,,,,,
brasilia,lago_norte,2020-05-04,-631,1,0,,,,,,
brasilia,lago_norte,2020-05-05,-630,8,0,,,,,,
brasilia,lago_norte,2020-05-06,-629,7,0,,,,,,
brasilia,lago_norte,2020-05-07,-628,4,0,,,,,,
brasilia,lago_norte,2020-05-08,-627,7,0,,,,,,
brasilia,lago_norte,2020-05-09,-626,6,0,,,,,,
brasilia,lago_norte,2020-05-11,-624,6,0,,,,,,
brasilia,lago_norte,2020-05-12,-623,8,0,,,,,,
brasilia,lago_norte,2020-05-13,-622,6,0,,,,,,
brasilia,lago_norte,2020-05-14,-621,2,0,,,,,,
brasilia,lago_norte,2020-05-15,-620,9,0,,,,,,
brasilia,lago_norte,2020-05-17,-618,4,1,,,,,,
brasilia,lago_norte,2020-05-18,-617,8,0,,,,,,
brasilia,lago_norte,2020-05-19,-616,3,0,,,,,,
brasilia,lago_norte,2020-05-20,-615,4,0,,,,,,
brasilia,lago_norte,2020-05-21,-614,3,0,,,,,,
brasilia,lago_norte,2020-05-22,-613,1,0,,,,,,
brasilia,lago_norte,2020-05-23,-612,1,0,,,,,,
brasilia,lago_norte,2020-05-24,-611,1,0,,,,,,
brasilia,lago_norte,2020-05-25,-610,12,0,,,,,,
brasilia,lago_norte,2020-05-26,-609,5,1,,,,,,
brasilia,lago_norte,2020-05-27,-608,5,0,,,,,,
brasilia,lago_norte,2020-05-28,-607,7,0,,,,,,
brasilia,lago_norte,2020-05-29,-606,6,0,,,,,,
