country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,lago_sul,2020-02-26,-679,1,0,,,,,,
brasilia,lago_sul,2020-03-02,-674,1,0,,,,,,
brasilia,lago_sul,2020-03-03,-673,1,0,,,,,,
brasilia,lago_sul,2020-03-05,-671,1,0,,,,,,
brasilia,lago_sul,2020-03-06,-670,1,0,,,,,,
brasilia,lago_sul,2020-03-08,-668,1,0,,,,,,
brasilia,lago_sul,2020-03-09,-667,2,0,,,,,,
brasilia,lago_sul,2020-03-10,-666,3,0,,,,,,
brasilia,lago_sul,2020-03-12,-664,8,0,,,,,,
brasilia,lago_sul,2020-03-13,-663,4,0,,,,,,
brasilia,lago_sul,2020-03-14,-662,4,0,,,,,,
brasilia,lago_sul,2020-03-15,-661,1,0,,,,,,
brasilia,lago_sul,2020-03-16,-660,9,0,,,,,,
brasilia,lago_sul,2020-03-17,-659,6,0,,,,,,
brasilia,lago_sul,2020-03-18,-658,9,0,,,,,,
brasilia,lago_sul,2020-03-19,-657,5,0,,,,,,
brasilia,lago_sul,2020-03-20,-656,4,0,,,,,,
brasilia,lago_sul,2020-03-21,-655,1,0,,,,,,
brasilia,lago_sul,2020-03-22,-654,6,0,,,,,,
brasilia,lago_sul,2020-03-23,-653,3,0,,,,,,
brasilia,lago_sul,2020-03-24,-652,4,0,,,,,,
brasilia,lago_sul,2020-03-25,-651,2,0,,,,,,
brasilia,lago_sul,2020-03-26,-650,3,0,,,,,,
brasilia,lago_sul,2020-03-27,-649,3,0,,,,,,
brasilia,lago_sul,2020-03-29,-647,1,0,,,,,,
brasilia,lago_sul,2020-03-30,-646,2,1,,,,,,
brasilia,lago_sul,2020-04-03,-642,2,0,,,,,,
brasilia,lago_sul,2020-04-04,-641,1,0,,,,,,
brasilia,lago_sul,2020-04-05,-640,1,0,,,,,,
brasilia,lago_sul,2020-04-06,-639,2,0,,,,,,
brasilia,lago_sul,2020-04-08,-637,2,0,,,,,,
brasilia,lago_sul,2020-04-10,-635,1,0,,,,,,
brasilia,lago_sul,2020-04-12,-633,3,0,,,,,,
brasilia,lago_sul,2020-04-13,-632,1,0,,,,,,
brasilia,lago_sul,2020-04-15,-630,1,0,,,,,,
brasilia,lago_sul,2020-04-16,-629,1,0,,,,,,
brasilia,lago_sul,2020-04-17,-628,1,0,,,,,,
brasilia,lago_sul,2020-04-18,-627,5,0,,,,,,
brasilia,lago_sul,2020-04-19,-626,1,0,,,,,,
brasilia,lago_sul,2020-04-20,-625,3,0,,,,,,
brasilia,lago_sul,2020-04-22,-623,1,0,,,,,,
brasilia,lago_sul,2020-04-23,-622,1,0,,,,,,
brasilia,lago_sul,2020-04-24,-621,2,0,,,,,,
brasilia,lago_sul,2020-04-25,-620,1,0,,,,,,
brasilia,lago_sul,2020-04-26,-619,2,0,,,,,,
brasilia,lago_sul,2020-04-27,-618,2,0,,,,,,
brasilia,lago_sul,2020-04-28,-617,4,1,,,,,,
brasilia,lago_sul,2020-04-29,-616,3,0,,,,,,
brasilia,lago_sul,2020-04-30,-615,2,0,,,,,,
brasilia,lago_sul,2020-05-01,-614,6,0,,,,,,
brasilia,lago_sul,2020-05-02,-613,10,0,,,,,,
brasilia,lago_sul,2020-05-03,-612,5,0,,,,,,
brasilia,lago_sul,2020-05-04,-611,6,1,,,,,,
brasilia,lago_sul,2020-05-05,-610,10,0,,,,,,
brasilia,lago_sul,2020-05-06,-609,6,0,,,,,,
brasilia,lago_sul,2020-05-07,-608,9,0,,,,,,
brasilia,lago_sul,2020-05-08,-607,5,0,,,,,,
brasilia,lago_sul,2020-05-09,-606,2,0,,,,,,
brasilia,lago_sul,2020-05-10,-605,3,0,,,,,,
brasilia,lago_sul,2020-05-11,-604,10,0,,,,,,
brasilia,lago_sul,2020-05-12,-603,2,0,,,,,,
brasilia,lago_sul,2020-05-13,-602,4,0,,,,,,
brasilia,lago_sul,2020-05-14,-601,2,0,,,,,,
brasilia,lago_sul,2020-05-15,-600,5,0,,,,,,
brasilia,lago_sul,2020-05-16,-599,5,0,,,,,,
brasilia,lago_sul,2020-05-17,-598,8,0,,,,,,
brasilia,lago_sul,2020-05-18,-597,4,0,,,,,,
brasilia,lago_sul,2020-05-19,-596,3,1,,,,,,
brasilia,lago_sul,2020-05-20,-595,8,0,,,,,,
brasilia,lago_sul,2020-05-21,-594,8,1,,,,,,
brasilia,lago_sul,2020-05-22,-593,9,0,,,,,,
brasilia,lago_sul,2020-05-23,-592,4,0,,,,,,
brasilia,lago_sul,2020-05-24,-591,3,0,,,,,,
brasilia,lago_sul,2020-05-25,-590,20,0,,,,,,
brasilia,lago_sul,2020-05-26,-589,9,0,,,,,,
brasilia,lago_sul,2020-05-27,-588,7,0,,,,,,
brasilia,lago_sul,2020-05-28,-587,12,0,,,,,,
brasilia,lago_sul,2020-05-29,-586,7,1,,,,,,
brasilia,lago_sul,2020-05-30,-585,14,1,,,,,,
brasilia,lago_sul,2020-05-31,-584,5,0,,,,,,
brasilia,lago_sul,2020-06-01,-583,14,1,,,,,,
brasilia,lago_sul,2020-06-02,-582,16,0,,,,,,
brasilia,lago_sul,2020-06-03,-581,16,1,,,,,,
brasilia,lago_sul,2020-06-04,-580,7,1,,,,,,
brasilia,lago_sul,2020-06-05,-579,23,0,,,,,,
brasilia,lago_sul,2020-06-06,-578,15,1,,,,,,
brasilia,lago_sul,2020-06-07,-577,5,0,,,,,,
brasilia,lago_sul,2020-06-08,-576,33,0,,,,,,
brasilia,lago_sul,2020-06-09,-575,25,0,,,,,,
brasilia,lago_sul,2020-06-10,-574,24,0,,,,,,
brasilia,lago_sul,2020-06-11,-573,8,0,,,,,,
brasilia,lago_sul,2020-06-12,-572,24,0,,,,,,
brasilia,lago_sul,2020-06-13,-571,16,1,,,,,,
brasilia,lago_sul,2020-06-14,-570,4,0,,,,,,
brasilia,lago_sul,2020-06-15,-569,30,0,,,,,,
