country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,núcleo_bandeirante,2020-03-09,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-14,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-17,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-20,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-21,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-24,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-03-28,,1,1,,,,,,
brasilia,núcleo_bandeirante,2020-04-01,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-06,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-08,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-09,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-10,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-12,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-13,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-14,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-15,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-16,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-17,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-20,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-22,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-24,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-27,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-29,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-04-30,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-01,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-03,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-04,,4,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-05,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-06,,1,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-07,,2,1,,,,,,
brasilia,núcleo_bandeirante,2020-05-08,,5,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-10,,4,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-11,,6,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-12,,6,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-13,,4,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-14,,3,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-15,,6,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-16,,4,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-17,,8,1,,,,,,
brasilia,núcleo_bandeirante,2020-05-18,,9,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-19,,7,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-20,,12,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-21,,4,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-22,,25,1,,,,,,
brasilia,núcleo_bandeirante,2020-05-23,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-24,,2,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-25,,6,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-26,,5,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-27,,8,1,,,,,,
brasilia,núcleo_bandeirante,2020-05-28,,9,0,,,,,,
brasilia,núcleo_bandeirante,2020-05-29,,6,0,,,,,,
