country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,outros_estados,2020-03-02,-96,1,0,,,,,,
brasilia,outros_estados,2020-03-05,-93,1,0,,,,,,
brasilia,outros_estados,2020-03-06,-92,1,0,,,,,,
brasilia,outros_estados,2020-03-10,-88,1,0,,,,,,
brasilia,outros_estados,2020-03-12,-86,1,0,,,,,,
brasilia,outros_estados,2020-03-13,-85,3,0,,,,,,
brasilia,outros_estados,2020-03-14,-84,1,0,,,,,,
brasilia,outros_estados,2020-03-15,-83,3,0,,,,,,
brasilia,outros_estados,2020-03-16,-82,5,0,,,,,,
brasilia,outros_estados,2020-03-17,-81,3,0,,,,,,
brasilia,outros_estados,2020-03-18,-80,2,0,,,,,,
brasilia,outros_estados,2020-03-19,-79,8,0,,,,,,
brasilia,outros_estados,2020-03-20,-78,4,0,,,,,,
brasilia,outros_estados,2020-03-21,-77,3,0,,,,,,
brasilia,outros_estados,2020-03-23,-75,2,0,,,,,,
brasilia,outros_estados,2020-03-25,-73,2,0,,,,,,
brasilia,outros_estados,2020-03-26,-72,3,0,,,,,,
brasilia,outros_estados,2020-03-27,-71,2,0,,,,,,
brasilia,outros_estados,2020-03-28,-70,1,0,,,,,,
brasilia,outros_estados,2020-03-29,-69,3,0,,,,,,
brasilia,outros_estados,2020-03-30,-68,4,0,,,,,,
brasilia,outros_estados,2020-03-31,-67,3,0,,,,,,
brasilia,outros_estados,2020-04-01,-66,4,0,,,,,,
brasilia,outros_estados,2020-04-03,-64,1,0,,,,,,
brasilia,outros_estados,2020-04-04,-63,3,0,,,,,,
brasilia,outros_estados,2020-04-05,-62,3,0,,,,,,
brasilia,outros_estados,2020-04-06,-61,2,0,,,,,,
brasilia,outros_estados,2020-04-07,-60,2,0,,,,,,
brasilia,outros_estados,2020-04-08,-59,5,0,,,,,,
brasilia,outros_estados,2020-04-09,-58,5,0,,,,,,
brasilia,outros_estados,2020-04-10,-57,3,0,,,,,,
brasilia,outros_estados,2020-04-11,-56,6,0,,,,,,
brasilia,outros_estados,2020-04-12,-55,2,0,,,,,,
brasilia,outros_estados,2020-04-13,-54,3,0,,,,,,
brasilia,outros_estados,2020-04-14,-53,4,0,,,,,,
brasilia,outros_estados,2020-04-15,-52,6,0,,,,,,
brasilia,outros_estados,2020-04-16,-51,2,0,,,,,,
brasilia,outros_estados,2020-04-17,-50,7,0,,,,,,
brasilia,outros_estados,2020-04-18,-49,3,0,,,,,,
brasilia,outros_estados,2020-04-19,-48,8,0,,,,,,
brasilia,outros_estados,2020-04-20,-47,11,0,,,,,,
brasilia,outros_estados,2020-04-21,-46,3,0,,,,,,
brasilia,outros_estados,2020-04-22,-45,5,0,,,,,,
brasilia,outros_estados,2020-04-23,-44,4,0,,,,,,
brasilia,outros_estados,2020-04-24,-43,8,1,,,,,,
brasilia,outros_estados,2020-04-25,-42,9,0,,,,,,
brasilia,outros_estados,2020-04-26,-41,11,0,,,,,,
brasilia,outros_estados,2020-04-27,-40,16,0,,,,,,
brasilia,outros_estados,2020-04-28,-39,5,0,,,,,,
brasilia,outros_estados,2020-04-29,-38,7,0,,,,,,
brasilia,outros_estados,2020-04-30,-37,8,0,,,,,,
brasilia,outros_estados,2020-05-01,-36,14,0,,,,,,
brasilia,outros_estados,2020-05-02,-35,15,0,,,,,,
brasilia,outros_estados,2020-05-03,-34,4,0,,,,,,
brasilia,outros_estados,2020-05-04,-33,20,0,,,,,,
brasilia,outros_estados,2020-05-05,-32,15,0,,,,,,
