country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,paranoa,2020-03-11,-82,1,0,,,,,,
brasilia,paranoa,2020-03-15,-78,2,0,,,,,,
brasilia,paranoa,2020-03-16,-77,1,0,,,,,,
brasilia,paranoa,2020-03-20,-73,1,0,,,,,,
brasilia,paranoa,2020-03-21,-72,2,0,,,,,,
brasilia,paranoa,2020-03-22,-71,2,0,,,,,,
brasilia,paranoa,2020-03-23,-70,1,0,,,,,,
brasilia,paranoa,2020-03-25,-68,1,0,,,,,,
brasilia,paranoa,2020-03-28,-65,2,0,,,,,,
brasilia,paranoa,2020-03-31,-62,1,0,,,,,,
brasilia,paranoa,2020-04-02,-60,1,0,,,,,,
brasilia,paranoa,2020-04-03,-59,1,0,,,,,,
brasilia,paranoa,2020-04-08,-54,1,0,,,,,,
brasilia,paranoa,2020-04-10,-52,1,0,,,,,,
brasilia,paranoa,2020-04-11,-51,1,0,,,,,,
brasilia,paranoa,2020-04-12,-50,1,0,,,,,,
brasilia,paranoa,2020-04-14,-48,1,0,,,,,,
brasilia,paranoa,2020-04-15,-47,1,0,,,,,,
brasilia,paranoa,2020-04-16,-46,1,0,,,,,,
brasilia,paranoa,2020-04-19,-43,1,0,,,,,,
brasilia,paranoa,2020-04-20,-42,2,0,,,,,,
brasilia,paranoa,2020-04-21,-41,1,0,,,,,,
brasilia,paranoa,2020-04-22,-40,2,0,,,,,,
brasilia,paranoa,2020-04-23,-39,3,1,,,,,,
brasilia,paranoa,2020-04-27,-35,5,0,,,,,,
brasilia,paranoa,2020-04-28,-34,2,0,,,,,,
brasilia,paranoa,2020-04-29,-33,6,0,,,,,,
brasilia,paranoa,2020-04-30,-32,2,0,,,,,,
brasilia,paranoa,2020-05-01,-31,17,0,,,,,,
brasilia,paranoa,2020-05-02,-30,22,1,,,,,,
brasilia,paranoa,2020-05-03,-29,3,0,,,,,,
brasilia,paranoa,2020-05-04,-28,12,0,,,,,,
brasilia,paranoa,2020-05-05,-27,11,0,,,,,,
brasilia,paranoa,2020-05-06,-26,3,0,,,,,,
brasilia,paranoa,2020-05-07,-25,8,0,,,,,,
brasilia,paranoa,2020-05-08,-24,12,0,,,,,,
brasilia,paranoa,2020-05-09,-23,10,0,,,,,,
brasilia,paranoa,2020-05-10,-22,20,0,,,,,,
brasilia,paranoa,2020-05-11,-21,13,0,,,,,,
brasilia,paranoa,2020-05-12,-20,14,0,,,,,,
brasilia,paranoa,2020-05-13,-19,16,0,,,,,,
brasilia,paranoa,2020-05-14,-18,15,0,,,,,,
brasilia,paranoa,2020-05-15,-17,28,1,,,,,,
brasilia,paranoa,2020-05-16,-16,10,0,,,,,,
brasilia,paranoa,2020-05-17,-15,18,0,,,,,,
brasilia,paranoa,2020-05-18,-14,22,0,,,,,,
brasilia,paranoa,2020-05-19,-13,20,0,,,,,,
brasilia,paranoa,2020-05-20,-12,53,0,,,,,,
brasilia,paranoa,2020-05-21,-11,37,1,,,,,,
brasilia,paranoa,2020-05-22,-10,33,0,,,,,,
brasilia,paranoa,2020-05-23,-9,11,0,,,,,,
brasilia,paranoa,2020-05-24,-8,10,1,,,,,,
brasilia,paranoa,2020-05-25,-7,54,0,,,,,,
brasilia,paranoa,2020-05-26,-6,22,0,,,,,,
brasilia,paranoa,2020-05-27,-5,38,1,,,,,,
brasilia,paranoa,2020-05-28,-4,38,1,,,,,,
brasilia,paranoa,2020-05-29,-3,52,0,,,,,,
brasilia,paranoa,2020-05-30,-2,57,0,,,,,,
brasilia,paranoa,2020-05-31,-1,32,1,,,,,,
brasilia,paranoa,2020-06-01,0,116,3,,,,,,
brasilia,paranoa,2020-06-02,1,79,0,,,,,,
brasilia,paranoa,2020-06-03,2,46,0,,,,,,
brasilia,paranoa,2020-06-04,3,73,1,,,,,,
brasilia,paranoa,2020-06-05,4,88,0,,,,,,
brasilia,paranoa,2020-06-06,5,36,1,,,,,,
brasilia,paranoa,2020-06-07,6,20,0,,,,,,
brasilia,paranoa,2020-06-08,7,85,0,,,,,,
brasilia,paranoa,2020-06-09,8,86,1,,,,,,
brasilia,paranoa,2020-06-10,9,167,0,,,,,,
brasilia,paranoa,2020-06-11,10,75,0,,,,,,
brasilia,paranoa,2020-06-12,11,78,0,,,,,,
brasilia,paranoa,2020-06-13,12,32,2,,,,,,
brasilia,paranoa,2020-06-14,13,32,2,,,,,,
brasilia,paranoa,2020-06-15,14,129,1,,,,,,
brasilia,paranoa,2020-06-16,15,42,0,,,,,,
brasilia,paranoa,2020-06-17,16,30,0,,,,,,
brasilia,paranoa,2020-06-18,17,49,0,,,,,,
brasilia,paranoa,2020-06-19,18,97,3,,,,,,
brasilia,paranoa,2020-06-20,19,105,0,,,,,,
brasilia,paranoa,2020-06-21,20,15,0,,,,,,
brasilia,paranoa,2020-06-22,21,46,3,,,,,,
brasilia,paranoa,2020-06-23,22,35,0,,,,,,
brasilia,paranoa,2020-06-24,23,58,0,,,,,,
brasilia,paranoa,2020-06-25,24,28,0,,,,,,
brasilia,paranoa,2020-06-26,25,25,1,,,,,,
brasilia,paranoa,2020-06-27,26,17,0,,,,,,
brasilia,paranoa,2020-06-28,27,19,0,,,,,,
brasilia,paranoa,2020-06-29,28,31,1,,,,,,
brasilia,paranoa,2020-06-30,29,30,0,,,,,,
brasilia,paranoa,2020-07-01,30,34,1,,,,,,
brasilia,paranoa,2020-07-02,31,24,0,,,,,,
brasilia,paranoa,2020-07-03,32,45,2,,,,,,
brasilia,paranoa,2020-07-04,33,26,0,,,,,,
brasilia,paranoa,2020-07-05,34,23,1,,,,,,
brasilia,paranoa,2020-07-06,35,27,1,,,,,,
brasilia,paranoa,2020-07-07,36,36,1,,,,,,
brasilia,paranoa,2020-07-08,37,33,1,,,,,,
brasilia,paranoa,2020-07-09,38,42,0,,,,,,
brasilia,paranoa,2020-07-10,39,29,1,,,,,,
brasilia,paranoa,2020-07-11,40,19,0,,,,,,
brasilia,paranoa,2020-07-12,41,24,0,,,,,,
brasilia,paranoa,2020-07-13,42,26,0,,,,,,
brasilia,paranoa,2020-07-14,43,33,1,,,,,,
brasilia,paranoa,2020-07-15,44,21,0,,,,,,
brasilia,paranoa,2020-07-16,45,16,0,,,,,,
brasilia,paranoa,2020-07-17,46,26,0,,,,,,
brasilia,paranoa,2020-07-18,47,23,2,,,,,,
brasilia,paranoa,2020-07-19,48,23,0,,,,,,
brasilia,paranoa,2020-07-20,49,36,1,,,,,,
brasilia,paranoa,2020-07-21,50,34,0,,,,,,
brasilia,paranoa,2020-07-22,51,22,1,,,,,,
brasilia,paranoa,2020-07-23,52,33,1,,,,,,
brasilia,paranoa,2020-07-24,53,24,1,,,,,,
brasilia,paranoa,2020-07-25,54,17,0,,,,,,
brasilia,paranoa,2020-07-26,55,12,1,,,,,,
brasilia,paranoa,2020-07-27,56,29,0,,,,,,
brasilia,paranoa,2020-07-28,57,28,1,,,,,,
brasilia,paranoa,2020-07-29,58,16,0,,,,,,
brasilia,paranoa,2020-07-30,59,21,0,,,,,,
brasilia,paranoa,2020-07-31,60,20,1,,,,,,
brasilia,paranoa,2020-08-01,61,23,0,,,,,,
brasilia,paranoa,2020-08-02,62,23,1,,,,,,
brasilia,paranoa,2020-08-03,63,23,0,,,,,,
brasilia,paranoa,2020-08-04,64,19,0,,,,,,
brasilia,paranoa,2020-08-05,65,20,1,,,,,,
brasilia,paranoa,2020-08-06,66,23,1,,,,,,
brasilia,paranoa,2020-08-07,67,23,0,,,,,,
brasilia,paranoa,2020-08-08,68,11,2,,,,,,
brasilia,paranoa,2020-08-09,69,19,1,,,,,,
brasilia,paranoa,2020-08-10,70,17,1,,,,,,
brasilia,paranoa,2020-08-11,71,15,0,,,,,,
brasilia,paranoa,2020-08-12,72,17,0,,,,,,
brasilia,paranoa,2020-08-13,73,21,0,,,,,,
brasilia,paranoa,2020-08-14,74,29,1,,,,,,
brasilia,paranoa,2020-08-15,75,21,0,,,,,,
brasilia,paranoa,2020-08-16,76,15,2,,,,,,
brasilia,paranoa,2020-08-17,77,20,0,,,,,,
brasilia,paranoa,2020-08-18,78,9,0,,,,,,
brasilia,paranoa,2020-08-19,79,20,0,,,,,,
brasilia,paranoa,2020-08-20,80,21,1,,,,,,
brasilia,paranoa,2020-08-21,81,23,1,,,,,,
brasilia,paranoa,2020-08-22,82,10,1,,,,,,
brasilia,paranoa,2020-08-23,83,11,0,,,,,,
brasilia,paranoa,2020-08-24,84,12,0,,,,,,
brasilia,paranoa,2020-08-25,85,12,0,,,,,,
brasilia,paranoa,2020-08-26,86,17,0,,,,,,
brasilia,paranoa,2020-08-27,87,12,1,,,,,,
brasilia,paranoa,2020-08-28,88,17,0,,,,,,
brasilia,paranoa,2020-08-29,89,5,0,,,,,,
brasilia,paranoa,2020-08-30,90,8,0,,,,,,
brasilia,paranoa,2020-08-31,91,13,0,,,,,,
brasilia,paranoa,2020-09-01,92,13,0,,,,,,
brasilia,paranoa,2020-09-02,93,7,0,,,,,,
brasilia,paranoa,2020-09-03,94,10,1,,,,,,
brasilia,paranoa,2020-09-04,95,7,0,,,,,,
brasilia,paranoa,2020-09-05,96,7,0,,,,,,
brasilia,paranoa,2020-09-06,97,4,0,,,,,,
brasilia,paranoa,2020-09-07,98,9,0,,,,,,
brasilia,paranoa,2020-09-08,99,12,0,,,,,,
brasilia,paranoa,2020-09-09,100,8,0,,,,,,
brasilia,paranoa,2020-09-10,101,16,0,,,,,,
brasilia,paranoa,2020-09-11,102,6,0,,,,,,
brasilia,paranoa,2020-09-12,103,12,0,,,,,,
brasilia,paranoa,2020-09-13,104,2,0,,,,,,
brasilia,paranoa,2020-09-14,105,10,0,,,,,,
brasilia,paranoa,2020-09-15,106,11,0,,,,,,
brasilia,paranoa,2020-09-16,107,4,0,,,,,,
brasilia,paranoa,2020-09-17,108,11,1,,,,,,
brasilia,paranoa,2020-09-18,109,4,0,,,,,,
brasilia,paranoa,2020-09-19,110,7,0,,,,,,
brasilia,paranoa,2020-09-20,111,10,0,,,,,,
brasilia,paranoa,2020-09-21,112,12,1,,,,,,
brasilia,paranoa,2020-09-22,113,6,0,,,,,,
brasilia,paranoa,2020-09-23,114,12,0,,,,,,
brasilia,paranoa,2020-09-24,115,7,0,,,,,,
brasilia,paranoa,2020-09-25,116,15,0,,,,,,
brasilia,paranoa,2020-09-26,117,10,0,,,,,,
brasilia,paranoa,2020-09-27,118,8,1,,,,,,
brasilia,paranoa,2020-09-28,119,9,0,,,,,,
brasilia,paranoa,2020-09-29,120,9,0,,,,,,
brasilia,paranoa,2020-09-30,121,6,0,,,,,,
brasilia,paranoa,2020-10-01,122,10,0,,,,,,
brasilia,paranoa,2020-10-02,123,4,0,,,,,,
brasilia,paranoa,2020-10-03,124,7,0,,,,,,
brasilia,paranoa,2020-10-04,125,3,0,,,,,,
brasilia,paranoa,2020-10-05,126,4,0,,,,,,
brasilia,paranoa,2020-10-06,127,4,0,,,,,,
brasilia,paranoa,2020-10-07,128,5,0,,,,,,
brasilia,paranoa,2020-10-08,129,3,0,,,,,,
brasilia,paranoa,2020-10-09,130,6,0,,,,,,
brasilia,paranoa,2020-10-10,131,7,1,,,,,,
brasilia,paranoa,2020-10-11,132,3,0,,,,,,
brasilia,paranoa,2020-10-12,133,4,0,,,,,,
brasilia,paranoa,2020-10-13,134,11,0,,,,,,
brasilia,paranoa,2020-10-14,135,9,0,,,,,,
brasilia,paranoa,2020-10-15,136,10,0,,,,,,
brasilia,paranoa,2020-10-16,137,3,0,,,,,,
brasilia,paranoa,2020-10-17,138,9,0,,,,,,
brasilia,paranoa,2020-10-18,139,4,0,,,,,,
brasilia,paranoa,2020-10-19,140,13,0,,,,,,
brasilia,paranoa,2020-10-20,141,11,0,,,,,,
brasilia,paranoa,2020-10-21,142,4,0,,,,,,
brasilia,paranoa,2020-10-22,143,9,0,,,,,,
brasilia,paranoa,2020-10-23,144,2,0,,,,,,
brasilia,paranoa,2020-10-25,146,1,0,,,,,,
brasilia,paranoa,2020-10-26,147,9,0,,,,,,
brasilia,paranoa,2020-10-27,148,8,0,,,,,,
brasilia,paranoa,2020-10-28,149,8,0,,,,,,
brasilia,paranoa,2020-10-29,150,4,0,,,,,,
brasilia,paranoa,2020-10-30,151,5,0,,,,,,
brasilia,paranoa,2020-10-31,152,4,0,,,,,,
brasilia,paranoa,2020-11-01,153,4,0,,,,,,
brasilia,paranoa,2020-11-02,154,2,0,,,,,,
brasilia,paranoa,2020-11-03,155,6,0,,,,,,
brasilia,paranoa,2020-11-04,156,5,0,,,,,,
brasilia,paranoa,2020-11-05,157,5,0,,,,,,
brasilia,paranoa,2020-11-06,158,5,0,,,,,,
brasilia,paranoa,2020-11-07,159,7,0,,,,,,
brasilia,paranoa,2020-11-08,160,2,0,,,,,,
brasilia,paranoa,2020-11-09,161,5,0,,,,,,
brasilia,paranoa,2020-11-10,162,6,0,,,,,,
brasilia,paranoa,2020-11-11,163,7,0,,,,,,
brasilia,paranoa,2020-11-12,164,13,0,,,,,,
brasilia,paranoa,2020-11-13,165,11,1,,,,,,
brasilia,paranoa,2020-11-14,166,3,0,,,,,,
brasilia,paranoa,2020-11-15,167,6,0,,,,,,
