country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,planaltina,2020-03-10,-153,3,0,,,,,,
brasilia,planaltina,2020-03-13,-150,1,0,,,,,,
brasilia,planaltina,2020-03-14,-149,1,0,,,,,,
brasilia,planaltina,2020-03-15,-148,1,0,,,,,,
brasilia,planaltina,2020-03-16,-147,1,0,,,,,,
brasilia,planaltina,2020-03-18,-145,2,0,,,,,,
brasilia,planaltina,2020-03-20,-143,2,0,,,,,,
brasilia,planaltina,2020-03-21,-142,1,0,,,,,,
brasilia,planaltina,2020-03-22,-141,1,0,,,,,,
brasilia,planaltina,2020-03-23,-140,2,0,,,,,,
brasilia,planaltina,2020-03-24,-139,1,0,,,,,,
brasilia,planaltina,2020-03-25,-138,1,0,,,,,,
brasilia,planaltina,2020-03-27,-136,1,0,,,,,,
brasilia,planaltina,2020-03-29,-134,1,0,,,,,,
brasilia,planaltina,2020-03-30,-133,2,0,,,,,,
brasilia,planaltina,2020-03-31,-132,2,0,,,,,,
brasilia,planaltina,2020-04-05,-127,2,0,,,,,,
brasilia,planaltina,2020-04-06,-126,2,1,,,,,,
brasilia,planaltina,2020-04-07,-125,1,0,,,,,,
brasilia,planaltina,2020-04-08,-124,2,0,,,,,,
brasilia,planaltina,2020-04-09,-123,2,0,,,,,,
brasilia,planaltina,2020-04-10,-122,1,0,,,,,,
brasilia,planaltina,2020-04-11,-121,1,0,,,,,,
brasilia,planaltina,2020-04-12,-120,3,0,,,,,,
brasilia,planaltina,2020-04-13,-119,2,0,,,,,,
brasilia,planaltina,2020-04-14,-118,1,0,,,,,,
brasilia,planaltina,2020-04-15,-117,5,0,,,,,,
brasilia,planaltina,2020-04-16,-116,2,0,,,,,,
brasilia,planaltina,2020-04-17,-115,3,0,,,,,,
brasilia,planaltina,2020-04-18,-114,5,1,,,,,,
brasilia,planaltina,2020-04-19,-113,3,1,,,,,,
brasilia,planaltina,2020-04-20,-112,5,0,,,,,,
brasilia,planaltina,2020-04-21,-111,9,0,,,,,,
brasilia,planaltina,2020-04-22,-110,3,0,,,,,,
brasilia,planaltina,2020-04-23,-109,5,0,,,,,,
brasilia,planaltina,2020-04-24,-108,5,0,,,,,,
brasilia,planaltina,2020-04-25,-107,8,0,,,,,,
brasilia,planaltina,2020-04-26,-106,5,0,,,,,,
brasilia,planaltina,2020-04-27,-105,9,0,,,,,,
brasilia,planaltina,2020-04-28,-104,12,1,,,,,,
brasilia,planaltina,2020-04-29,-103,9,0,,,,,,
brasilia,planaltina,2020-04-30,-102,13,1,,,,,,
brasilia,planaltina,2020-05-01,-101,15,0,,,,,,
brasilia,planaltina,2020-05-02,-100,10,0,,,,,,
brasilia,planaltina,2020-05-03,-99,9,0,,,,,,
brasilia,planaltina,2020-05-04,-98,10,0,,,,,,
brasilia,planaltina,2020-05-05,-97,5,1,,,,,,
brasilia,planaltina,2020-05-06,-96,10,2,,,,,,
brasilia,planaltina,2020-05-07,-95,6,0,,,,,,
brasilia,planaltina,2020-05-08,-94,15,0,,,,,,
brasilia,planaltina,2020-05-09,-93,9,0,,,,,,
brasilia,planaltina,2020-05-10,-92,15,2,,,,,,
brasilia,planaltina,2020-05-11,-91,17,1,,,,,,
brasilia,planaltina,2020-05-12,-90,12,0,,,,,,
brasilia,planaltina,2020-05-13,-89,13,1,,,,,,
brasilia,planaltina,2020-05-14,-88,15,1,,,,,,
brasilia,planaltina,2020-05-15,-87,22,1,,,,,,
brasilia,planaltina,2020-05-16,-86,11,0,,,,,,
