country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,plano_piloto,2020-03-01,-92,3,0,,,,,,
brasilia,plano_piloto,2020-03-02,-91,1,0,,,,,,
brasilia,plano_piloto,2020-03-04,-89,1,0,,,,,,
brasilia,plano_piloto,2020-03-05,-88,1,0,,,,,,
brasilia,plano_piloto,2020-03-06,-87,1,0,,,,,,
brasilia,plano_piloto,2020-03-07,-86,2,0,,,,,,
brasilia,plano_piloto,2020-03-09,-84,3,0,,,,,,
brasilia,plano_piloto,2020-03-10,-83,3,0,,,,,,
brasilia,plano_piloto,2020-03-11,-82,7,0,,,,,,
brasilia,plano_piloto,2020-03-12,-81,6,0,,,,,,
brasilia,plano_piloto,2020-03-13,-80,6,0,,,,,,
brasilia,plano_piloto,2020-03-14,-79,9,0,,,,,,
brasilia,plano_piloto,2020-03-15,-78,12,0,,,,,,
brasilia,plano_piloto,2020-03-16,-77,21,0,,,,,,
brasilia,plano_piloto,2020-03-17,-76,18,0,,,,,,
brasilia,plano_piloto,2020-03-18,-75,11,0,,,,,,
brasilia,plano_piloto,2020-03-19,-74,10,0,,,,,,
brasilia,plano_piloto,2020-03-20,-73,17,0,,,,,,
brasilia,plano_piloto,2020-03-21,-72,12,0,,,,,,
brasilia,plano_piloto,2020-03-22,-71,7,0,,,,,,
brasilia,plano_piloto,2020-03-23,-70,12,0,,,,,,
brasilia,plano_piloto,2020-03-24,-69,10,0,,,,,,
brasilia,plano_piloto,2020-03-25,-68,8,0,,,,,,
brasilia,plano_piloto,2020-03-26,-67,12,1,,,,,,
brasilia,plano_piloto,2020-03-27,-66,7,0,,,,,,
brasilia,plano_piloto,2020-03-28,-65,6,0,,,,,,
brasilia,plano_piloto,2020-03-29,-64,4,0,,,,,,
brasilia,plano_piloto,2020-03-30,-63,12,0,,,,,,
brasilia,plano_piloto,2020-03-31,-62,6,0,,,,,,
brasilia,plano_piloto,2020-04-01,-61,7,0,,,,,,
brasilia,plano_piloto,2020-04-02,-60,5,0,,,,,,
brasilia,plano_piloto,2020-04-03,-59,9,0,,,,,,
brasilia,plano_piloto,2020-04-04,-58,3,0,,,,,,
brasilia,plano_piloto,2020-04-05,-57,1,0,,,,,,
brasilia,plano_piloto,2020-04-06,-56,8,0,,,,,,
brasilia,plano_piloto,2020-04-07,-55,3,0,,,,,,
brasilia,plano_piloto,2020-04-08,-54,5,0,,,,,,
brasilia,plano_piloto,2020-04-09,-53,8,0,,,,,,
brasilia,plano_piloto,2020-04-10,-52,5,0,,,,,,
brasilia,plano_piloto,2020-04-11,-51,8,0,,,,,,
brasilia,plano_piloto,2020-04-12,-50,3,0,,,,,,
brasilia,plano_piloto,2020-04-13,-49,9,0,,,,,,
brasilia,plano_piloto,2020-04-14,-48,10,0,,,,,,
brasilia,plano_piloto,2020-04-15,-47,16,0,,,,,,
brasilia,plano_piloto,2020-04-16,-46,13,0,,,,,,
brasilia,plano_piloto,2020-04-17,-45,13,0,,,,,,
brasilia,plano_piloto,2020-04-18,-44,5,0,,,,,,
brasilia,plano_piloto,2020-04-19,-43,4,0,,,,,,
brasilia,plano_piloto,2020-04-20,-42,13,0,,,,,,
brasilia,plano_piloto,2020-04-21,-41,10,0,,,,,,
brasilia,plano_piloto,2020-04-22,-40,8,0,,,,,,
brasilia,plano_piloto,2020-04-23,-39,12,0,,,,,,
brasilia,plano_piloto,2020-04-24,-38,7,0,,,,,,
brasilia,plano_piloto,2020-04-25,-37,8,0,,,,,,
brasilia,plano_piloto,2020-04-26,-36,11,0,,,,,,
brasilia,plano_piloto,2020-04-27,-35,11,0,,,,,,
brasilia,plano_piloto,2020-04-28,-34,15,1,,,,,,
brasilia,plano_piloto,2020-04-29,-33,8,0,,,,,,
brasilia,plano_piloto,2020-04-30,-32,24,1,,,,,,
brasilia,plano_piloto,2020-05-01,-31,24,1,,,,,,
brasilia,plano_piloto,2020-05-02,-30,19,1,,,,,,
brasilia,plano_piloto,2020-05-03,-29,19,0,,,,,,
brasilia,plano_piloto,2020-05-04,-28,22,0,,,,,,
brasilia,plano_piloto,2020-05-05,-27,18,0,,,,,,
brasilia,plano_piloto,2020-05-06,-26,19,0,,,,,,
brasilia,plano_piloto,2020-05-07,-25,27,0,,,,,,
brasilia,plano_piloto,2020-05-08,-24,14,1,,,,,,
brasilia,plano_piloto,2020-05-09,-23,20,0,,,,,,
brasilia,plano_piloto,2020-05-10,-22,27,1,,,,,,
brasilia,plano_piloto,2020-05-11,-21,27,0,,,,,,
brasilia,plano_piloto,2020-05-12,-20,37,1,,,,,,
brasilia,plano_piloto,2020-05-13,-19,36,1,,,,,,
brasilia,plano_piloto,2020-05-14,-18,35,0,,,,,,
brasilia,plano_piloto,2020-05-15,-17,46,0,,,,,,
brasilia,plano_piloto,2020-05-16,-16,30,1,,,,,,
brasilia,plano_piloto,2020-05-17,-15,18,0,,,,,,
brasilia,plano_piloto,2020-05-18,-14,41,0,,,,,,
brasilia,plano_piloto,2020-05-19,-13,31,1,,,,,,
brasilia,plano_piloto,2020-05-20,-12,57,2,,,,,,
brasilia,plano_piloto,2020-05-21,-11,40,0,,,,,,
brasilia,plano_piloto,2020-05-22,-10,34,0,,,,,,
brasilia,plano_piloto,2020-05-23,-9,28,0,,,,,,
brasilia,plano_piloto,2020-05-24,-8,17,1,,,,,,
brasilia,plano_piloto,2020-05-25,-7,64,0,,,,,,
brasilia,plano_piloto,2020-05-26,-6,58,1,,,,,,
brasilia,plano_piloto,2020-05-27,-5,64,1,,,,,,
brasilia,plano_piloto,2020-05-28,-4,56,1,,,,,,
brasilia,plano_piloto,2020-05-29,-3,46,1,,,,,,
brasilia,plano_piloto,2020-05-30,-2,69,2,,,,,,
brasilia,plano_piloto,2020-05-31,-1,67,2,,,,,,
brasilia,plano_piloto,2020-06-01,0,106,2,,,,,,
brasilia,plano_piloto,2020-06-02,1,108,0,,,,,,
brasilia,plano_piloto,2020-06-03,2,101,1,,,,,,
brasilia,plano_piloto,2020-06-04,3,73,1,,,,,,
brasilia,plano_piloto,2020-06-05,4,91,2,,,,,,
brasilia,plano_piloto,2020-06-06,5,51,5,,,,,,
brasilia,plano_piloto,2020-06-07,6,36,0,,,,,,
brasilia,plano_piloto,2020-06-08,7,115,0,,,,,,
brasilia,plano_piloto,2020-06-09,8,110,1,,,,,,
brasilia,plano_piloto,2020-06-10,9,148,4,,,,,,
brasilia,plano_piloto,2020-06-11,10,64,1,,,,,,
brasilia,plano_piloto,2020-06-12,11,118,1,,,,,,
brasilia,plano_piloto,2020-06-13,12,77,1,,,,,,
brasilia,plano_piloto,2020-06-14,13,66,1,,,,,,
brasilia,plano_piloto,2020-06-15,14,151,2,,,,,,
brasilia,plano_piloto,2020-06-16,15,131,1,,,,,,
brasilia,plano_piloto,2020-06-17,16,125,0,,,,,,
brasilia,plano_piloto,2020-06-18,17,128,3,,,,,,
brasilia,plano_piloto,2020-06-19,18,132,2,,,,,,
brasilia,plano_piloto,2020-06-20,19,80,3,,,,,,
brasilia,plano_piloto,2020-06-21,20,55,0,,,,,,
brasilia,plano_piloto,2020-06-22,21,120,3,,,,,,
brasilia,plano_piloto,2020-06-23,22,158,5,,,,,,
brasilia,plano_piloto,2020-06-24,23,124,0,,,,,,
brasilia,plano_piloto,2020-06-25,24,166,4,,,,,,
brasilia,plano_piloto,2020-06-26,25,129,5,,,,,,
brasilia,plano_piloto,2020-06-27,26,75,4,,,,,,
brasilia,plano_piloto,2020-06-28,27,62,0,,,,,,
brasilia,plano_piloto,2020-06-29,28,133,1,,,,,,
brasilia,plano_piloto,2020-06-30,29,107,3,,,,,,
brasilia,plano_piloto,2020-07-01,30,124,2,,,,,,
brasilia,plano_piloto,2020-07-02,31,204,2,,,,,,
brasilia,plano_piloto,2020-07-03,32,149,3,,,,,,
brasilia,plano_piloto,2020-07-04,33,97,1,,,,,,
brasilia,plano_piloto,2020-07-05,34,73,3,,,,,,
brasilia,plano_piloto,2020-07-06,35,162,4,,,,,,
brasilia,plano_piloto,2020-07-07,36,282,5,,,,,,
brasilia,plano_piloto,2020-07-08,37,234,2,,,,,,
brasilia,plano_piloto,2020-07-09,38,190,5,,,,,,
brasilia,plano_piloto,2020-07-10,39,180,3,,,,,,
brasilia,plano_piloto,2020-07-11,40,202,3,,,,,,
brasilia,plano_piloto,2020-07-12,41,67,2,,,,,,
brasilia,plano_piloto,2020-07-13,42,150,4,,,,,,
brasilia,plano_piloto,2020-07-14,43,140,3,,,,,,
brasilia,plano_piloto,2020-07-15,44,147,3,,,,,,
brasilia,plano_piloto,2020-07-16,45,132,2,,,,,,
brasilia,plano_piloto,2020-07-17,46,181,4,,,,,,
brasilia,plano_piloto,2020-07-18,47,141,2,,,,,,
brasilia,plano_piloto,2020-07-19,48,92,4,,,,,,
brasilia,plano_piloto,2020-07-20,49,205,3,,,,,,
brasilia,plano_piloto,2020-07-21,50,182,3,,,,,,
brasilia,plano_piloto,2020-07-22,51,172,0,,,,,,
brasilia,plano_piloto,2020-07-23,52,174,4,,,,,,
brasilia,plano_piloto,2020-07-24,53,164,2,,,,,,
brasilia,plano_piloto,2020-07-25,54,137,1,,,,,,
brasilia,plano_piloto,2020-07-26,55,86,2,,,,,,
brasilia,plano_piloto,2020-07-27,56,196,5,,,,,,
brasilia,plano_piloto,2020-07-28,57,207,6,,,,,,
brasilia,plano_piloto,2020-07-29,58,168,2,,,,,,
brasilia,plano_piloto,2020-07-30,59,183,4,,,,,,
brasilia,plano_piloto,2020-07-31,60,177,1,,,,,,
brasilia,plano_piloto,2020-08-01,61,125,3,,,,,,
brasilia,plano_piloto,2020-08-02,62,110,1,,,,,,
brasilia,plano_piloto,2020-08-03,63,179,3,,,,,,
brasilia,plano_piloto,2020-08-04,64,155,5,,,,,,
brasilia,plano_piloto,2020-08-05,65,179,4,,,,,,
brasilia,plano_piloto,2020-08-06,66,179,1,,,,,,
brasilia,plano_piloto,2020-08-07,67,189,3,,,,,,
brasilia,plano_piloto,2020-08-08,68,123,1,,,,,,
brasilia,plano_piloto,2020-08-09,69,70,0,,,,,,
brasilia,plano_piloto,2020-08-10,70,180,0,,,,,,
brasilia,plano_piloto,2020-08-11,71,165,1,,,,,,
brasilia,plano_piloto,2020-08-12,72,210,0,,,,,,
brasilia,plano_piloto,2020-08-13,73,172,2,,,,,,
brasilia,plano_piloto,2020-08-14,74,156,2,,,,,,
brasilia,plano_piloto,2020-08-15,75,125,2,,,,,,
brasilia,plano_piloto,2020-08-16,76,108,3,,,,,,
brasilia,plano_piloto,2020-08-17,77,134,2,,,,,,
brasilia,plano_piloto,2020-08-18,78,165,2,,,,,,
brasilia,plano_piloto,2020-08-19,79,142,0,,,,,,
brasilia,plano_piloto,2020-08-20,80,155,4,,,,,,
brasilia,plano_piloto,2020-08-21,81,145,1,,,,,,
brasilia,plano_piloto,2020-08-22,82,82,2,,,,,,
brasilia,plano_piloto,2020-08-23,83,69,0,,,,,,
brasilia,plano_piloto,2020-08-24,84,122,2,,,,,,
brasilia,plano_piloto,2020-08-25,85,115,2,,,,,,
brasilia,plano_piloto,2020-08-26,86,111,2,,,,,,
brasilia,plano_piloto,2020-08-27,87,96,1,,,,,,
brasilia,plano_piloto,2020-08-28,88,104,3,,,,,,
brasilia,plano_piloto,2020-08-29,89,73,0,,,,,,
brasilia,plano_piloto,2020-08-30,90,48,0,,,,,,
brasilia,plano_piloto,2020-08-31,91,94,1,,,,,,
brasilia,plano_piloto,2020-09-01,92,101,2,,,,,,
brasilia,plano_piloto,2020-09-02,93,73,2,,,,,,
brasilia,plano_piloto,2020-09-03,94,75,0,,,,,,
brasilia,plano_piloto,2020-09-04,95,85,0,,,,,,
brasilia,plano_piloto,2020-09-05,96,69,0,,,,,,
brasilia,plano_piloto,2020-09-06,97,31,0,,,,,,
brasilia,plano_piloto,2020-09-07,98,61,0,,,,,,
brasilia,plano_piloto,2020-09-08,99,93,0,,,,,,
brasilia,plano_piloto,2020-09-09,100,88,1,,,,,,
brasilia,plano_piloto,2020-09-10,101,92,1,,,,,,
brasilia,plano_piloto,2020-09-11,102,89,3,,,,,,
brasilia,plano_piloto,2020-09-12,103,55,0,,,,,,
brasilia,plano_piloto,2020-09-13,104,33,0,,,,,,
brasilia,plano_piloto,2020-09-14,105,93,1,,,,,,
brasilia,plano_piloto,2020-09-15,106,78,0,,,,,,
brasilia,plano_piloto,2020-09-16,107,64,0,,,,,,
brasilia,plano_piloto,2020-09-17,108,82,0,,,,,,
