country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,por_do_sol,2020-03-10,,1,0,,,,,,
brasilia,por_do_sol,2020-03-25,,1,0,,,,,,
brasilia,por_do_sol,2020-03-29,,1,0,,,,,,
brasilia,por_do_sol,2020-04-07,,1,1,,,,,,
brasilia,por_do_sol,2020-04-08,,1,0,,,,,,
brasilia,por_do_sol,2020-04-14,,1,0,,,,,,
brasilia,por_do_sol,2020-04-20,,2,0,,,,,,
brasilia,por_do_sol,2020-04-23,,2,0,,,,,,
brasilia,por_do_sol,2020-04-25,,1,1,,,,,,
brasilia,por_do_sol,2020-04-27,,1,0,,,,,,
brasilia,por_do_sol,2020-05-01,,4,0,,,,,,
brasilia,por_do_sol,2020-05-02,,2,0,,,,,,
brasilia,por_do_sol,2020-05-03,,1,0,,,,,,
brasilia,por_do_sol,2020-05-05,,1,0,,,,,,
brasilia,por_do_sol,2020-05-06,,2,0,,,,,,
brasilia,por_do_sol,2020-05-07,,2,0,,,,,,
brasilia,por_do_sol,2020-05-08,,5,1,,,,,,
brasilia,por_do_sol,2020-05-09,,2,0,,,,,,
brasilia,por_do_sol,2020-05-10,,3,0,,,,,,
brasilia,por_do_sol,2020-05-11,,2,0,,,,,,
brasilia,por_do_sol,2020-05-12,,2,0,,,,,,
brasilia,por_do_sol,2020-05-13,,3,1,,,,,,
brasilia,por_do_sol,2020-05-14,,4,0,,,,,,
brasilia,por_do_sol,2020-05-15,,4,0,,,,,,
brasilia,por_do_sol,2020-05-16,,3,1,,,,,,
brasilia,por_do_sol,2020-05-17,,2,0,,,,,,
brasilia,por_do_sol,2020-05-18,,5,1,,,,,,
brasilia,por_do_sol,2020-05-19,,2,0,,,,,,
brasilia,por_do_sol,2020-05-20,,4,0,,,,,,
brasilia,por_do_sol,2020-05-21,,5,0,,,,,,
brasilia,por_do_sol,2020-05-22,,6,0,,,,,,
brasilia,por_do_sol,2020-05-23,,5,0,,,,,,
brasilia,por_do_sol,2020-05-24,,1,0,,,,,,
brasilia,por_do_sol,2020-05-25,,11,2,,,,,,
brasilia,por_do_sol,2020-05-26,,13,0,,,,,,
brasilia,por_do_sol,2020-05-27,,4,1,,,,,,
brasilia,por_do_sol,2020-05-28,,8,0,,,,,,
brasilia,por_do_sol,2020-05-29,,4,0,,,,,,
brasilia,por_do_sol,2020-05-30,,5,1,,,,,,
brasilia,por_do_sol,2020-05-31,,1,0,,,,,,
brasilia,por_do_sol,2020-06-01,,8,0,,,,,,
brasilia,por_do_sol,2020-06-02,,10,1,,,,,,
brasilia,por_do_sol,2020-06-03,,7,0,,,,,,
brasilia,por_do_sol,2020-06-04,,19,1,,,,,,
brasilia,por_do_sol,2020-06-05,,13,1,,,,,,
