country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,recanto_das_emas,2020-03-11,-96,1,0,,,,,,
brasilia,recanto_das_emas,2020-03-13,-94,1,0,,,,,,
brasilia,recanto_das_emas,2020-03-18,-89,1,0,,,,,,
brasilia,recanto_das_emas,2020-03-20,-87,1,0,,,,,,
brasilia,recanto_das_emas,2020-03-23,-84,1,0,,,,,,
brasilia,recanto_das_emas,2020-03-28,-79,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-01,-75,1,0,,,,,,
brasilia,recanto_das_emas,2020-04-03,-73,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-04,-72,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-06,-70,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-07,-69,5,0,,,,,,
brasilia,recanto_das_emas,2020-04-09,-67,3,0,,,,,,
brasilia,recanto_das_emas,2020-04-10,-66,3,1,,,,,,
brasilia,recanto_das_emas,2020-04-11,-65,4,0,,,,,,
brasilia,recanto_das_emas,2020-04-12,-64,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-13,-63,3,0,,,,,,
brasilia,recanto_das_emas,2020-04-14,-62,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-15,-61,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-16,-60,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-17,-59,1,0,,,,,,
brasilia,recanto_das_emas,2020-04-19,-57,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-20,-56,6,0,,,,,,
brasilia,recanto_das_emas,2020-04-21,-55,5,0,,,,,,
brasilia,recanto_das_emas,2020-04-22,-54,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-23,-53,3,0,,,,,,
brasilia,recanto_das_emas,2020-04-24,-52,3,0,,,,,,
brasilia,recanto_das_emas,2020-04-25,-51,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-26,-50,2,0,,,,,,
brasilia,recanto_das_emas,2020-04-27,-49,6,0,,,,,,
brasilia,recanto_das_emas,2020-04-28,-48,6,1,,,,,,
brasilia,recanto_das_emas,2020-04-29,-47,1,0,,,,,,
brasilia,recanto_das_emas,2020-04-30,-46,3,0,,,,,,
brasilia,recanto_das_emas,2020-05-01,-45,4,0,,,,,,
brasilia,recanto_das_emas,2020-05-02,-44,4,0,,,,,,
brasilia,recanto_das_emas,2020-05-03,-43,5,0,,,,,,
brasilia,recanto_das_emas,2020-05-04,-42,5,0,,,,,,
brasilia,recanto_das_emas,2020-05-05,-41,6,0,,,,,,
brasilia,recanto_das_emas,2020-05-06,-40,7,4,,,,,,
brasilia,recanto_das_emas,2020-05-07,-39,10,0,,,,,,
brasilia,recanto_das_emas,2020-05-08,-38,11,1,,,,,,
brasilia,recanto_das_emas,2020-05-09,-37,4,1,,,,,,
brasilia,recanto_das_emas,2020-05-10,-36,13,2,,,,,,
brasilia,recanto_das_emas,2020-05-11,-35,9,0,,,,,,
brasilia,recanto_das_emas,2020-05-12,-34,8,1,,,,,,
brasilia,recanto_das_emas,2020-05-13,-33,14,0,,,,,,
brasilia,recanto_das_emas,2020-05-14,-32,10,1,,,,,,
brasilia,recanto_das_emas,2020-05-15,-31,20,1,,,,,,
brasilia,recanto_das_emas,2020-05-16,-30,13,1,,,,,,
brasilia,recanto_das_emas,2020-05-17,-29,12,1,,,,,,
brasilia,recanto_das_emas,2020-05-18,-28,11,1,,,,,,
brasilia,recanto_das_emas,2020-05-19,-27,14,2,,,,,,
brasilia,recanto_das_emas,2020-05-20,-26,33,0,,,,,,
brasilia,recanto_das_emas,2020-05-21,-25,17,1,,,,,,
brasilia,recanto_das_emas,2020-05-22,-24,28,0,,,,,,
brasilia,recanto_das_emas,2020-05-23,-23,15,2,,,,,,
brasilia,recanto_das_emas,2020-05-24,-22,13,0,,,,,,
brasilia,recanto_das_emas,2020-05-25,-21,44,2,,,,,,
brasilia,recanto_das_emas,2020-05-26,-20,18,0,,,,,,
brasilia,recanto_das_emas,2020-05-27,-19,22,1,,,,,,
brasilia,recanto_das_emas,2020-05-28,-18,43,1,,,,,,
brasilia,recanto_das_emas,2020-05-29,-17,26,0,,,,,,
brasilia,recanto_das_emas,2020-05-30,-16,24,0,,,,,,
brasilia,recanto_das_emas,2020-05-31,-15,14,0,,,,,,
brasilia,recanto_das_emas,2020-06-01,-14,68,1,,,,,,
brasilia,recanto_das_emas,2020-06-02,-13,73,1,,,,,,
brasilia,recanto_das_emas,2020-06-03,-12,54,3,,,,,,
brasilia,recanto_das_emas,2020-06-04,-11,35,1,,,,,,
brasilia,recanto_das_emas,2020-06-05,-10,47,1,,,,,,
brasilia,recanto_das_emas,2020-06-06,-9,28,3,,,,,,
brasilia,recanto_das_emas,2020-06-07,-8,26,0,,,,,,
brasilia,recanto_das_emas,2020-06-08,-7,72,1,,,,,,
brasilia,recanto_das_emas,2020-06-09,-6,43,1,,,,,,
brasilia,recanto_das_emas,2020-06-10,-5,71,2,,,,,,
brasilia,recanto_das_emas,2020-06-11,-4,39,1,,,,,,
brasilia,recanto_das_emas,2020-06-12,-3,54,0,,,,,,
brasilia,recanto_das_emas,2020-06-13,-2,24,1,,,,,,
brasilia,recanto_das_emas,2020-06-14,-1,22,2,,,,,,
brasilia,recanto_das_emas,2020-06-15,0,130,2,,,,,,
brasilia,recanto_das_emas,2020-06-16,1,48,1,,,,,,
brasilia,recanto_das_emas,2020-06-17,2,61,1,,,,,,
brasilia,recanto_das_emas,2020-06-18,3,76,2,,,,,,
brasilia,recanto_das_emas,2020-06-19,4,87,1,,,,,,
brasilia,recanto_das_emas,2020-06-20,5,64,5,,,,,,
brasilia,recanto_das_emas,2020-06-21,6,23,0,,,,,,
brasilia,recanto_das_emas,2020-06-22,7,69,0,,,,,,
brasilia,recanto_das_emas,2020-06-23,8,87,1,,,,,,
brasilia,recanto_das_emas,2020-06-24,9,36,1,,,,,,
brasilia,recanto_das_emas,2020-06-25,10,91,2,,,,,,
brasilia,recanto_das_emas,2020-06-26,11,63,2,,,,,,
brasilia,recanto_das_emas,2020-06-27,12,26,0,,,,,,
brasilia,recanto_das_emas,2020-06-28,13,35,1,,,,,,
brasilia,recanto_das_emas,2020-06-29,14,49,2,,,,,,
brasilia,recanto_das_emas,2020-06-30,15,64,1,,,,,,
brasilia,recanto_das_emas,2020-07-01,16,70,1,,,,,,
brasilia,recanto_das_emas,2020-07-02,17,57,3,,,,,,
brasilia,recanto_das_emas,2020-07-03,18,40,4,,,,,,
brasilia,recanto_das_emas,2020-07-04,19,25,1,,,,,,
brasilia,recanto_das_emas,2020-07-05,20,27,1,,,,,,
brasilia,recanto_das_emas,2020-07-06,21,46,1,,,,,,
brasilia,recanto_das_emas,2020-07-07,22,50,1,,,,,,
brasilia,recanto_das_emas,2020-07-08,23,39,2,,,,,,
brasilia,recanto_das_emas,2020-07-09,24,55,5,,,,,,
brasilia,recanto_das_emas,2020-07-10,25,79,1,,,,,,
brasilia,recanto_das_emas,2020-07-11,26,29,2,,,,,,
brasilia,recanto_das_emas,2020-07-12,27,21,1,,,,,,
brasilia,recanto_das_emas,2020-07-13,28,43,1,,,,,,
brasilia,recanto_das_emas,2020-07-14,29,40,2,,,,,,
brasilia,recanto_das_emas,2020-07-15,30,50,1,,,,,,
brasilia,recanto_das_emas,2020-07-16,31,46,1,,,,,,
brasilia,recanto_das_emas,2020-07-17,32,47,0,,,,,,
brasilia,recanto_das_emas,2020-07-18,33,33,2,,,,,,
brasilia,recanto_das_emas,2020-07-19,34,29,0,,,,,,
brasilia,recanto_das_emas,2020-07-20,35,64,2,,,,,,
brasilia,recanto_das_emas,2020-07-21,36,54,0,,,,,,
brasilia,recanto_das_emas,2020-07-22,37,50,1,,,,,,
brasilia,recanto_das_emas,2020-07-23,38,50,0,,,,,,
brasilia,recanto_das_emas,2020-07-24,39,59,3,,,,,,
brasilia,recanto_das_emas,2020-07-25,40,38,1,,,,,,
brasilia,recanto_das_emas,2020-07-26,41,20,2,,,,,,
brasilia,recanto_das_emas,2020-07-27,42,49,2,,,,,,
brasilia,recanto_das_emas,2020-07-28,43,47,2,,,,,,
brasilia,recanto_das_emas,2020-07-29,44,35,1,,,,,,
brasilia,recanto_das_emas,2020-07-30,45,50,0,,,,,,
brasilia,recanto_das_emas,2020-07-31,46,44,2,,,,,,
brasilia,recanto_das_emas,2020-08-01,47,44,2,,,,,,
brasilia,recanto_das_emas,2020-08-02,48,27,2,,,,,,
brasilia,recanto_das_emas,2020-08-03,49,53,0,,,,,,
brasilia,recanto_das_emas,2020-08-04,50,36,1,,,,,,
brasilia,recanto_das_emas,2020-08-05,51,50,1,,,,,,
brasilia,recanto_das_emas,2020-08-06,52,45,1,,,,,,
brasilia,recanto_das_emas,2020-08-07,53,47,0,,,,,,
brasilia,recanto_das_emas,2020-08-08,54,33,1,,,,,,
brasilia,recanto_das_emas,2020-08-09,55,19,0,,,,,,
brasilia,recanto_das_emas,2020-08-10,56,60,0,,,,,,
brasilia,recanto_das_emas,2020-08-11,57,50,0,,,,,,
brasilia,recanto_das_emas,2020-08-12,58,52,1,,,,,,
brasilia,recanto_das_emas,2020-08-13,59,43,0,,,,,,
brasilia,recanto_das_emas,2020-08-14,60,61,2,,,,,,
brasilia,recanto_das_emas,2020-08-15,61,34,0,,,,,,
brasilia,recanto_das_emas,2020-08-16,62,25,1,,,,,,
brasilia,recanto_das_emas,2020-08-17,63,45,2,,,,,,
brasilia,recanto_das_emas,2020-08-18,64,54,1,,,,,,
brasilia,recanto_das_emas,2020-08-19,65,50,1,,,,,,
brasilia,recanto_das_emas,2020-08-20,66,64,1,,,,,,
brasilia,recanto_das_emas,2020-08-21,67,46,1,,,,,,
brasilia,recanto_das_emas,2020-08-22,68,28,0,,,,,,
brasilia,recanto_das_emas,2020-08-23,69,17,0,,,,,,
brasilia,recanto_das_emas,2020-08-24,70,52,3,,,,,,
brasilia,recanto_das_emas,2020-08-25,71,43,0,,,,,,
brasilia,recanto_das_emas,2020-08-26,72,47,0,,,,,,
brasilia,recanto_das_emas,2020-08-27,73,53,0,,,,,,
brasilia,recanto_das_emas,2020-08-28,74,29,1,,,,,,
