country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,riacho_fundo,2020-03-07,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-10,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-13,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-14,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-16,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-17,,2,0,,,,,,
brasilia,riacho_fundo,2020-03-27,,1,0,,,,,,
brasilia,riacho_fundo,2020-03-31,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-01,,2,1,,,,,,
brasilia,riacho_fundo,2020-04-04,,1,1,,,,,,
brasilia,riacho_fundo,2020-04-06,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-08,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-10,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-11,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-12,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-13,,2,1,,,,,,
brasilia,riacho_fundo,2020-04-15,,3,0,,,,,,
brasilia,riacho_fundo,2020-04-16,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-17,,4,0,,,,,,
brasilia,riacho_fundo,2020-04-18,,2,0,,,,,,
brasilia,riacho_fundo,2020-04-19,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-20,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-21,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-22,,3,0,,,,,,
brasilia,riacho_fundo,2020-04-23,,2,0,,,,,,
brasilia,riacho_fundo,2020-04-24,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-26,,3,0,,,,,,
brasilia,riacho_fundo,2020-04-27,,8,0,,,,,,
brasilia,riacho_fundo,2020-04-28,,1,0,,,,,,
brasilia,riacho_fundo,2020-04-29,,3,0,,,,,,
brasilia,riacho_fundo,2020-04-30,,4,0,,,,,,
brasilia,riacho_fundo,2020-05-01,,5,0,,,,,,
brasilia,riacho_fundo,2020-05-02,,3,0,,,,,,
brasilia,riacho_fundo,2020-05-03,,5,0,,,,,,
brasilia,riacho_fundo,2020-05-04,,4,0,,,,,,
brasilia,riacho_fundo,2020-05-05,,5,0,,,,,,
brasilia,riacho_fundo,2020-05-06,,6,0,,,,,,
brasilia,riacho_fundo,2020-05-07,,4,1,,,,,,
brasilia,riacho_fundo,2020-05-08,,4,0,,,,,,
brasilia,riacho_fundo,2020-05-09,,3,0,,,,,,
brasilia,riacho_fundo,2020-05-10,,9,0,,,,,,
brasilia,riacho_fundo,2020-05-11,,8,0,,,,,,
brasilia,riacho_fundo,2020-05-12,,6,0,,,,,,
brasilia,riacho_fundo,2020-05-13,,6,0,,,,,,
brasilia,riacho_fundo,2020-05-14,,4,0,,,,,,
brasilia,riacho_fundo,2020-05-15,,10,0,,,,,,
brasilia,riacho_fundo,2020-05-16,,2,0,,,,,,
brasilia,riacho_fundo,2020-05-17,,5,0,,,,,,
brasilia,riacho_fundo,2020-05-18,,10,0,,,,,,
brasilia,riacho_fundo,2020-05-19,,11,0,,,,,,
brasilia,riacho_fundo,2020-05-20,,19,1,,,,,,
brasilia,riacho_fundo,2020-05-21,,10,1,,,,,,
brasilia,riacho_fundo,2020-05-22,,14,0,,,,,,
brasilia,riacho_fundo,2020-05-23,,9,1,,,,,,
brasilia,riacho_fundo,2020-05-24,,8,1,,,,,,
brasilia,riacho_fundo,2020-05-25,,27,0,,,,,,
brasilia,riacho_fundo,2020-05-26,,26,0,,,,,,
brasilia,riacho_fundo,2020-05-27,,18,1,,,,,,
brasilia,riacho_fundo,2020-05-28,,46,0,,,,,,
brasilia,riacho_fundo,2020-05-29,,33,0,,,,,,
brasilia,riacho_fundo,2020-05-30,,21,0,,,,,,
brasilia,riacho_fundo,2020-05-31,,24,1,,,,,,
brasilia,riacho_fundo,2020-06-01,,77,0,,,,,,
brasilia,riacho_fundo,2020-06-02,,32,1,,,,,,
brasilia,riacho_fundo,2020-06-03,,49,0,,,,,,
brasilia,riacho_fundo,2020-06-04,,34,2,,,,,,
brasilia,riacho_fundo,2020-06-05,,47,0,,,,,,
brasilia,riacho_fundo,2020-06-06,,15,0,,,,,,
brasilia,riacho_fundo,2020-06-07,,8,0,,,,,,
brasilia,riacho_fundo,2020-06-08,,30,0,,,,,,
brasilia,riacho_fundo,2020-06-09,,33,1,,,,,,
brasilia,riacho_fundo,2020-06-10,,55,0,,,,,,
brasilia,riacho_fundo,2020-06-11,,13,0,,,,,,
brasilia,riacho_fundo,2020-06-12,,43,1,,,,,,
brasilia,riacho_fundo,2020-06-13,,10,1,,,,,,
brasilia,riacho_fundo,2020-06-14,,12,0,,,,,,
brasilia,riacho_fundo,2020-06-15,,54,1,,,,,,
brasilia,riacho_fundo,2020-06-16,,29,0,,,,,,
brasilia,riacho_fundo,2020-06-17,,27,1,,,,,,
brasilia,riacho_fundo,2020-06-18,,24,0,,,,,,
brasilia,riacho_fundo,2020-06-19,,24,0,,,,,,
brasilia,riacho_fundo,2020-06-20,,19,0,,,,,,
brasilia,riacho_fundo,2020-06-21,,13,0,,,,,,
brasilia,riacho_fundo,2020-06-22,,25,0,,,,,,
brasilia,riacho_fundo,2020-06-23,,20,1,,,,,,
brasilia,riacho_fundo,2020-06-24,,17,2,,,,,,
brasilia,riacho_fundo,2020-06-25,,17,0,,,,,,
brasilia,riacho_fundo,2020-06-26,,19,1,,,,,,
brasilia,riacho_fundo,2020-06-27,,20,0,,,,,,
