country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,riacho_fundo_ii,2020-03-25,-77,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-03-30,-72,3,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-01,-70,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-06,-65,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-08,-63,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-12,-59,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-16,-55,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-19,-52,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-22,-49,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-24,-47,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-26,-45,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-27,-44,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-28,-43,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-29,-42,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-04-30,-41,2,1,,,,,,
brasilia,riacho_fundo_ii,2020-05-01,-40,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-03,-38,3,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-04,-37,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-05,-36,8,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-06,-35,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-07,-34,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-08,-33,4,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-10,-31,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-11,-30,5,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-12,-29,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-13,-28,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-14,-27,2,1,,,,,,
brasilia,riacho_fundo_ii,2020-05-15,-26,7,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-16,-25,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-17,-24,3,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-18,-23,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-19,-22,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-20,-21,5,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-21,-20,2,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-22,-19,12,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-23,-18,6,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-24,-17,1,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-25,-16,12,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-26,-15,6,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-27,-14,7,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-28,-13,12,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-29,-12,13,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-30,-11,6,0,,,,,,
brasilia,riacho_fundo_ii,2020-05-31,-10,5,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-01,-9,33,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-02,-8,25,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-03,-7,22,1,,,,,,
brasilia,riacho_fundo_ii,2020-06-04,-6,19,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-05,-5,23,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-06,-4,16,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-07,-3,11,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-08,-2,20,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-09,-1,27,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-10,0,122,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-11,1,20,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-12,2,75,1,,,,,,
brasilia,riacho_fundo_ii,2020-06-13,3,10,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-14,4,13,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-15,5,51,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-16,6,50,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-17,7,36,1,,,,,,
brasilia,riacho_fundo_ii,2020-06-18,8,31,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-19,9,32,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-20,10,24,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-21,11,13,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-22,12,24,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-23,13,26,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-24,14,17,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-25,15,20,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-26,16,36,1,,,,,,
brasilia,riacho_fundo_ii,2020-06-27,17,8,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-28,18,23,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-29,19,18,0,,,,,,
brasilia,riacho_fundo_ii,2020-06-30,20,21,3,,,,,,
brasilia,riacho_fundo_ii,2020-07-01,21,30,2,,,,,,
brasilia,riacho_fundo_ii,2020-07-02,22,19,0,,,,,,
brasilia,riacho_fundo_ii,2020-07-03,23,20,0,,,,,,
brasilia,riacho_fundo_ii,2020-07-04,24,15,0,,,,,,
brasilia,riacho_fundo_ii,2020-07-05,25,13,2,,,,,,
brasilia,riacho_fundo_ii,2020-07-06,26,22,0,,,,,,
