country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,samambaia,2020-03-01,-89,3,0,,,,,,
brasilia,samambaia,2020-03-02,-88,1,0,,,,,,
brasilia,samambaia,2020-03-06,-84,1,0,,,,,,
brasilia,samambaia,2020-03-08,-82,1,0,,,,,,
brasilia,samambaia,2020-03-10,-80,2,0,,,,,,
brasilia,samambaia,2020-03-11,-79,1,0,,,,,,
brasilia,samambaia,2020-03-14,-76,1,0,,,,,,
brasilia,samambaia,2020-03-15,-75,2,0,,,,,,
brasilia,samambaia,2020-03-16,-74,2,0,,,,,,
brasilia,samambaia,2020-03-17,-73,1,0,,,,,,
brasilia,samambaia,2020-03-18,-72,3,0,,,,,,
brasilia,samambaia,2020-03-19,-71,1,0,,,,,,
brasilia,samambaia,2020-03-20,-70,4,0,,,,,,
brasilia,samambaia,2020-03-21,-69,1,0,,,,,,
brasilia,samambaia,2020-03-22,-68,4,0,,,,,,
brasilia,samambaia,2020-03-23,-67,2,0,,,,,,
brasilia,samambaia,2020-03-24,-66,3,1,,,,,,
brasilia,samambaia,2020-03-25,-65,2,0,,,,,,
brasilia,samambaia,2020-03-27,-63,1,0,,,,,,
brasilia,samambaia,2020-03-28,-62,1,0,,,,,,
brasilia,samambaia,2020-03-29,-61,2,0,,,,,,
brasilia,samambaia,2020-03-31,-59,4,0,,,,,,
brasilia,samambaia,2020-04-01,-58,4,0,,,,,,
brasilia,samambaia,2020-04-02,-57,2,0,,,,,,
brasilia,samambaia,2020-04-03,-56,1,0,,,,,,
brasilia,samambaia,2020-04-04,-55,3,0,,,,,,
brasilia,samambaia,2020-04-05,-54,2,0,,,,,,
brasilia,samambaia,2020-04-06,-53,2,0,,,,,,
brasilia,samambaia,2020-04-08,-51,3,0,,,,,,
brasilia,samambaia,2020-04-09,-50,5,0,,,,,,
brasilia,samambaia,2020-04-10,-49,6,0,,,,,,
brasilia,samambaia,2020-04-12,-47,1,0,,,,,,
brasilia,samambaia,2020-04-13,-46,4,0,,,,,,
brasilia,samambaia,2020-04-14,-45,3,1,,,,,,
brasilia,samambaia,2020-04-15,-44,7,0,,,,,,
brasilia,samambaia,2020-04-17,-42,2,0,,,,,,
brasilia,samambaia,2020-04-18,-41,9,1,,,,,,
brasilia,samambaia,2020-04-19,-40,4,1,,,,,,
brasilia,samambaia,2020-04-20,-39,6,1,,,,,,
brasilia,samambaia,2020-04-21,-38,4,0,,,,,,
brasilia,samambaia,2020-04-22,-37,10,1,,,,,,
brasilia,samambaia,2020-04-23,-36,10,2,,,,,,
brasilia,samambaia,2020-04-24,-35,6,0,,,,,,
brasilia,samambaia,2020-04-25,-34,8,0,,,,,,
brasilia,samambaia,2020-04-26,-33,6,0,,,,,,
brasilia,samambaia,2020-04-27,-32,8,0,,,,,,
brasilia,samambaia,2020-04-28,-31,5,1,,,,,,
brasilia,samambaia,2020-04-29,-30,13,1,,,,,,
brasilia,samambaia,2020-04-30,-29,10,0,,,,,,
brasilia,samambaia,2020-05-01,-28,21,1,,,,,,
