country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,santa_maria,2020-03-09,-679,1,0,,,,,,
brasilia,santa_maria,2020-03-12,-676,1,0,,,,,,
brasilia,santa_maria,2020-03-14,-674,1,0,,,,,,
brasilia,santa_maria,2020-03-16,-672,1,0,,,,,,
brasilia,santa_maria,2020-03-18,-670,1,0,,,,,,
brasilia,santa_maria,2020-03-19,-669,1,0,,,,,,
brasilia,santa_maria,2020-03-20,-668,2,0,,,,,,
brasilia,santa_maria,2020-03-21,-667,1,0,,,,,,
brasilia,santa_maria,2020-03-23,-665,1,1,,,,,,
brasilia,santa_maria,2020-03-24,-664,3,1,,,,,,
brasilia,santa_maria,2020-03-25,-663,2,0,,,,,,
brasilia,santa_maria,2020-03-27,-661,1,0,,,,,,
brasilia,santa_maria,2020-03-29,-659,1,0,,,,,,
brasilia,santa_maria,2020-03-30,-658,1,0,,,,,,
brasilia,santa_maria,2020-03-31,-657,1,0,,,,,,
brasilia,santa_maria,2020-04-01,-656,4,0,,,,,,
brasilia,santa_maria,2020-04-02,-655,4,0,,,,,,
brasilia,santa_maria,2020-04-03,-654,3,0,,,,,,
brasilia,santa_maria,2020-04-04,-653,2,0,,,,,,
brasilia,santa_maria,2020-04-06,-651,1,0,,,,,,
brasilia,santa_maria,2020-04-07,-650,3,0,,,,,,
brasilia,santa_maria,2020-04-08,-649,1,0,,,,,,
brasilia,santa_maria,2020-04-10,-647,2,0,,,,,,
brasilia,santa_maria,2020-04-11,-646,1,0,,,,,,
brasilia,santa_maria,2020-04-12,-645,2,0,,,,,,
brasilia,santa_maria,2020-04-13,-644,5,0,,,,,,
brasilia,santa_maria,2020-04-14,-643,2,0,,,,,,
brasilia,santa_maria,2020-04-15,-642,7,0,,,,,,
brasilia,santa_maria,2020-04-16,-641,2,0,,,,,,
brasilia,santa_maria,2020-04-17,-640,2,0,,,,,,
brasilia,santa_maria,2020-04-18,-639,3,0,,,,,,
brasilia,santa_maria,2020-04-19,-638,1,0,,,,,,
brasilia,santa_maria,2020-04-20,-637,7,0,,,,,,
brasilia,santa_maria,2020-04-21,-636,4,0,,,,,,
brasilia,santa_maria,2020-04-22,-635,5,1,,,,,,
brasilia,santa_maria,2020-04-23,-634,4,0,,,,,,
brasilia,santa_maria,2020-04-24,-633,4,0,,,,,,
brasilia,santa_maria,2020-04-25,-632,6,0,,,,,,
brasilia,santa_maria,2020-04-26,-631,4,0,,,,,,
brasilia,santa_maria,2020-04-27,-630,3,0,,,,,,
