country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sao_sebastiao,2020-02-29,-102,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-05,-97,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-09,-93,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-10,-92,2,0,,,,,,
brasilia,sao_sebastiao,2020-03-12,-90,2,0,,,,,,
brasilia,sao_sebastiao,2020-03-15,-87,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-16,-86,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-17,-85,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-18,-84,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-22,-80,1,0,,,,,,
brasilia,sao_sebastiao,2020-03-24,-78,2,0,,,,,,
brasilia,sao_sebastiao,2020-03-29,-73,1,1,,,,,,
brasilia,sao_sebastiao,2020-03-30,-72,2,0,,,,,,
brasilia,sao_sebastiao,2020-03-31,-71,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-01,-70,1,0,,,,,,
brasilia,sao_sebastiao,2020-04-02,-69,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-04,-67,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-05,-66,1,0,,,,,,
brasilia,sao_sebastiao,2020-04-06,-65,1,0,,,,,,
brasilia,sao_sebastiao,2020-04-07,-64,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-08,-63,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-09,-62,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-10,-61,4,0,,,,,,
brasilia,sao_sebastiao,2020-04-11,-60,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-12,-59,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-13,-58,4,0,,,,,,
brasilia,sao_sebastiao,2020-04-14,-57,1,1,,,,,,
brasilia,sao_sebastiao,2020-04-15,-56,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-16,-55,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-17,-54,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-18,-53,4,0,,,,,,
brasilia,sao_sebastiao,2020-04-19,-52,7,0,,,,,,
brasilia,sao_sebastiao,2020-04-20,-51,4,0,,,,,,
brasilia,sao_sebastiao,2020-04-21,-50,1,0,,,,,,
brasilia,sao_sebastiao,2020-04-22,-49,6,0,,,,,,
brasilia,sao_sebastiao,2020-04-23,-48,4,0,,,,,,
brasilia,sao_sebastiao,2020-04-24,-47,7,0,,,,,,
brasilia,sao_sebastiao,2020-04-25,-46,3,0,,,,,,
brasilia,sao_sebastiao,2020-04-26,-45,7,0,,,,,,
brasilia,sao_sebastiao,2020-04-27,-44,1,0,,,,,,
brasilia,sao_sebastiao,2020-04-28,-43,6,0,,,,,,
brasilia,sao_sebastiao,2020-04-29,-42,2,0,,,,,,
brasilia,sao_sebastiao,2020-04-30,-41,5,0,,,,,,
brasilia,sao_sebastiao,2020-05-01,-40,8,0,,,,,,
