country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,scia,2020-03-28,,1,0,,,,,,
brasilia,scia,2020-04-05,,2,0,,,,,,
brasilia,scia,2020-04-09,,1,0,,,,,,
brasilia,scia,2020-04-10,,1,0,,,,,,
brasilia,scia,2020-04-11,,2,0,,,,,,
brasilia,scia,2020-04-12,,2,0,,,,,,
brasilia,scia,2020-04-13,,2,0,,,,,,
brasilia,scia,2020-04-15,,3,0,,,,,,
brasilia,scia,2020-04-16,,3,1,,,,,,
brasilia,scia,2020-04-17,,1,0,,,,,,
brasilia,scia,2020-04-20,,1,0,,,,,,
brasilia,scia,2020-04-21,,1,0,,,,,,
brasilia,scia,2020-04-23,,1,0,,,,,,
brasilia,scia,2020-04-24,,1,0,,,,,,
brasilia,scia,2020-04-25,,3,0,,,,,,
brasilia,scia,2020-04-26,,3,0,,,,,,
brasilia,scia,2020-04-27,,1,0,,,,,,
brasilia,scia,2020-04-29,,2,0,,,,,,
brasilia,scia,2020-04-30,,4,0,,,,,,
brasilia,scia,2020-05-01,,4,0,,,,,,
brasilia,scia,2020-05-02,,3,0,,,,,,
brasilia,scia,2020-05-04,,5,0,,,,,,
brasilia,scia,2020-05-05,,1,0,,,,,,
brasilia,scia,2020-05-06,,1,0,,,,,,
brasilia,scia,2020-05-07,,1,1,,,,,,
brasilia,scia,2020-05-08,,2,0,,,,,,
brasilia,scia,2020-05-09,,3,0,,,,,,
brasilia,scia,2020-05-10,,4,0,,,,,,
brasilia,scia,2020-05-11,,4,0,,,,,,
brasilia,scia,2020-05-12,,14,1,,,,,,
brasilia,scia,2020-05-13,,8,0,,,,,,
brasilia,scia,2020-05-14,,11,1,,,,,,
brasilia,scia,2020-05-15,,20,0,,,,,,
brasilia,scia,2020-05-16,,4,0,,,,,,
brasilia,scia,2020-05-17,,7,1,,,,,,
brasilia,scia,2020-05-18,,26,1,,,,,,
brasilia,scia,2020-05-19,,9,0,,,,,,
brasilia,scia,2020-05-20,,17,0,,,,,,
brasilia,scia,2020-05-21,,12,1,,,,,,
brasilia,scia,2020-05-22,,18,0,,,,,,
brasilia,scia,2020-05-23,,14,0,,,,,,
brasilia,scia,2020-05-24,,9,0,,,,,,
brasilia,scia,2020-05-25,,42,0,,,,,,
brasilia,scia,2020-05-26,,27,1,,,,,,
brasilia,scia,2020-05-27,,27,0,,,,,,
brasilia,scia,2020-05-28,,29,0,,,,,,
brasilia,scia,2020-05-29,,23,1,,,,,,
brasilia,scia,2020-05-30,,4,0,,,,,,
brasilia,scia,2020-05-31,,3,1,,,,,,
brasilia,scia,2020-06-01,,19,0,,,,,,
brasilia,scia,2020-06-02,,17,1,,,,,,
brasilia,scia,2020-06-03,,26,1,,,,,,
brasilia,scia,2020-06-04,,16,0,,,,,,
brasilia,scia,2020-06-05,,31,1,,,,,,
brasilia,scia,2020-06-06,,7,0,,,,,,
brasilia,scia,2020-06-08,,9,1,,,,,,
brasilia,scia,2020-06-09,,7,0,,,,,,
brasilia,scia,2020-06-10,,8,0,,,,,,
brasilia,scia,2020-06-11,,7,0,,,,,,
brasilia,scia,2020-06-12,,6,0,,,,,,
brasilia,scia,2020-06-13,,8,0,,,,,,
brasilia,scia,2020-06-14,,5,1,,,,,,
brasilia,scia,2020-06-15,,8,1,,,,,,
brasilia,scia,2020-06-16,,16,0,,,,,,
brasilia,scia,2020-06-17,,8,0,,,,,,
brasilia,scia,2020-06-18,,13,1,,,,,,
brasilia,scia,2020-06-19,,15,0,,,,,,
brasilia,scia,2020-06-20,,13,0,,,,,,
brasilia,scia,2020-06-21,,4,1,,,,,,
brasilia,scia,2020-06-22,,10,0,,,,,,
brasilia,scia,2020-06-23,,7,0,,,,,,
brasilia,scia,2020-06-24,,13,0,,,,,,
brasilia,scia,2020-06-25,,7,0,,,,,,
brasilia,scia,2020-06-26,,8,0,,,,,,
brasilia,scia,2020-06-27,,3,0,,,,,,
brasilia,scia,2020-06-28,,7,0,,,,,,
