country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sia,2020-04-13,,2,0,,,,,,
brasilia,sia,2020-04-27,,1,0,,,,,,
brasilia,sia,2020-04-29,,1,0,,,,,,
brasilia,sia,2020-05-01,,4,0,,,,,,
brasilia,sia,2020-05-02,,1,0,,,,,,
brasilia,sia,2020-05-03,,1,0,,,,,,
brasilia,sia,2020-05-05,,2,0,,,,,,
brasilia,sia,2020-05-06,,1,0,,,,,,
brasilia,sia,2020-05-08,,1,0,,,,,,
brasilia,sia,2020-05-10,,1,0,,,,,,
brasilia,sia,2020-05-12,,1,0,,,,,,
brasilia,sia,2020-05-19,,1,0,,,,,,
brasilia,sia,2020-05-23,,1,0,,,,,,
brasilia,sia,2020-05-25,,1,0,,,,,,
brasilia,sia,2020-05-28,,1,0,,,,,,
brasilia,sia,2020-05-29,,3,0,,,,,,
brasilia,sia,2020-05-30,,1,0,,,,,,
brasilia,sia,2020-05-31,,2,0,,,,,,
brasilia,sia,2020-06-01,,6,0,,,,,,
brasilia,sia,2020-06-02,,1,0,,,,,,
brasilia,sia,2020-06-05,,1,0,,,,,,
brasilia,sia,2020-06-08,,16,0,,,,,,
brasilia,sia,2020-06-09,,5,0,,,,,,
brasilia,sia,2020-06-10,,1,0,,,,,,
brasilia,sia,2020-06-12,,1,0,,,,,,
brasilia,sia,2020-06-15,,1,0,,,,,,
brasilia,sia,2020-06-18,,1,0,,,,,,
brasilia,sia,2020-06-20,,1,0,,,,,,
brasilia,sia,2020-06-28,,1,0,,,,,,
brasilia,sia,2020-06-30,,1,0,,,,,,
brasilia,sia,2020-07-12,,1,0,,,,,,
brasilia,sia,2020-07-20,,1,0,,,,,,
brasilia,sia,2020-07-27,,1,0,,,,,,
brasilia,sia,2020-08-13,,1,0,,,,,,
brasilia,sia,2020-08-14,,1,0,,,,,,
brasilia,sia,2020-08-26,,1,0,,,,,,
brasilia,sia,2020-08-27,,2,0,,,,,,
brasilia,sia,2020-09-08,,1,0,,,,,,
brasilia,sia,2020-09-21,,1,0,,,,,,
brasilia,sia,2020-10-03,,1,0,,,,,,
brasilia,sia,2020-10-09,,1,0,,,,,,
brasilia,sia,2020-10-12,,1,0,,,,,,
brasilia,sia,2020-10-23,,1,0,,,,,,
brasilia,sia,2020-10-28,,1,0,,,,,,
brasilia,sia,2020-11-15,,1,0,,,,,,
brasilia,sia,2020-12-26,,1,0,,,,,,
brasilia,sia,2021-01-11,,1,0,,,,,,
brasilia,sia,2021-01-30,,1,0,,,,,,
brasilia,sia,2021-03-09,,1,0,,,,,,
brasilia,sia,2021-03-14,,1,0,,,,,,
brasilia,sia,2021-03-16,,1,0,,,,,,
brasilia,sia,2021-03-18,,1,0,,,,,,
brasilia,sia,2021-03-27,,1,0,,,,,,
brasilia,sia,2021-04-20,,1,0,,,,,,
brasilia,sia,2021-05-05,,1,0,,,,,,
brasilia,sia,2021-05-22,,1,0,,,,,,
brasilia,sia,2021-06-14,,2,0,,,,,,
brasilia,sia,2021-06-18,,1,0,,,,,,
brasilia,sia,2021-06-28,,1,0,,,,,,
brasilia,sia,2021-07-09,,1,0,,,,,,
brasilia,sia,2021-07-26,,1,0,,,,,,
brasilia,sia,2021-08-02,,1,0,,,,,,
brasilia,sia,2021-08-09,,1,0,,,,,,
brasilia,sia,2021-08-13,,1,0,,,,,,
brasilia,sia,2021-08-19,,1,0,,,,,,
brasilia,sia,2021-09-09,,2,0,,,,,,
brasilia,sia,2021-09-14,,1,0,,,,,,
brasilia,sia,2021-09-15,,2,0,,,,,,
