country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sistema_penitenciário,2020-03-10,-61,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-01,-39,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-02,-38,2,0,,,,,,
brasilia,sistema_penitenciário,2020-04-03,-37,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-04,-36,3,0,,,,,,
brasilia,sistema_penitenciário,2020-04-05,-35,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-06,-34,3,0,,,,,,
brasilia,sistema_penitenciário,2020-04-07,-33,2,0,,,,,,
brasilia,sistema_penitenciário,2020-04-08,-32,2,0,,,,,,
brasilia,sistema_penitenciário,2020-04-09,-31,4,0,,,,,,
brasilia,sistema_penitenciário,2020-04-10,-30,14,0,,,,,,
brasilia,sistema_penitenciário,2020-04-11,-29,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-12,-28,2,0,,,,,,
brasilia,sistema_penitenciário,2020-04-13,-27,15,0,,,,,,
brasilia,sistema_penitenciário,2020-04-14,-26,3,0,,,,,,
brasilia,sistema_penitenciário,2020-04-15,-25,28,0,,,,,,
brasilia,sistema_penitenciário,2020-04-16,-24,6,0,,,,,,
brasilia,sistema_penitenciário,2020-04-17,-23,25,0,,,,,,
brasilia,sistema_penitenciário,2020-04-18,-22,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-19,-21,8,0,,,,,,
brasilia,sistema_penitenciário,2020-04-20,-20,10,0,,,,,,
brasilia,sistema_penitenciário,2020-04-21,-19,5,0,,,,,,
brasilia,sistema_penitenciário,2020-04-22,-18,37,0,,,,,,
brasilia,sistema_penitenciário,2020-04-23,-17,22,0,,,,,,
brasilia,sistema_penitenciário,2020-04-24,-16,47,0,,,,,,
brasilia,sistema_penitenciário,2020-04-25,-15,8,0,,,,,,
brasilia,sistema_penitenciário,2020-04-26,-14,1,0,,,,,,
brasilia,sistema_penitenciário,2020-04-27,-13,18,0,,,,,,
brasilia,sistema_penitenciário,2020-04-28,-12,27,0,,,,,,
brasilia,sistema_penitenciário,2020-04-29,-11,51,0,,,,,,
brasilia,sistema_penitenciário,2020-04-30,-10,50,0,,,,,,
brasilia,sistema_penitenciário,2020-05-01,-9,18,0,,,,,,
brasilia,sistema_penitenciário,2020-05-02,-8,15,0,,,,,,
brasilia,sistema_penitenciário,2020-05-03,-7,7,0,,,,,,
brasilia,sistema_penitenciário,2020-05-04,-6,13,0,,,,,,
brasilia,sistema_penitenciário,2020-05-05,-5,43,0,,,,,,
brasilia,sistema_penitenciário,2020-05-06,-4,35,0,,,,,,
brasilia,sistema_penitenciário,2020-05-07,-3,11,0,,,,,,
