country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sobradinho,2020-03-01,-103,1,0,,,,,,
brasilia,sobradinho,2020-03-02,-102,1,0,,,,,,
brasilia,sobradinho,2020-03-06,-98,1,0,,,,,,
brasilia,sobradinho,2020-03-08,-96,1,0,,,,,,
brasilia,sobradinho,2020-03-13,-91,1,0,,,,,,
brasilia,sobradinho,2020-03-15,-89,2,0,,,,,,
brasilia,sobradinho,2020-03-16,-88,2,0,,,,,,
brasilia,sobradinho,2020-03-17,-87,2,0,,,,,,
brasilia,sobradinho,2020-03-18,-86,5,0,,,,,,
brasilia,sobradinho,2020-03-19,-85,2,0,,,,,,
brasilia,sobradinho,2020-03-20,-84,3,0,,,,,,
brasilia,sobradinho,2020-03-21,-83,5,0,,,,,,
brasilia,sobradinho,2020-03-22,-82,1,0,,,,,,
brasilia,sobradinho,2020-03-23,-81,3,0,,,,,,
brasilia,sobradinho,2020-03-24,-80,1,0,,,,,,
brasilia,sobradinho,2020-03-27,-77,3,0,,,,,,
brasilia,sobradinho,2020-03-28,-76,1,0,,,,,,
brasilia,sobradinho,2020-03-29,-75,2,0,,,,,,
brasilia,sobradinho,2020-03-30,-74,1,0,,,,,,
brasilia,sobradinho,2020-03-31,-73,1,0,,,,,,
brasilia,sobradinho,2020-04-01,-72,2,0,,,,,,
brasilia,sobradinho,2020-04-02,-71,1,0,,,,,,
brasilia,sobradinho,2020-04-03,-70,5,0,,,,,,
brasilia,sobradinho,2020-04-04,-69,3,0,,,,,,
brasilia,sobradinho,2020-04-05,-68,1,0,,,,,,
brasilia,sobradinho,2020-04-06,-67,3,0,,,,,,
brasilia,sobradinho,2020-04-07,-66,1,0,,,,,,
brasilia,sobradinho,2020-04-08,-65,2,0,,,,,,
brasilia,sobradinho,2020-04-10,-63,4,0,,,,,,
brasilia,sobradinho,2020-04-11,-62,1,0,,,,,,
brasilia,sobradinho,2020-04-12,-61,1,0,,,,,,
brasilia,sobradinho,2020-04-13,-60,2,0,,,,,,
brasilia,sobradinho,2020-04-14,-59,3,0,,,,,,
brasilia,sobradinho,2020-04-15,-58,4,0,,,,,,
brasilia,sobradinho,2020-04-16,-57,2,0,,,,,,
brasilia,sobradinho,2020-04-17,-56,3,0,,,,,,
brasilia,sobradinho,2020-04-18,-55,1,0,,,,,,
brasilia,sobradinho,2020-04-20,-53,7,0,,,,,,
brasilia,sobradinho,2020-04-21,-52,2,0,,,,,,
brasilia,sobradinho,2020-04-22,-51,1,0,,,,,,
brasilia,sobradinho,2020-04-23,-50,4,0,,,,,,
brasilia,sobradinho,2020-04-24,-49,4,0,,,,,,
brasilia,sobradinho,2020-04-25,-48,6,0,,,,,,
brasilia,sobradinho,2020-04-26,-47,2,0,,,,,,
brasilia,sobradinho,2020-04-27,-46,3,0,,,,,,
brasilia,sobradinho,2020-04-28,-45,4,0,,,,,,
brasilia,sobradinho,2020-04-29,-44,2,0,,,,,,
brasilia,sobradinho,2020-04-30,-43,5,0,,,,,,
brasilia,sobradinho,2020-05-01,-42,12,1,,,,,,
brasilia,sobradinho,2020-05-02,-41,9,1,,,,,,
brasilia,sobradinho,2020-05-03,-40,3,0,,,,,,
brasilia,sobradinho,2020-05-04,-39,4,1,,,,,,
brasilia,sobradinho,2020-05-05,-38,8,1,,,,,,
brasilia,sobradinho,2020-05-06,-37,15,0,,,,,,
brasilia,sobradinho,2020-05-07,-36,10,0,,,,,,
brasilia,sobradinho,2020-05-08,-35,15,0,,,,,,
brasilia,sobradinho,2020-05-09,-34,10,1,,,,,,
brasilia,sobradinho,2020-05-10,-33,13,0,,,,,,
brasilia,sobradinho,2020-05-11,-32,21,0,,,,,,
brasilia,sobradinho,2020-05-12,-31,12,0,,,,,,
brasilia,sobradinho,2020-05-13,-30,8,0,,,,,,
brasilia,sobradinho,2020-05-14,-29,22,1,,,,,,
brasilia,sobradinho,2020-05-15,-28,32,0,,,,,,
brasilia,sobradinho,2020-05-16,-27,17,1,,,,,,
brasilia,sobradinho,2020-05-17,-26,16,0,,,,,,
brasilia,sobradinho,2020-05-18,-25,22,0,,,,,,
brasilia,sobradinho,2020-05-19,-24,13,1,,,,,,
brasilia,sobradinho,2020-05-20,-23,34,2,,,,,,
brasilia,sobradinho,2020-05-21,-22,16,1,,,,,,
brasilia,sobradinho,2020-05-22,-21,17,0,,,,,,
brasilia,sobradinho,2020-05-23,-20,13,0,,,,,,
brasilia,sobradinho,2020-05-24,-19,14,0,,,,,,
brasilia,sobradinho,2020-05-25,-18,32,0,,,,,,
brasilia,sobradinho,2020-05-26,-17,22,1,,,,,,
brasilia,sobradinho,2020-05-27,-16,28,1,,,,,,
brasilia,sobradinho,2020-05-28,-15,25,0,,,,,,
brasilia,sobradinho,2020-05-29,-14,28,0,,,,,,
brasilia,sobradinho,2020-05-30,-13,26,0,,,,,,
brasilia,sobradinho,2020-05-31,-12,31,0,,,,,,
brasilia,sobradinho,2020-06-01,-11,98,3,,,,,,
brasilia,sobradinho,2020-06-02,-10,74,2,,,,,,
brasilia,sobradinho,2020-06-03,-9,71,3,,,,,,
brasilia,sobradinho,2020-06-04,-8,52,2,,,,,,
brasilia,sobradinho,2020-06-05,-7,58,0,,,,,,
brasilia,sobradinho,2020-06-06,-6,27,0,,,,,,
brasilia,sobradinho,2020-06-07,-5,27,0,,,,,,
brasilia,sobradinho,2020-06-08,-4,78,1,,,,,,
brasilia,sobradinho,2020-06-09,-3,74,0,,,,,,
brasilia,sobradinho,2020-06-10,-2,81,0,,,,,,
brasilia,sobradinho,2020-06-11,-1,34,0,,,,,,
brasilia,sobradinho,2020-06-12,0,106,1,,,,,,
brasilia,sobradinho,2020-06-13,1,45,0,,,,,,
brasilia,sobradinho,2020-06-14,2,29,2,,,,,,
brasilia,sobradinho,2020-06-15,3,82,0,,,,,,
brasilia,sobradinho,2020-06-16,4,93,1,,,,,,
brasilia,sobradinho,2020-06-17,5,86,1,,,,,,
brasilia,sobradinho,2020-06-18,6,99,0,,,,,,
brasilia,sobradinho,2020-06-19,7,79,0,,,,,,
brasilia,sobradinho,2020-06-20,8,57,0,,,,,,
brasilia,sobradinho,2020-06-21,9,42,3,,,,,,
brasilia,sobradinho,2020-06-22,10,71,0,,,,,,
brasilia,sobradinho,2020-06-23,11,83,0,,,,,,
brasilia,sobradinho,2020-06-24,12,101,4,,,,,,
brasilia,sobradinho,2020-06-25,13,71,1,,,,,,
brasilia,sobradinho,2020-06-26,14,76,0,,,,,,
brasilia,sobradinho,2020-06-27,15,53,2,,,,,,
brasilia,sobradinho,2020-06-28,16,26,1,,,,,,
brasilia,sobradinho,2020-06-29,17,50,5,,,,,,
