country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sobradinho_ii,2020-03-16,,1,0,,,,,,
brasilia,sobradinho_ii,2020-03-18,,1,0,,,,,,
brasilia,sobradinho_ii,2020-03-21,,1,0,,,,,,
brasilia,sobradinho_ii,2020-03-22,,1,0,,,,,,
brasilia,sobradinho_ii,2020-03-24,,2,0,,,,,,
brasilia,sobradinho_ii,2020-04-15,,5,0,,,,,,
brasilia,sobradinho_ii,2020-04-16,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-19,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-20,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-21,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-22,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-23,,2,0,,,,,,
brasilia,sobradinho_ii,2020-04-24,,2,0,,,,,,
brasilia,sobradinho_ii,2020-04-25,,1,0,,,,,,
brasilia,sobradinho_ii,2020-04-29,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-01,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-03,,2,0,,,,,,
brasilia,sobradinho_ii,2020-05-04,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-05,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-07,,3,0,,,,,,
brasilia,sobradinho_ii,2020-05-08,,4,0,,,,,,
brasilia,sobradinho_ii,2020-05-10,,5,0,,,,,,
brasilia,sobradinho_ii,2020-05-11,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-12,,2,0,,,,,,
brasilia,sobradinho_ii,2020-05-13,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-14,,3,0,,,,,,
brasilia,sobradinho_ii,2020-05-15,,5,0,,,,,,
brasilia,sobradinho_ii,2020-05-16,,1,0,,,,,,
brasilia,sobradinho_ii,2020-05-17,,4,1,,,,,,
brasilia,sobradinho_ii,2020-05-18,,3,0,,,,,,
brasilia,sobradinho_ii,2020-05-19,,8,0,,,,,,
brasilia,sobradinho_ii,2020-05-20,,17,0,,,,,,
brasilia,sobradinho_ii,2020-05-21,,4,0,,,,,,
brasilia,sobradinho_ii,2020-05-22,,6,0,,,,,,
brasilia,sobradinho_ii,2020-05-23,,4,0,,,,,,
brasilia,sobradinho_ii,2020-05-24,,5,0,,,,,,
brasilia,sobradinho_ii,2020-05-25,,5,1,,,,,,
brasilia,sobradinho_ii,2020-05-26,,5,1,,,,,,
brasilia,sobradinho_ii,2020-05-27,,10,0,,,,,,
brasilia,sobradinho_ii,2020-05-28,,9,1,,,,,,
brasilia,sobradinho_ii,2020-05-29,,3,0,,,,,,
brasilia,sobradinho_ii,2020-05-30,,12,1,,,,,,
brasilia,sobradinho_ii,2020-05-31,,4,0,,,,,,
brasilia,sobradinho_ii,2020-06-01,,19,0,,,,,,
brasilia,sobradinho_ii,2020-06-02,,13,1,,,,,,
brasilia,sobradinho_ii,2020-06-03,,38,0,,,,,,
brasilia,sobradinho_ii,2020-06-04,,11,0,,,,,,
brasilia,sobradinho_ii,2020-06-05,,16,0,,,,,,
brasilia,sobradinho_ii,2020-06-06,,4,0,,,,,,
brasilia,sobradinho_ii,2020-06-07,,6,0,,,,,,
brasilia,sobradinho_ii,2020-06-08,,16,0,,,,,,
brasilia,sobradinho_ii,2020-06-09,,18,0,,,,,,
brasilia,sobradinho_ii,2020-06-10,,33,0,,,,,,
brasilia,sobradinho_ii,2020-06-11,,12,0,,,,,,
brasilia,sobradinho_ii,2020-06-12,,19,1,,,,,,
brasilia,sobradinho_ii,2020-06-13,,9,0,,,,,,
brasilia,sobradinho_ii,2020-06-14,,6,0,,,,,,
brasilia,sobradinho_ii,2020-06-15,,18,1,,,,,,
brasilia,sobradinho_ii,2020-06-16,,20,1,,,,,,
brasilia,sobradinho_ii,2020-06-17,,31,0,,,,,,
brasilia,sobradinho_ii,2020-06-18,,36,0,,,,,,
brasilia,sobradinho_ii,2020-06-19,,23,0,,,,,,
brasilia,sobradinho_ii,2020-06-20,,13,1,,,,,,
brasilia,sobradinho_ii,2020-06-21,,3,0,,,,,,
brasilia,sobradinho_ii,2020-06-22,,13,0,,,,,,
brasilia,sobradinho_ii,2020-06-23,,44,0,,,,,,
brasilia,sobradinho_ii,2020-06-24,,34,0,,,,,,
brasilia,sobradinho_ii,2020-06-25,,36,0,,,,,,
brasilia,sobradinho_ii,2020-06-26,,14,0,,,,,,
brasilia,sobradinho_ii,2020-06-27,,9,0,,,,,,
brasilia,sobradinho_ii,2020-06-28,,9,0,,,,,,
brasilia,sobradinho_ii,2020-06-29,,7,1,,,,,,
brasilia,sobradinho_ii,2020-06-30,,7,0,,,,,,
brasilia,sobradinho_ii,2020-07-01,,9,0,,,,,,
brasilia,sobradinho_ii,2020-07-02,,9,1,,,,,,
brasilia,sobradinho_ii,2020-07-03,,14,0,,,,,,
brasilia,sobradinho_ii,2020-07-04,,2,0,,,,,,
brasilia,sobradinho_ii,2020-07-05,,13,0,,,,,,
brasilia,sobradinho_ii,2020-07-06,,11,0,,,,,,
brasilia,sobradinho_ii,2020-07-07,,16,2,,,,,,
brasilia,sobradinho_ii,2020-07-08,,17,1,,,,,,
brasilia,sobradinho_ii,2020-07-09,,10,0,,,,,,
brasilia,sobradinho_ii,2020-07-10,,11,0,,,,,,
brasilia,sobradinho_ii,2020-07-11,,11,0,,,,,,
brasilia,sobradinho_ii,2020-07-12,,3,1,,,,,,
brasilia,sobradinho_ii,2020-07-13,,9,0,,,,,,
brasilia,sobradinho_ii,2020-07-14,,6,0,,,,,,
