country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,sudoeste/octogonal,2020-03-03,-673,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-06,-670,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-09,-667,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-10,-666,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-11,-665,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-13,-663,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-14,-662,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-15,-661,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-16,-660,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-17,-659,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-18,-658,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-19,-657,6,1,,,,,,
brasilia,sudoeste/octogonal,2020-03-20,-656,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-21,-655,5,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-22,-654,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-23,-653,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-24,-652,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-25,-651,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-26,-650,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-27,-649,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-28,-648,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-01,-644,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-02,-643,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-03,-642,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-05,-640,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-06,-639,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-07,-638,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-08,-637,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-09,-636,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-10,-635,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-11,-634,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-12,-633,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-13,-632,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-15,-630,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-17,-628,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-18,-627,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-20,-625,7,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-21,-624,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-22,-623,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-23,-622,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-24,-621,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-25,-620,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-26,-619,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-27,-618,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-28,-617,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-29,-616,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-04-30,-615,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-01,-614,7,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-02,-613,5,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-03,-612,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-04,-611,2,1,,,,,,
brasilia,sudoeste/octogonal,2020-05-05,-610,5,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-06,-609,6,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-07,-608,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-08,-607,5,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-09,-606,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-10,-605,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-11,-604,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-12,-603,8,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-13,-602,6,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-14,-601,10,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-15,-600,13,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-16,-599,11,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-17,-598,2,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-18,-597,11,1,,,,,,
brasilia,sudoeste/octogonal,2020-05-19,-596,10,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-20,-595,15,1,,,,,,
brasilia,sudoeste/octogonal,2020-05-21,-594,10,1,,,,,,
brasilia,sudoeste/octogonal,2020-05-22,-593,9,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-23,-592,3,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-24,-591,7,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-25,-590,18,1,,,,,,
brasilia,sudoeste/octogonal,2020-05-26,-589,16,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-27,-588,10,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-28,-587,13,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-29,-586,7,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-30,-585,19,0,,,,,,
brasilia,sudoeste/octogonal,2020-05-31,-584,10,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-01,-583,23,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-02,-582,24,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-03,-581,14,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-04,-580,26,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-05,-579,24,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-06,-578,16,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-07,-577,12,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-08,-576,20,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-09,-575,21,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-10,-574,23,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-11,-573,7,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-12,-572,24,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-13,-571,4,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-14,-570,6,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-15,-569,24,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-16,-568,24,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-17,-567,27,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-18,-566,24,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-19,-565,27,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-20,-564,14,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-21,-563,9,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-22,-562,22,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-23,-561,29,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-24,-560,18,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-25,-559,39,1,,,,,,
brasilia,sudoeste/octogonal,2020-06-26,-558,33,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-27,-557,19,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-28,-556,9,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-29,-555,22,0,,,,,,
brasilia,sudoeste/octogonal,2020-06-30,-554,15,0,,,,,,
brasilia,sudoeste/octogonal,2020-07-01,-553,33,0,,,,,,
brasilia,sudoeste/octogonal,2020-07-02,-552,25,1,,,,,,
brasilia,sudoeste/octogonal,2020-07-03,-551,27,0,,,,,,
brasilia,sudoeste/octogonal,2020-07-04,-550,23,0,,,,,,
