country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,taguatinga,2020-02-28,-94,1,0,,,,,,
brasilia,taguatinga,2020-03-01,-92,2,0,,,,,,
brasilia,taguatinga,2020-03-02,-91,1,0,,,,,,
brasilia,taguatinga,2020-03-06,-87,1,0,,,,,,
brasilia,taguatinga,2020-03-10,-83,1,0,,,,,,
brasilia,taguatinga,2020-03-12,-81,2,0,,,,,,
brasilia,taguatinga,2020-03-13,-80,2,0,,,,,,
brasilia,taguatinga,2020-03-15,-78,1,0,,,,,,
brasilia,taguatinga,2020-03-16,-77,7,0,,,,,,
brasilia,taguatinga,2020-03-17,-76,2,0,,,,,,
brasilia,taguatinga,2020-03-18,-75,1,0,,,,,,
brasilia,taguatinga,2020-03-19,-74,1,0,,,,,,
brasilia,taguatinga,2020-03-20,-73,3,0,,,,,,
brasilia,taguatinga,2020-03-21,-72,3,0,,,,,,
brasilia,taguatinga,2020-03-22,-71,3,0,,,,,,
brasilia,taguatinga,2020-03-23,-70,1,0,,,,,,
brasilia,taguatinga,2020-03-24,-69,3,0,,,,,,
brasilia,taguatinga,2020-03-25,-68,2,0,,,,,,
brasilia,taguatinga,2020-03-26,-67,6,1,,,,,,
brasilia,taguatinga,2020-03-27,-66,3,0,,,,,,
brasilia,taguatinga,2020-03-28,-65,6,0,,,,,,
brasilia,taguatinga,2020-03-29,-64,4,0,,,,,,
brasilia,taguatinga,2020-03-30,-63,2,0,,,,,,
brasilia,taguatinga,2020-03-31,-62,3,0,,,,,,
brasilia,taguatinga,2020-04-01,-61,3,0,,,,,,
brasilia,taguatinga,2020-04-02,-60,7,0,,,,,,
brasilia,taguatinga,2020-04-03,-59,3,0,,,,,,
brasilia,taguatinga,2020-04-04,-58,5,1,,,,,,
brasilia,taguatinga,2020-04-05,-57,2,0,,,,,,
brasilia,taguatinga,2020-04-06,-56,6,1,,,,,,
brasilia,taguatinga,2020-04-07,-55,3,0,,,,,,
brasilia,taguatinga,2020-04-08,-54,3,0,,,,,,
brasilia,taguatinga,2020-04-09,-53,5,0,,,,,,
brasilia,taguatinga,2020-04-10,-52,5,0,,,,,,
brasilia,taguatinga,2020-04-11,-51,6,0,,,,,,
brasilia,taguatinga,2020-04-12,-50,3,0,,,,,,
brasilia,taguatinga,2020-04-13,-49,8,0,,,,,,
brasilia,taguatinga,2020-04-14,-48,9,0,,,,,,
brasilia,taguatinga,2020-04-15,-47,4,0,,,,,,
brasilia,taguatinga,2020-04-16,-46,3,0,,,,,,
brasilia,taguatinga,2020-04-17,-45,6,0,,,,,,
brasilia,taguatinga,2020-04-18,-44,3,0,,,,,,
brasilia,taguatinga,2020-04-19,-43,5,0,,,,,,
brasilia,taguatinga,2020-04-20,-42,8,0,,,,,,
brasilia,taguatinga,2020-04-21,-41,12,0,,,,,,
brasilia,taguatinga,2020-04-22,-40,13,0,,,,,,
brasilia,taguatinga,2020-04-23,-39,8,0,,,,,,
brasilia,taguatinga,2020-04-24,-38,7,0,,,,,,
brasilia,taguatinga,2020-04-25,-37,5,0,,,,,,
brasilia,taguatinga,2020-04-26,-36,9,0,,,,,,
brasilia,taguatinga,2020-04-27,-35,7,1,,,,,,
brasilia,taguatinga,2020-04-28,-34,11,0,,,,,,
brasilia,taguatinga,2020-04-29,-33,7,0,,,,,,
brasilia,taguatinga,2020-04-30,-32,26,0,,,,,,
brasilia,taguatinga,2020-05-01,-31,12,0,,,,,,
brasilia,taguatinga,2020-05-02,-30,10,0,,,,,,
brasilia,taguatinga,2020-05-03,-29,17,2,,,,,,
brasilia,taguatinga,2020-05-04,-28,15,0,,,,,,
brasilia,taguatinga,2020-05-05,-27,17,0,,,,,,
brasilia,taguatinga,2020-05-06,-26,26,0,,,,,,
brasilia,taguatinga,2020-05-07,-25,23,1,,,,,,
brasilia,taguatinga,2020-05-08,-24,37,0,,,,,,
brasilia,taguatinga,2020-05-09,-23,20,0,,,,,,
brasilia,taguatinga,2020-05-10,-22,41,1,,,,,,
brasilia,taguatinga,2020-05-11,-21,29,0,,,,,,
brasilia,taguatinga,2020-05-12,-20,25,0,,,,,,
brasilia,taguatinga,2020-05-13,-19,22,1,,,,,,
brasilia,taguatinga,2020-05-14,-18,30,1,,,,,,
brasilia,taguatinga,2020-05-15,-17,57,2,,,,,,
brasilia,taguatinga,2020-05-16,-16,41,1,,,,,,
brasilia,taguatinga,2020-05-17,-15,21,0,,,,,,
brasilia,taguatinga,2020-05-18,-14,48,2,,,,,,
brasilia,taguatinga,2020-05-19,-13,33,1,,,,,,
brasilia,taguatinga,2020-05-20,-12,77,1,,,,,,
brasilia,taguatinga,2020-05-21,-11,39,2,,,,,,
brasilia,taguatinga,2020-05-22,-10,43,2,,,,,,
brasilia,taguatinga,2020-05-23,-9,28,1,,,,,,
brasilia,taguatinga,2020-05-24,-8,42,1,,,,,,
brasilia,taguatinga,2020-05-25,-7,59,1,,,,,,
brasilia,taguatinga,2020-05-26,-6,56,1,,,,,,
brasilia,taguatinga,2020-05-27,-5,50,4,,,,,,
brasilia,taguatinga,2020-05-28,-4,84,2,,,,,,
brasilia,taguatinga,2020-05-29,-3,71,3,,,,,,
brasilia,taguatinga,2020-05-30,-2,60,0,,,,,,
brasilia,taguatinga,2020-05-31,-1,44,2,,,,,,
brasilia,taguatinga,2020-06-01,0,126,4,,,,,,
brasilia,taguatinga,2020-06-02,1,102,0,,,,,,
brasilia,taguatinga,2020-06-03,2,110,3,,,,,,
brasilia,taguatinga,2020-06-04,3,106,2,,,,,,
brasilia,taguatinga,2020-06-05,4,117,4,,,,,,
brasilia,taguatinga,2020-06-06,5,57,2,,,,,,
brasilia,taguatinga,2020-06-07,6,52,5,,,,,,
brasilia,taguatinga,2020-06-08,7,99,6,,,,,,
brasilia,taguatinga,2020-06-09,8,123,3,,,,,,
brasilia,taguatinga,2020-06-10,9,165,1,,,,,,
brasilia,taguatinga,2020-06-11,10,65,2,,,,,,
brasilia,taguatinga,2020-06-12,11,122,3,,,,,,
brasilia,taguatinga,2020-06-13,12,56,1,,,,,,
brasilia,taguatinga,2020-06-14,13,54,1,,,,,,
brasilia,taguatinga,2020-06-15,14,191,5,,,,,,
brasilia,taguatinga,2020-06-16,15,201,6,,,,,,
brasilia,taguatinga,2020-06-17,16,148,3,,,,,,
brasilia,taguatinga,2020-06-18,17,163,2,,,,,,
brasilia,taguatinga,2020-06-19,18,150,3,,,,,,
brasilia,taguatinga,2020-06-20,19,94,4,,,,,,
brasilia,taguatinga,2020-06-21,20,70,3,,,,,,
brasilia,taguatinga,2020-06-22,21,144,3,,,,,,
brasilia,taguatinga,2020-06-23,22,171,4,,,,,,
brasilia,taguatinga,2020-06-24,23,114,2,,,,,,
brasilia,taguatinga,2020-06-25,24,160,4,,,,,,
brasilia,taguatinga,2020-06-26,25,190,3,,,,,,
brasilia,taguatinga,2020-06-27,26,69,5,,,,,,
brasilia,taguatinga,2020-06-28,27,80,5,,,,,,
brasilia,taguatinga,2020-06-29,28,125,4,,,,,,
brasilia,taguatinga,2020-06-30,29,149,3,,,,,,
brasilia,taguatinga,2020-07-01,30,176,4,,,,,,
brasilia,taguatinga,2020-07-02,31,168,5,,,,,,
brasilia,taguatinga,2020-07-03,32,142,3,,,,,,
brasilia,taguatinga,2020-07-04,33,99,4,,,,,,
brasilia,taguatinga,2020-07-05,34,72,2,,,,,,
brasilia,taguatinga,2020-07-06,35,164,3,,,,,,
brasilia,taguatinga,2020-07-07,36,135,2,,,,,,
brasilia,taguatinga,2020-07-08,37,154,3,,,,,,
brasilia,taguatinga,2020-07-09,38,122,2,,,,,,
brasilia,taguatinga,2020-07-10,39,156,3,,,,,,
brasilia,taguatinga,2020-07-11,40,104,6,,,,,,
brasilia,taguatinga,2020-07-12,41,83,5,,,,,,
brasilia,taguatinga,2020-07-13,42,136,3,,,,,,
brasilia,taguatinga,2020-07-14,43,152,3,,,,,,
brasilia,taguatinga,2020-07-15,44,160,7,,,,,,
brasilia,taguatinga,2020-07-16,45,168,2,,,,,,
brasilia,taguatinga,2020-07-17,46,171,6,,,,,,
brasilia,taguatinga,2020-07-18,47,138,4,,,,,,
