country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,varjão,2020-03-20,,1,0,,,,,,
brasilia,varjão,2020-04-23,,1,0,,,,,,
brasilia,varjão,2020-04-25,,1,0,,,,,,
brasilia,varjão,2020-04-28,,1,0,,,,,,
brasilia,varjão,2020-05-03,,1,0,,,,,,
brasilia,varjão,2020-05-05,,1,0,,,,,,
brasilia,varjão,2020-05-08,,2,0,,,,,,
brasilia,varjão,2020-05-14,,1,0,,,,,,
brasilia,varjão,2020-05-16,,1,0,,,,,,
brasilia,varjão,2020-05-18,,1,0,,,,,,
brasilia,varjão,2020-05-25,,3,0,,,,,,
brasilia,varjão,2020-05-30,,2,0,,,,,,
brasilia,varjão,2020-05-31,,1,0,,,,,,
brasilia,varjão,2020-06-01,,1,0,,,,,,
brasilia,varjão,2020-06-03,,2,0,,,,,,
brasilia,varjão,2020-06-04,,2,0,,,,,,
brasilia,varjão,2020-06-06,,1,0,,,,,,
brasilia,varjão,2020-06-07,,2,0,,,,,,
brasilia,varjão,2020-06-08,,4,0,,,,,,
brasilia,varjão,2020-06-09,,2,0,,,,,,
brasilia,varjão,2020-06-10,,4,0,,,,,,
brasilia,varjão,2020-06-11,,2,0,,,,,,
brasilia,varjão,2020-06-12,,5,1,,,,,,
brasilia,varjão,2020-06-13,,5,0,,,,,,
brasilia,varjão,2020-06-15,,5,0,,,,,,
brasilia,varjão,2020-06-16,,7,0,,,,,,
brasilia,varjão,2020-06-17,,2,0,,,,,,
brasilia,varjão,2020-06-18,,6,0,,,,,,
brasilia,varjão,2020-06-19,,6,0,,,,,,
brasilia,varjão,2020-06-20,,7,0,,,,,,
brasilia,varjão,2020-06-21,,5,0,,,,,,
brasilia,varjão,2020-06-22,,9,0,,,,,,
brasilia,varjão,2020-06-23,,8,0,,,,,,
brasilia,varjão,2020-06-24,,8,0,,,,,,
brasilia,varjão,2020-06-25,,4,0,,,,,,
