country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,vicente_pires,2020-03-02,-688,1,0,,,,,,
brasilia,vicente_pires,2020-03-16,-674,4,0,,,,,,
brasilia,vicente_pires,2020-03-17,-673,2,0,,,,,,
brasilia,vicente_pires,2020-03-18,-672,1,0,,,,,,
brasilia,vicente_pires,2020-03-19,-671,1,0,,,,,,
brasilia,vicente_pires,2020-03-20,-670,1,0,,,,,,
brasilia,vicente_pires,2020-03-21,-669,1,0,,,,,,
brasilia,vicente_pires,2020-03-22,-668,2,0,,,,,,
brasilia,vicente_pires,2020-03-23,-667,2,0,,,,,,
brasilia,vicente_pires,2020-03-24,-666,2,0,,,,,,
brasilia,vicente_pires,2020-03-25,-665,1,0,,,,,,
brasilia,vicente_pires,2020-03-26,-664,1,0,,,,,,
brasilia,vicente_pires,2020-03-27,-663,4,0,,,,,,
brasilia,vicente_pires,2020-03-28,-662,1,0,,,,,,
brasilia,vicente_pires,2020-03-29,-661,2,0,,,,,,
brasilia,vicente_pires,2020-03-30,-660,1,0,,,,,,
brasilia,vicente_pires,2020-04-01,-658,3,0,,,,,,
brasilia,vicente_pires,2020-04-02,-657,1,0,,,,,,
brasilia,vicente_pires,2020-04-03,-656,3,0,,,,,,
brasilia,vicente_pires,2020-04-04,-655,2,0,,,,,,
brasilia,vicente_pires,2020-04-06,-653,4,0,,,,,,
brasilia,vicente_pires,2020-04-07,-652,2,0,,,,,,
brasilia,vicente_pires,2020-04-09,-650,1,0,,,,,,
brasilia,vicente_pires,2020-04-10,-649,1,0,,,,,,
brasilia,vicente_pires,2020-04-11,-648,1,0,,,,,,
brasilia,vicente_pires,2020-04-14,-645,2,0,,,,,,
brasilia,vicente_pires,2020-04-15,-644,1,0,,,,,,
brasilia,vicente_pires,2020-04-16,-643,1,0,,,,,,
brasilia,vicente_pires,2020-04-17,-642,2,0,,,,,,
brasilia,vicente_pires,2020-04-18,-641,1,0,,,,,,
brasilia,vicente_pires,2020-04-19,-640,2,0,,,,,,
brasilia,vicente_pires,2020-04-20,-639,2,0,,,,,,
brasilia,vicente_pires,2020-04-22,-637,2,0,,,,,,
brasilia,vicente_pires,2020-04-23,-636,1,0,,,,,,
brasilia,vicente_pires,2020-04-24,-635,2,0,,,,,,
brasilia,vicente_pires,2020-04-25,-634,2,0,,,,,,
brasilia,vicente_pires,2020-04-26,-633,2,0,,,,,,
brasilia,vicente_pires,2020-04-27,-632,1,0,,,,,,
brasilia,vicente_pires,2020-04-28,-631,1,0,,,,,,
brasilia,vicente_pires,2020-04-29,-630,4,0,,,,,,
brasilia,vicente_pires,2020-04-30,-629,1,0,,,,,,
brasilia,vicente_pires,2020-05-01,-628,3,0,,,,,,
brasilia,vicente_pires,2020-05-03,-626,2,0,,,,,,
brasilia,vicente_pires,2020-05-04,-625,3,0,,,,,,
brasilia,vicente_pires,2020-05-05,-624,2,0,,,,,,
brasilia,vicente_pires,2020-05-06,-623,4,0,,,,,,
brasilia,vicente_pires,2020-05-07,-622,10,0,,,,,,
brasilia,vicente_pires,2020-05-08,-621,5,0,,,,,,
brasilia,vicente_pires,2020-05-09,-620,7,0,,,,,,
brasilia,vicente_pires,2020-05-10,-619,9,0,,,,,,
brasilia,vicente_pires,2020-05-11,-618,9,0,,,,,,
brasilia,vicente_pires,2020-05-12,-617,4,0,,,,,,
brasilia,vicente_pires,2020-05-13,-616,3,1,,,,,,
brasilia,vicente_pires,2020-05-14,-615,8,0,,,,,,
brasilia,vicente_pires,2020-05-15,-614,9,0,,,,,,
brasilia,vicente_pires,2020-05-16,-613,5,0,,,,,,
brasilia,vicente_pires,2020-05-17,-612,1,0,,,,,,
brasilia,vicente_pires,2020-05-18,-611,4,1,,,,,,
brasilia,vicente_pires,2020-05-19,-610,9,0,,,,,,
brasilia,vicente_pires,2020-05-20,-609,12,0,,,,,,
brasilia,vicente_pires,2020-05-21,-608,7,0,,,,,,
brasilia,vicente_pires,2020-05-22,-607,6,0,,,,,,
brasilia,vicente_pires,2020-05-23,-606,4,0,,,,,,
brasilia,vicente_pires,2020-05-24,-605,5,0,,,,,,
brasilia,vicente_pires,2020-05-25,-604,9,2,,,,,,
brasilia,vicente_pires,2020-05-26,-603,11,0,,,,,,
brasilia,vicente_pires,2020-05-27,-602,11,0,,,,,,
brasilia,vicente_pires,2020-05-28,-601,12,0,,,,,,
brasilia,vicente_pires,2020-05-29,-600,12,1,,,,,,
brasilia,vicente_pires,2020-05-30,-599,8,1,,,,,,
brasilia,vicente_pires,2020-05-31,-598,12,0,,,,,,
brasilia,vicente_pires,2020-06-01,-597,30,1,,,,,,
brasilia,vicente_pires,2020-06-02,-596,19,0,,,,,,
brasilia,vicente_pires,2020-06-03,-595,16,0,,,,,,
brasilia,vicente_pires,2020-06-04,-594,22,0,,,,,,
brasilia,vicente_pires,2020-06-05,-593,20,0,,,,,,
brasilia,vicente_pires,2020-06-06,-592,14,0,,,,,,
brasilia,vicente_pires,2020-06-07,-591,10,1,,,,,,
brasilia,vicente_pires,2020-06-08,-590,20,0,,,,,,
brasilia,vicente_pires,2020-06-09,-589,15,1,,,,,,
brasilia,vicente_pires,2020-06-10,-588,27,1,,,,,,
brasilia,vicente_pires,2020-06-11,-587,12,0,,,,,,
brasilia,vicente_pires,2020-06-12,-586,22,2,,,,,,
brasilia,vicente_pires,2020-06-13,-585,14,0,,,,,,
brasilia,vicente_pires,2020-06-14,-584,11,1,,,,,,
brasilia,vicente_pires,2020-06-15,-583,27,0,,,,,,
brasilia,vicente_pires,2020-06-16,-582,25,0,,,,,,
brasilia,vicente_pires,2020-06-17,-581,30,0,,,,,,
brasilia,vicente_pires,2020-06-18,-580,31,0,,,,,,
brasilia,vicente_pires,2020-06-19,-579,40,0,,,,,,
brasilia,vicente_pires,2020-06-20,-578,23,1,,,,,,
brasilia,vicente_pires,2020-06-21,-577,17,0,,,,,,
brasilia,vicente_pires,2020-06-22,-576,23,1,,,,,,
brasilia,vicente_pires,2020-06-23,-575,31,1,,,,,,
brasilia,vicente_pires,2020-06-24,-574,27,0,,,,,,
brasilia,vicente_pires,2020-06-25,-573,27,0,,,,,,
brasilia,vicente_pires,2020-06-26,-572,23,0,,,,,,
brasilia,vicente_pires,2020-06-27,-571,13,1,,,,,,
brasilia,vicente_pires,2020-06-28,-570,8,0,,,,,,
brasilia,vicente_pires,2020-06-29,-569,29,1,,,,,,
brasilia,vicente_pires,2020-06-30,-568,25,1,,,,,,
brasilia,vicente_pires,2020-07-01,-567,39,1,,,,,,
brasilia,vicente_pires,2020-07-02,-566,41,1,,,,,,
brasilia,vicente_pires,2020-07-03,-565,25,0,,,,,,
brasilia,vicente_pires,2020-07-04,-564,20,0,,,,,,
brasilia,vicente_pires,2020-07-05,-563,18,0,,,,,,
brasilia,vicente_pires,2020-07-06,-562,30,1,,,,,,
brasilia,vicente_pires,2020-07-07,-561,19,0,,,,,,
brasilia,vicente_pires,2020-07-08,-560,20,1,,,,,,
brasilia,vicente_pires,2020-07-09,-559,33,0,,,,,,
brasilia,vicente_pires,2020-07-10,-558,45,2,,,,,,
brasilia,vicente_pires,2020-07-11,-557,23,1,,,,,,
brasilia,vicente_pires,2020-07-12,-556,11,1,,,,,,
brasilia,vicente_pires,2020-07-13,-555,33,1,,,,,,
brasilia,vicente_pires,2020-07-14,-554,37,1,,,,,,
brasilia,vicente_pires,2020-07-15,-553,29,2,,,,,,
brasilia,vicente_pires,2020-07-16,-552,40,0,,,,,,
brasilia,vicente_pires,2020-07-17,-551,48,1,,,,,,
brasilia,vicente_pires,2020-07-18,-550,36,4,,,,,,
brasilia,vicente_pires,2020-07-19,-549,20,0,,,,,,
brasilia,vicente_pires,2020-07-20,-548,48,2,,,,,,
brasilia,vicente_pires,2020-07-21,-547,44,1,,,,,,
brasilia,vicente_pires,2020-07-22,-546,32,1,,,,,,
brasilia,vicente_pires,2020-07-23,-545,35,2,,,,,,
brasilia,vicente_pires,2020-07-24,-544,33,1,,,,,,
brasilia,vicente_pires,2020-07-25,-543,27,0,,,,,,
brasilia,vicente_pires,2020-07-26,-542,27,1,,,,,,
brasilia,vicente_pires,2020-07-27,-541,45,0,,,,,,
brasilia,vicente_pires,2020-07-28,-540,41,0,,,,,,
brasilia,vicente_pires,2020-07-29,-539,43,0,,,,,,
brasilia,vicente_pires,2020-07-30,-538,41,0,,,,,,
brasilia,vicente_pires,2020-07-31,-537,46,1,,,,,,
brasilia,vicente_pires,2020-08-01,-536,53,1,,,,,,
brasilia,vicente_pires,2020-08-02,-535,28,0,,,,,,
brasilia,vicente_pires,2020-08-03,-534,36,1,,,,,,
brasilia,vicente_pires,2020-08-04,-533,44,0,,,,,,
brasilia,vicente_pires,2020-08-05,-532,42,1,,,,,,
brasilia,vicente_pires,2020-08-06,-531,54,0,,,,,,
brasilia,vicente_pires,2020-08-07,-530,46,1,,,,,,
brasilia,vicente_pires,2020-08-08,-529,29,1,,,,,,
brasilia,vicente_pires,2020-08-09,-528,21,0,,,,,,
brasilia,vicente_pires,2020-08-10,-527,50,0,,,,,,
brasilia,vicente_pires,2020-08-11,-526,68,1,,,,,,
brasilia,vicente_pires,2020-08-12,-525,46,0,,,,,,
brasilia,vicente_pires,2020-08-13,-524,44,0,,,,,,
brasilia,vicente_pires,2020-08-14,-523,38,0,,,,,,
brasilia,vicente_pires,2020-08-15,-522,43,1,,,,,,
brasilia,vicente_pires,2020-08-16,-521,29,0,,,,,,
brasilia,vicente_pires,2020-08-17,-520,42,0,,,,,,
brasilia,vicente_pires,2020-08-18,-519,36,1,,,,,,
brasilia,vicente_pires,2020-08-19,-518,49,1,,,,,,
brasilia,vicente_pires,2020-08-20,-517,37,1,,,,,,
brasilia,vicente_pires,2020-08-21,-516,33,0,,,,,,
brasilia,vicente_pires,2020-08-22,-515,21,1,,,,,,
brasilia,vicente_pires,2020-08-23,-514,40,0,,,,,,
brasilia,vicente_pires,2020-08-24,-513,40,0,,,,,,
brasilia,vicente_pires,2020-08-25,-512,42,0,,,,,,
brasilia,vicente_pires,2020-08-26,-511,27,1,,,,,,
brasilia,vicente_pires,2020-08-27,-510,35,1,,,,,,
brasilia,vicente_pires,2020-08-28,-509,34,0,,,,,,
brasilia,vicente_pires,2020-08-29,-508,15,0,,,,,,
brasilia,vicente_pires,2020-08-30,-507,13,1,,,,,,
brasilia,vicente_pires,2020-08-31,-506,22,0,,,,,,
brasilia,vicente_pires,2020-09-01,-505,29,0,,,,,,
