Continent,Country,Province,pop2016
South America,brasilia,brazlandia,64027
South America,brasilia,cruzeiro,30854
South America,brasilia,santa_maria,129271
South America,brasilia,riacho_fundo,43815
South America,brasilia,arniqueira,47045
South America,brasilia,sobradinho,71165
South America,brasilia,candangolandia,16338
South America,brasilia,sia,2621
South America,brasilia,scia,36770
South America,brasilia,sobradinho_ii,78283
South America,brasilia,park_way,23058
South America,brasilia,riacho_fundo_ii,43815
South America,brasilia,varjao,8829
South America,brasilia,jardim_botanico,58138
South America,brasilia,itapoa,64747
South America,brasilia,sao_sebastiao,115988
South America,brasilia,plano_piloto,230310
South America,brasilia,paranoa,74690
South America,brasilia,fercal,9472
South America,brasilia,nucleo_bandeirante,24019
South America,brasilia,recanto_das_emas,132447
South America,brasilia,vicente_pires,73452
South America,brasilia,lago_sul,30320
South America,brasilia,guara,140560
South America,brasilia,sistema_penitenciario,15
South America,brasilia,aguas_claras,170636
South America,brasilia,ceilandia,443824
South America,brasilia,gama,143688
South America,brasilia,lago_norte,37127
South America,brasilia,taguatinga,208177
South America,brasilia,samambaia,244960
South America,brasilia,sudoeste_octogonal,55258
South America,brasilia,planaltina,196086
South America,brasilia,por_do_sol,92217
