country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
brasilia,lago sul,2020-02-26,-679.0,1,0,,,,,,
brasilia,taguatinga,2020-02-28,-94.0,1,0,,,,,,
brasilia,são sebastião,2020-02-29,-102.0,1,0,,,,,,
brasilia,guará,2020-03-01,-130.0,2,0,,,,,,
brasilia,lago norte,2020-03-01,-695.0,1,0,,,,,,
brasilia,plano piloto,2020-03-01,-92.0,3,0,,,,,,
brasilia,samambaia,2020-03-01,-89.0,3,0,,,,,,
brasilia,sobradinho,2020-03-01,-103.0,1,0,,,,,,
brasilia,taguatinga,2020-03-01,-92.0,2,0,,,,,,
brasilia,Águas claras,2020-03-01,-123.0,3,0,,,,,,
brasilia,ceilândia,2020-03-02,-79.0,1,0,,,,,,
brasilia,lago sul,2020-03-02,-674.0,1,0,,,,,,
brasilia,outros estados,2020-03-02,-96.0,1,0,,,,,,
brasilia,plano piloto,2020-03-02,-91.0,1,0,,,,,,
brasilia,samambaia,2020-03-02,-88.0,1,0,,,,,,
brasilia,sobradinho,2020-03-02,-102.0,1,0,,,,,,
brasilia,taguatinga,2020-03-02,-91.0,1,0,,,,,,
brasilia,vicente pires,2020-03-02,-688.0,1,0,,,,,,
brasilia,lago sul,2020-03-03,-673.0,1,0,,,,,,
brasilia,sudoeste/octogonal,2020-03-03,-673.0,1,0,,,,,,
brasilia,gama,2020-03-04,-96.0,1,0,,,,,,
brasilia,plano piloto,2020-03-04,-89.0,1,0,,,,,,
brasilia,gama,2020-03-05,-95.0,1,0,,,,,,
brasilia,guará,2020-03-05,-126.0,1,0,,,,,,
brasilia,lago sul,2020-03-05,-671.0,1,0,,,,,,
brasilia,outros estados,2020-03-05,-93.0,1,0,,,,,,
brasilia,plano piloto,2020-03-05,-88.0,1,0,,,,,,
brasilia,são sebastião,2020-03-05,-97.0,1,0,,,,,,
brasilia,Águas claras,2020-03-05,-119.0,1,0,,,,,,
brasilia,brazlândia,2020-03-06,-683.0,1,0,,,,,,
brasilia,entorno df,2020-03-06,-94.0,1,0,,,,,,
brasilia,gama,2020-03-06,-94.0,1,0,,,,,,
brasilia,lago sul,2020-03-06,-670.0,1,0,,,,,,
brasilia,outros estados,2020-03-06,-92.0,1,0,,,,,,
brasilia,plano piloto,2020-03-06,-87.0,1,0,,,,,,
brasilia,samambaia,2020-03-06,-84.0,1,0,,,,,,
brasilia,sobradinho,2020-03-06,-98.0,1,0,,,,,,
