week,flights
2020-08,101
2020-09,1067
2020-10,1215
2020-11,1223
2020-12,938
2020-13,253
2020-14,93
2020-15,72
2020-16,64
2020-17,52
2020-18,54
2020-19,76
2020-20,80
2020-21,75
2020-22,92
2020-23,99
2020-24,118
2020-25,157
2020-26,155
2020-27,234
2020-28,252
2020-29,284
2020-30,300
2020-31,307
2020-32,370
2020-33,400
2020-34,456
2020-35,473
2020-36,545
2020-37,604
2020-38,584
2020-39,581
2020-40,624
2020-41,694
2020-42,734
2020-43,722
2020-44,657
2020-45,739
2020-46,726
2020-47,714
2020-48,733
2020-49,804
2020-50,820
2020-51,880
2020-52,825
2020-53,492
2021-01,323
2021-02,890
2021-03,870
2021-04,835
2021-05,807
2021-06,739
2021-07,731
2021-08,636
2021-09,714
2021-10,711
2021-11,646
2021-12,496
2021-13,431
2021-14,367
2021-15,409
2021-16,423
2021-17,386
2021-18,420
2021-19,486
2021-20,542
2021-21,542
2021-22,580
2021-23,580
2021-24,655
2021-25,651
2021-26,646
2021-27,723
2021-28,794
2021-29,808
2021-30,827
2021-31,809
2021-32,829
2021-33,831
2021-34,834
2021-35,793
2021-36,859
2021-37,893
2021-38,936
2021-39,941
2021-40,952
2021-41,925
2021-42,935
2021-43,991
2021-44,971
2021-45,991
2021-46,1029
2021-47,1008
2021-48,1027
2021-49,1057
2021-50,1109
2021-51,1121
2021-52,1031
2021-53,764
2022-01,261
2022-02,1073
2022-03,1053
2022-04,1051
2022-05,1024
2022-06,920
2022-07,895
2022-08,903
2022-09,865
2022-10,812
2022-11,879
2022-12,888
2022-13,885
2022-14,916
2022-15,888
2022-16,829
2022-17,772
2022-18,888
2022-19,899
2022-20,905
2022-21,900
2022-22,903
2022-23,889
2022-24,889
2022-25,811
2022-26,918
2022-27,963
2022-28,1045
2022-29,1068
2022-30,1070
2022-31,1051
2022-32,1038
2022-33,1004
2022-34,1004
2022-35,997
2022-36,1010
2022-37,960
2022-38,1032
2022-39,1036
2022-40,1017
2022-41,1038
2022-42,980
2022-43,1067
2022-44,1045
2022-45,1043
2022-46,1094
2022-47,1055
2022-48,1132
2022-49,1124
2022-50,1132
2022-51,1152
2022-52,1039
2022-53,908
2023-01,104
2023-02,1094
2023-03,1090
2023-04,1079
2023-05,1081
2023-06,1106
2023-07,1099
2023-08,1029
2023-09,896
2023-10,1078
2023-11,1044
2023-12,1064
2023-13,1047
2023-14,1097
2023-15,1063
2023-16,1124
2023-17,1053
2023-18,1090
2023-19,1106
2023-20,1126
2023-21,1121
2023-22,1130
2023-23,1150
2023-24,1108
2023-25,1189
2023-26,1174
2023-27,1140
2023-28,1070
2023-29,1068
2023-30,1074
2023-31,1068
2023-32,1046
2023-33,1056
2023-34,1050
2023-35,1056
2023-36,1055
2023-37,949
2023-38,1065
2023-39,1054
2023-40,1048
2023-41,1035
2023-42,927
2023-43,1028
2023-44,1014
2023-45,986
2023-46,1046
2023-47,994
2023-48,1046
2023-49,1046
2023-50,1058
2023-51,1020
2023-52,993
2023-53,957
2024-02,5
