week,week_num,ra,total
2020-08,8,Arniqueira,0
2020-08,8,Brazlândia,0
2020-08,8,Candangolândia,0
2020-08,8,Ceilândia,0
2020-08,8,Cruzeiro,0
2020-08,8,Entorno DF,0
2020-08,8,Fercal,0
2020-08,8,Gama,0
2020-08,8,Guará,2
2020-08,8,Itapoã,0
2020-08,8,Jardim Botânico,0
2020-08,8,Lago Norte,1
2020-08,8,Lago Sul,1
2020-08,8,Núcleo Bandeirante,0
2020-08,8,Outros Estados,0
2020-08,8,Paranoá,0
2020-08,8,Park Way,0
2020-08,8,Planaltina,0
2020-08,8,Plano Piloto,3
2020-08,8,Pôr do Sol,0
2020-08,8,Recanto das Emas,0
2020-08,8,Riacho Fundo,0
2020-08,8,Riacho Fundo II,0
2020-08,8,SCIA,0
2020-08,8,SIA,0
2020-08,8,Samambaia,3
2020-08,8,Santa Maria,0
2020-08,8,Sistema Penitenciário,0
2020-08,8,Sobradinho,1
2020-08,8,Sobradinho II,0
2020-08,8,Sudoeste/Octogonal,0
2020-08,8,São Sebastião,1
2020-08,8,Taguatinga,3
2020-08,8,Varjão,0
2020-08,8,Vicente Pires,0
2020-08,8,Águas Claras,3
2020-09,9,Arniqueira,0
2020-09,9,Brazlândia,1
2020-09,9,Candangolândia,0
2020-09,9,Ceilândia,1
2020-09,9,Cruzeiro,1
2020-09,9,Entorno DF,1
2020-09,9,Fercal,0
2020-09,9,Gama,3
2020-09,9,Guará,3
2020-09,9,Itapoã,0
2020-09,9,Jardim Botânico,0
2020-09,9,Lago Norte,1
2020-09,9,Lago Sul,5
2020-09,9,Núcleo Bandeirante,0
2020-09,9,Outros Estados,3
2020-09,9,Paranoá,0
2020-09,9,Park Way,0
2020-09,9,Planaltina,0
2020-09,9,Plano Piloto,6
2020-09,9,Pôr do Sol,0
2020-09,9,Recanto das Emas,0
2020-09,9,Riacho Fundo,1
2020-09,9,Riacho Fundo II,0
2020-09,9,SCIA,0
2020-09,9,SIA,0
2020-09,9,Samambaia,3
2020-09,9,Santa Maria,0
2020-09,9,Sistema Penitenciário,0
2020-09,9,Sobradinho,3
2020-09,9,Sobradinho II,0
2020-09,9,Sudoeste/Octogonal,2
2020-09,9,São Sebastião,1
2020-09,9,Taguatinga,2
2020-09,9,Varjão,0
2020-09,9,Vicente Pires,1
2020-09,9,Águas Claras,6
2020-10,10,Arniqueira,0
2020-10,10,Brazlândia,1
2020-10,10,Candangolândia,0
2020-10,10,Ceilândia,12
2020-10,10,Cruzeiro,4
2020-10,10,Entorno DF,2
2020-10,10,Fercal,0
2020-10,10,Gama,4
2020-10,10,Guará,15
2020-10,10,Itapoã,0
2020-10,10,Jardim Botânico,6
2020-10,10,Lago Norte,5
2020-10,10,Lago Sul,22
2020-10,10,Núcleo Bandeirante,2
2020-10,10,Outros Estados,9
2020-10,10,Paranoá,3
2020-10,10,Park Way,2
2020-10,10,Planaltina,6
2020-10,10,Plano Piloto,46
2020-10,10,Pôr do Sol,1
2020-10,10,Recanto das Emas,2
2020-10,10,Riacho Fundo,3
2020-10,10,Riacho Fundo II,0
2020-10,10,SCIA,0
2020-10,10,SIA,0
2020-10,10,Samambaia,6
2020-10,10,Santa Maria,3
2020-10,10,Sistema Penitenciário,1
2020-10,10,Sobradinho,3
2020-10,10,Sobradinho II,0
2020-10,10,Sudoeste/Octogonal,11
2020-10,10,São Sebastião,6
2020-10,10,Taguatinga,6
2020-10,10,Varjão,0
2020-10,10,Vicente Pires,0
2020-10,10,Águas Claras,25
2020-11,11,Arniqueira,1
2020-11,11,Brazlândia,2
2020-11,11,Candangolândia,2
2020-11,11,Ceilândia,17
2020-11,11,Cruzeiro,8
2020-11,11,Entorno DF,4
2020-11,11,Fercal,0
2020-11,11,Gama,20
2020-11,11,Guará,26
2020-11,11,Itapoã,3
2020-11,11,Jardim Botânico,7
2020-11,11,Lago Norte,13
2020-11,11,Lago Sul,40
2020-11,11,Núcleo Bandeirante,3
2020-11,11,Outros Estados,25
2020-11,11,Paranoá,6
2020-11,11,Park Way,9
2020-11,11,Planaltina,7
2020-11,11,Plano Piloto,96
2020-11,11,Pôr do Sol,0
2020-11,11,Recanto das Emas,2
2020-11,11,Riacho Fundo,3
2020-11,11,Riacho Fundo II,0
2020-11,11,SCIA,0
2020-11,11,SIA,0
2020-11,11,Samambaia,16
2020-11,11,Santa Maria,6
2020-11,11,Sistema Penitenciário,0
2020-11,11,Sobradinho,20
2020-11,11,Sobradinho II,4
2020-11,11,Sudoeste/Octogonal,27
2020-11,11,São Sebastião,4
2020-11,11,Taguatinga,20
2020-11,11,Varjão,1
2020-11,11,Vicente Pires,12
2020-11,11,Águas Claras,41
2020-12,12,Arniqueira,2
2020-12,12,Brazlândia,2
2020-12,12,Candangolândia,1
2020-12,12,Ceilândia,22
2020-12,12,Cruzeiro,3
2020-12,12,Entorno DF,11
2020-12,12,Fercal,0
2020-12,12,Gama,10
2020-12,12,Guará,13
2020-12,12,Itapoã,0
2020-12,12,Jardim Botânico,3
2020-12,12,Lago Norte,5
2020-12,12,Lago Sul,16
2020-12,12,Núcleo Bandeirante,3
2020-12,12,Outros Estados,13
2020-12,12,Paranoá,4
2020-12,12,Park Way,2
2020-12,12,Planaltina,6
2020-12,12,Plano Piloto,59
2020-12,12,Pôr do Sol,2
2020-12,12,Recanto das Emas,3
2020-12,12,Riacho Fundo,1
2020-12,12,Riacho Fundo II,1
2020-12,12,SCIA,1
2020-12,12,SIA,0
2020-12,12,Samambaia,11
2020-12,12,Santa Maria,8
2020-12,12,Sistema Penitenciário,0
2020-12,12,Sobradinho,10
2020-12,12,Sobradinho II,2
2020-12,12,Sudoeste/Octogonal,15
2020-12,12,São Sebastião,3
2020-12,12,Taguatinga,25
2020-12,12,Varjão,0
2020-12,12,Vicente Pires,13
2020-12,12,Águas Claras,28
2020-13,13,Arniqueira,8
2020-13,13,Brazlândia,1
2020-13,13,Candangolândia,1
2020-13,13,Ceilândia,34
2020-13,13,Cruzeiro,0
2020-13,13,Entorno DF,11
2020-13,13,Fercal,1
2020-13,13,Gama,11
2020-13,13,Guará,24
2020-13,13,Itapoã,2
2020-13,13,Jardim Botânico,5
2020-13,13,Lago Norte,12
2020-13,13,Lago Sul,6
2020-13,13,Núcleo Bandeirante,2
2020-13,13,Outros Estados,18
2020-13,13,Paranoá,3
2020-13,13,Park Way,1
2020-13,13,Planaltina,6
2020-13,13,Plano Piloto,43
2020-13,13,Pôr do Sol,0
2020-13,13,Recanto das Emas,5
2020-13,13,Riacho Fundo,4
2020-13,13,Riacho Fundo II,4
2020-13,13,SCIA,2
2020-13,13,SIA,0
2020-13,13,Samambaia,16
2020-13,13,Santa Maria,15
2020-13,13,Sistema Penitenciário,8
2020-13,13,Sobradinho,14
2020-13,13,Sobradinho II,0
2020-13,13,Sudoeste/Octogonal,5
2020-13,13,São Sebastião,11
2020-13,13,Taguatinga,25
2020-13,13,Varjão,0
2020-13,13,Vicente Pires,10
2020-13,13,Águas Claras,29
2020-14,14,Arniqueira,3
